AU,x,y
170,0,0
170,10,0
170,20,0
170,30,0.1
170,40,1.4
170,50,11.9
170,60,40.6
170,70,89.4
170,80,151.8
170,90,218.1
170,100,284.5
170,110,349.4
170,120,409.3
170,130,464.3
170,140,514.5
170,150,514.5
170,160,589
170,170,611.4
170,180,627.2
170,190,638.6
170,200,647.1
170,210,651.2
170,220,652.8
170,230,654.3
170,240,655.6
170,250,656.9
170,260,658.1
170,270,659.1
170,280,660.1
170,290,661.1
170,300,662
170,310,662.6
170,320,662.9
170,330,662.8
170,340,662.6
170,350,662.5
201,0,0
201,10,0
201,20,0
201,30,0
201,40,5.1
201,50,24.9
201,60,57.8
201,70,100.3
201,80,149.4
201,90,201.5
201,100,254
201,110,304.8
201,120,352.4
201,130,396.7
201,140,437.3
201,150,437.3
201,160,498
201,170,516.6
201,180,530
201,190,539.9
201,200,546.8
201,210,549.6
201,220,550.6
201,230,551.5
201,240,552.3
201,250,553.1
201,260,553.7
201,270,554.3
201,280,554.7
201,290,555.2
201,300,555.5
201,310,555.7
201,320,555.5
201,330,555.1
201,340,554.8
201,350,554.6
514,0,0
514,10,0.2
514,20,0.3
514,30,0.4
514,40,0.7
514,50,3.6
514,60,20.6
514,70,56.6
514,80,110.7
514,90,167
514,100,224.3
514,110,280.1
514,120,332.5
514,130,381.1
514,140,425.8
514,150,425.8
514,160,495.1
514,170,516.7
514,180,531.6
514,190,542.3
514,200,549.9
514,210,554.7
514,220,556
514,230,557.4
514,240,558.5
514,250,559.6
514,260,560.6
514,270,561.6
514,280,562.5
514,290,563.3
514,300,564.1
514,310,564.8
514,320,565.3
514,330,565.4
514,340,565.3
514,350,565.2
536,0,0
536,10,0
536,20,0
536,30,0
536,40,0.1
536,50,0.4
536,60,2
536,70,6.7
536,80,17
536,90,36.9
536,100,67.2
536,110,106
536,120,151.8
536,130,202.7
536,140,256.6
536,150,256.6
536,160,345.2
536,170,373.6
536,180,394.2
536,190,408.8
536,200,419.3
536,210,422.3
536,220,422.8
536,230,423.3
536,240,423.6
536,250,423.9
536,260,424.1
536,270,424.3
536,280,424.3
536,290,424.4
536,300,425.6
536,310,425.2
536,320,425.2
536,330,424.9
536,340,424.5
536,350,424.1
548,0,0
548,10,0
548,20,0
548,30,0.4
548,40,2.1
548,50,9
548,60,19
548,70,41.6
548,80,72.2
548,90,111.6
548,100,154.1
548,110,197.6
548,120,240.6
548,130,282.1
548,140,321
548,150,321
548,160,376.5
548,170,391.8
548,180,402.1
548,190,408.8
548,200,412.9
548,210,412.3
548,220,410.8
548,230,409.4
548,240,408
548,250,406.7
548,260,405
548,270,403.5
548,280,402
548,290,400.7
548,300,399.4
548,310,398.2
548,320,397.7
548,330,397.5
548,340,397.3
548,350,397.1
515,0,0
515,10,0.2
515,20,0.4
515,30,1.4
515,40,17.9
515,50,78.5
515,60,182.8
515,70,311.8
515,80,441.3
515,90,557.7
515,100,661.8
515,110,754.4
515,120,836.8
515,130,908.1
515,140,967.9
515,150,967.9
