Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180829467.06841955,0.0
59214105.14779269,121980662.11750358,181194767.26529628,0.0
59706955.23803828,121866410.32846436,181573365.56650266,0.0
60200470.18760126,121765978.86751682,181966449.05511808,0.0
60694400.871976286,121678671.33681317,182373072.20878944,0.0
61188276.26404601,121603816.58669974,182792092.85074577,0.0
61681486.79111259,121540754.3277937,183222241.1189063,0.0
62165971.42669781,121489026.28396346,183654997.71066126,0.0
62643097.44011036,121448027.11029936,184091124.55040973,0.0
58582470.25367743,123537294.2376989,182119764.49137634,0.0
59068649.95327354,123236638.38321759,182305288.33649114,0.0
59550616.3211902,122974467.12816586,182525083.44935605,0.0
60031266.80516292,122745747.70665856,182777014.51182148,0.0
60512580.02048883,122546582.48321442,183059162.50370327,0.0
60994795.407579094,122373745.97180979,183368541.37938887,0.0
61477740.49249658,122224555.00683165,183702295.49932823,0.0
61960284.51926212,122096713.6510699,184056998.170332,0.0
62432827.71537865,121988614.86349979,184421442.57887843,0.0
62896696.33225041,121898246.25975601,184794942.59200642,0.0
58834107.12947954,123930474.56254672,182764581.69202626,0.0
59303235.12141966,123590402.00965823,182893637.1310779,0.0
59768851.671636455,123294280.12640867,183063131.79804513,0.0
60232447.726033404,123036422.96527989,183268870.6913133,0.0
60696266.22239351,122812209.70185803,183508475.92425153,0.0
61161403.744923495,122617755.18602815,183779158.93095165,0.0
61628258.73217376,122449946.42305495,184078205.1552287,0.0
62096167.83744826,122306212.16812067,184402380.00556892,0.0
62556494.67908854,122184680.56166683,184741175.24075538,0.0
63009197.86459564,122083126.76903403,185092324.63362965,0.0
58912111.962474085,124110713.49447656,183022825.45695063,0.0
59371198.13714749,123763086.02667429,183134284.1638218,0.0
59829379.636482336,123461429.09413622,183290808.73061857,0.0
60286801.06667516,123199767.76499309,183486568.83166826,0.0
60745209.604735576,122973260.89264904,183718470.4973846,0.0
