Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1021781.0816022132,460884.58746117423,0.0,-175488.64322580645,-7306.92310451613
9897743.618604522,-11237177.673819216,-1026480.3398010299,495749.2817439864,0.0,-175488.64322580645,-7306.92310451613
9901749.9548598,-11289943.725949802,-1052458.5436651336,518530.7937551908,0.0,-175488.64322580645,-7306.92310451613
9907803.966104822,-11349110.091028057,-1090684.8558968916,533416.8353566657,0.0,-175488.64322580645,-7306.92310451613
9915706.83165701,-11406658.395118712,-1130603.3617167645,543143.7680752605,0.0,-175488.64322580645,-7306.92310451613
9925279.415448545,-11461688.43595501,-1169704.984037628,549499.60279916,0.0,-175488.64322580645,-7306.92310451613
9936358.70522462,-11513569.021813238,-1206353.2098553674,553652.6730635716,0.0,-175488.64322580645,-7306.92310451613
9948791.255281938,-11535565.425050225,-1213203.3372428494,556366.398855761,0.0,-175488.64322580645,-7306.92310451613
9962431.264975563,-11561563.010719867,-1223787.6931175129,558139.6189571162,0.0,-175488.64322580645,-7306.92310451613
10620957.771377817,-10968104.44177295,29356.05107613142,559298.2878015878,0.0,-175488.64322580645,-7306.92310451613
10499029.785728313,-11035885.024804724,-140732.4214673294,588058.1622559195,0.0,-184263.07538709682,-7672.269259741936
10400346.157373974,-11081440.042464223,-284451.6195805121,588577.6101565749,0.0,-184263.07538709682,-7672.269259741936
10320345.7862119,-11134827.096576206,-417499.62387780816,588917.0311333367,0.0,-184263.07538709682,-7672.269259741936
10255535.28438717,-11193559.988511471,-540821.2310075758,589138.8177635659,0.0,-184263.07538709682,-7672.269259741936
10203235.353117393,-11251818.038188236,-651234.2907126019,589283.7390050803,0.0,-184263.07538709682,-7672.269259741936
10161340.920150151,-11308422.197701398,-749638.1878264708,589378.4343716154,0.0,-184263.07538709682,-7672.269259741936
10128167.772793578,-11359944.214402827,-834271.4754311,589440.3108249875,0.0,-184263.07538709682,-7672.269259741936
10102371.30599826,-11377272.630656224,-877355.926771042,589480.7425337605,0.0,-184263.07538709682,-7672.269259741936
10082783.393565224,-11397481.745511629,-917126.5349131793,589507.1616800631,0.0,-184263.07538709682,-7672.269259741936
10698661.555768674,-10720244.513744023,376006.1220257921,589524.4246479793,0.0,-184263.07538709682,-7672.269259741936
10544671.309484662,-10802242.65439093,140029.0151740206,589535.7047271262,0.0,-184263.07538709685,-7672.26925974194
10419760.181893004,-10864242.370975811,-46874.45830090204,589543.0754287443,0.0,-184263.07538709685,-7672.26925974194
10318228.942159055,-10927661.49971911,-211820.0105670535,589547.8916398397,0.0,-184263.07538709685,-7672.26925974194
