period,oha,ohv,ogs
1,46254.04779241731,9127764.999999998,95844410.33576842
2,48180.82117909163,9584153.249999987,96146965.71750867
3,48566.750182038166,9584153.250000004,96445928.11514935
4,48566.75018203819,9584153.250000002,96595859.6335182
5,48566.75018203816,9584153.249999998,96597620.7451063
6,48566.750182038166,9584153.250000006,96635865.19568151
7,48566.7501820381,9584153.249999994,96764813.86092402
8,48512.38795271398,9584153.250000004,96870875.13205469
9,47908.50361490255,9584153.250000004,96702899.99145183
10,46933.496242697576,9584153.250000006,95924661.29999986
