Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181115679.1664178,286212.0979982689
59214105.14779269,121980662.11750358,181747352.75041586,552585.485119573
59706955.23803828,121866410.32846436,182379361.30112174,805995.7346190684
60200470.18760126,121765978.86751682,183017384.58276173,1050935.527643639
60694400.871976286,121678671.33681317,183663412.70949456,1290340.5007051097
61188276.26404601,121603816.58669974,184318221.7269754,1526128.8762296445
61681486.79111259,121540754.3277937,184981795.1903165,1759554.0714102178
62165971.42669781,121489026.28396346,185646432.81280437,1991435.1021431151
62643097.44011036,121448027.11029936,186313431.6854547,2222307.1350449505
56471613.84179623,124621894.67787962,183546028.38179246,2452519.8621166195
56960696.133591674,124168956.5970271,183677839.4228982,2548186.6922794343
57446005.81576392,123771224.3392897,183983442.2444416,2766212.0893879803
57930371.41309167,123421098.13416742,184335532.29043996,2984062.7431808678
58415702.682271704,123112457.3228578,184729959.2202059,3201799.21507638
58902196.61203602,122840378.33951819,185162036.02905884,3419461.0775046353
59389656.20229639,122600827.70264669,185627558.09307966,3637074.1881365716
59876954.75358195,122390379.13222803,186121989.32886726,3854655.44305727
60354749.34566001,122206336.49736129,186633301.7256362,4072215.882614946
60824176.43253059,122045966.32856198,187159905.48195726,4289762.720864695
54887439.80973613,124954558.94029872,184349299.42169547,4507300.6716606375
55362830.14200743,124426053.61637282,184513716.5735398,4724832.815159543
55835497.57341549,123959833.41450632,184737692.151939,4942361.164017204
56306885.21095939,123547580.27366212,185014352.51797757,5159887.033356057
56779133.83584465,123182456.26591522,185339001.38427168,5377411.282511835
57253224.04011119,122858894.67797218,185707053.1910806,5594934.472997205
57729527.13666904,122572355.60833557,186114339.716724,5812456.971719373
58207368.26275957,122319067.64719656,186556414.92838132,6029979.018425195
58678958.76550871,122095984.68033713,187022444.21561745,6247500.769771596
59143728.673819065,121900112.22866288,187508863.2306043,6465022.328122353
53155759.9148751,124781335.44039795,184619639.1156377,6682543.76036466
53627785.7714173,124221975.22158296,184749826.10320467,6900065.110204389
54100267.66568803,123728410.65202469,184946264.7239128,7117586.406200075
54573307.80942736,123291874.33860278,185200289.8150428,7335107.667012648
55048425.23593859,122905182.47365181,185506236.61442605,7552628.904835647
55526121.30398356,122562563.39638855,185858834.82800874,7770150.127636651
56006489.28214912,122259244.90716177,186253405.5299328,7987671.340621887
56488732.93721797,121991185.56465755,186685111.04906875,8205192.547193241
56963260.69556768,121755008.92142159,187140983.36656287,8422713.749573596
57432250.09545822,121547178.74642304,187619663.7910967,8640234.949215438
51427595.122111894,124386995.30397025,184672346.57315,8857756.14706787
51906299.484664544,123817445.79644443,184799022.62486002,9075277.343751049
52386712.23416988,123316030.46044154,184995541.23428163,9292798.539670207
52868317.92131296,122873593.84604186,185252231.50244495,9510319.735090135
53353202.93938116,122482722.60449378,185563766.4740588,9727840.930183854
53841633.59316785,122137375.49492383,185924371.2131561,9945362.125064418
54333066.725982495,121832623.38094938,186328573.42673758,10162883.319805702
54826953.83944312,121564346.52282289,186771704.87672198,10380404.514455974
55316145.76234091,121329199.96929066,187243271.44067833,10597925.70904678
55801042.50389501,121123894.60683161,187740384.01432535,10815446.903598726
49715577.82821351,124083806.52054985,184832352.44688863,11032968.098125283
50204158.03120796,123508438.39264408,184963085.7164873,11250489.292635255
50696014.822633296,123001665.04196993,185165690.3517376,11468010.487134378
51188960.78025395,122554699.46021648,185429191.92209685,11685531.681626417
51684563.14136309,122160037.4094836,185747653.42696053,11903052.87611383
52182688.95864416,121811641.72328094,186114904.7525233,12120574.070598215
52683909.975158915,121504556.59515749,186526561.83539703,12338095.265080627
53187762.89517322,121234662.07597595,186978041.4307109,12555616.459561745
53688295.74607395,120998827.72414319,187460261.12425917,12773137.654042022
54186009.9539603,120793493.85839738,187970162.66087943,12990658.848521745
47962145.64035431,123912699.8483609,185083025.53171632,13208180.04300111
48457191.67382139,123324411.71666627,186620536.33717632,14838932.946688673
48953313.54289855,122805370.24253865,186838034.89444473,15079351.10900754
49449768.13151401,122346734.97867335,187116272.38151368,15319769.271326294
49948049.72826146,121941120.47610907,187449357.6380155,15560187.433644978
50447639.077902704,121582517.95205215,187830762.62591845,15800605.595963612
50949208.74105887,121265906.12513849,188256138.6244796,16041023.758282214
51452731.56511526,120987073.68914755,188721247.1748636,16281441.920600798
51954352.25507653,120742677.85218547,189218890.19018134,16521860.082919367
52453956.70956862,120529422.91159523,189745657.86640176,16762278.245237926
45666443.606365845,123866646.52852467,186535786.54244697,17002696.40755648
46156890.47904326,123246877.46824186,186646882.51716015,17243114.56987502
46649019.33494943,122698671.50035945,186831223.56750244,17483532.73219357
47141463.88121212,122213044.82017878,187078459.595903,17723950.894512117
47635946.45823864,121782461.63380083,187382777.1488701,17964369.05683066
48129307.06844065,121400461.43031849,187734555.71790835,18204787.21914921
48621654.91888161,121061673.22086155,188128533.5212109,18445205.381467752
49115253.73779218,120761889.8511679,188562767.13274637,18685623.5437863
49605375.23454642,120497633.15861546,189029050.09926674,18926041.70610484
50094462.171536304,120265616.97876222,189526539.01872194,19166459.868423387
43202283.52499309,123642601.74725412,186251763.30298913,19406878.030741926
43684772.1712726,123002977.48047586,186335045.84480894,19647296.193060488
44172944.46882862,122436206.57663377,186496865.40084144,19887714.355379034
44666412.74326663,121933452.11493886,186727997.37590304,20128132.517697576
45165488.01946492,121487409.64981513,187021448.34929618,20368550.680016123
45668009.59875066,121091754.07223302,187368732.51331833,20608968.84233466
46173876.93523039,120741209.51675524,187764473.45663884,20849387.004653208
46682733.48792027,120431468.1458153,188204006.8007073,21089805.16697175
47193115.14378745,120158698.09936446,188682036.5724422,21330223.329290297
47707192.31606713,119919457.44362462,189197291.25130057,21570641.49160884
40784023.62893393,123337310.84984285,185932394.13270417,21811059.653927382
41287032.3607461,122691444.52586167,186029954.70285368,22051477.81624593
41792807.54369488,122119279.10195717,186203982.62421653,22291895.97856447
42303757.787331164,121611959.0633257,186448030.9915399,22532314.140883017
42821021.828902654,121162175.09822847,186755929.23033267,22772732.30320156
43343019.680809684,120763680.69425692,187119850.84058672,23013150.465520106
43869943.51874217,120411214.69747584,187534726.84405664,23253568.62783865
44401132.958910435,120100430.88865314,187995550.63772076,23493986.790157195
44936181.151372805,119827538.18102008,188498124.28486863,23734404.952475738
45474874.173825085,119589545.87851802,189039243.16713738,23974823.114794284
38522483.11743968,123027793.8343423,185765518.22889483,24215241.277112827
