Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180829467.06841955,0.0
59214105.14779269,121980662.11750358,181194767.26529628,0.0
59706955.23803828,121866410.32846436,181573365.56650266,0.0
60200470.18760126,121765978.86751682,181966449.05511808,0.0
60694400.871976286,121678671.33681317,182373072.20878944,0.0
61188276.26404601,121603816.58669974,182792092.85074577,0.0
61681486.79111259,121540754.3277937,183222241.1189063,0.0
62165971.42669781,121489026.28396346,183654997.71066126,0.0
62643097.44011036,121448027.11029936,184091124.55040973,0.0
62215260.13721751,121858022.07964534,184073282.21686286,0.0
62691947.850380525,121779277.07766983,184471224.92805034,0.0
63162589.708674796,121715881.69787511,184878471.4065499,0.0
63630622.820058934,121665965.93562774,185296588.75568667,0.0
64098148.59949259,121628403.43866214,185726552.03815472,0.0
64565466.42609145,121602269.57467288,186167736.0007643,0.0
65032454.37130665,121586753.32901017,186619207.70031682,0.0
65498018.29971204,121581123.69762947,187079141.9973415,0.0
65952306.165579654,121585348.6587382,187537654.82431784,0.0
66396861.97929773,121598346.46188955,187995208.4411873,0.0
65971053.68815061,122041296.26516001,188012349.9533106,0.0
66411714.683975756,122014873.93522568,188426588.61920145,0.0
66845495.719406,122001192.31857523,188846688.0379812,0.0
67274838.86178167,121998641.3167187,189273480.17850038,0.0
67702232.16843618,122006216.28696635,189708448.45540252,0.0
68128940.48221901,122023063.70987083,190152004.19208983,0.0
68555491.56734209,122048500.6576774,190603992.22501948,0.0
68981285.79844245,122082023.8551092,191063309.65355164,0.0
69397030.88045067,122123861.78873459,191520892.66918525,0.0
69803106.77608557,122172990.95254499,191976097.72863054,0.0
69336160.60439298,122650511.17240167,191986671.77679464,0.0
69740787.59835368,122657562.36927319,192398349.96762687,0.0
70140070.345428,122676328.37725686,192816398.72268486,0.0
70535264.40807158,122705260.98524557,193240525.39331716,0.0
70928618.64508346,122743300.74496719,193671919.39005065,0.0
