Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-999402.3629270479,373585.95832761703,0.0,-70195.44960000002,-2922.768921600001
9897743.618604522,-11237177.673819216,-1006292.8457088269,406259.4280274669,0.0,-70195.44960000002,-2922.768921600001
9901749.9548598,-11289943.725949802,-1032140.3347535457,429171.6548580561,0.0,-70195.44960000002,-2922.768921600001
9907803.966104822,-11349110.091028057,-1068749.6600821598,445674.6833626748,0.0,-70195.44960000002,-2922.768921600001
9915706.83165701,-11406658.395118712,-1106110.3411807274,457959.4408025748,0.0,-70195.44960000002,-2922.768921600001
9925279.415448545,-11461688.43595501,-1142069.1014225374,467458.1376055279,0.0,-70195.44960000002,-2922.768921600001
9936358.70522462,-11513569.021813238,-1175221.328423662,475107.206686554,0.0,-70195.44960000002,-2922.768921600001
9948791.255281938,-11535565.425050225,-1178373.2731100535,481519.1151798342,0.0,-70195.44960000002,-2922.768921600001
9962431.264975563,-11561563.010719867,-1185155.3332731335,487094.6309927728,0.0,-70195.44960000002,-2922.768921600001
10451011.179623095,-11155176.55922654,-285187.41716133786,492096.1809637066,0.0,-70195.44960000002,-2922.768921600001
10367360.42289489,-11216194.504887685,-446435.3936089926,471860.99597932404,0.0,-66685.67712000015,-2776.6304755200063
10300460.714844568,-11255260.687638553,-548306.2202521173,475956.0601373872,0.0,-66685.67712000015,-2776.6304755200063
10247067.120546876,-11302907.907203257,-645455.9286242275,479847.1656276753,0.0,-66685.67712000015,-2776.6304755200063
10204730.441231271,-11356786.933925008,-737937.86885368,483580.93143557775,0.0,-66685.67712000015,-2776.6304755200063
10171543.602828061,-11410698.432099102,-821428.840587503,487188.2962790582,0.0,-66685.67712000015,-2776.6304755200063
10145993.199437462,-11463206.516706174,-895985.681328511,490689.9435357218,0.0,-66685.67712000015,-2776.6304755200063
10126861.682620408,-11510764.384038737,-959265.1627934733,494099.8462203749,0.0,-66685.67712000015,-2776.6304755200063
10113177.177677996,-11523622.981545968,-982480.5279132688,497427.5835502236,0.0,-66685.67712000015,-2776.6304755200063
10104071.552015724,-11539432.181417508,-1004143.0821679393,500679.8548293653,0.0,-66685.67712000015,-2776.6304755200063
10557882.057230406,-11140927.337608274,-148646.11913643643,503861.46883695055,0.0,-66685.67712000015,-2776.6304755200063
10460510.082809972,-11192036.457453733,-294012.6917471771,506975.99049210455,0.0,-66685.67712000011,-2776.6304755200044
10381159.659507595,-11224313.026879897,-402589.5113968072,510026.16357101547,0.0,-66685.67712000011,-2776.6304755200044
10316476.58291964,-11261935.60646197,-501907.1440506058,513014.1870872421,0.0,-66685.67712000011,-2776.6304755200044
10263886.413792258,-11307384.667712573,-597018.6654674116,515941.8960484233,0.0,-66685.67712000011,-2776.6304755200044
10221367.479789156,-11356430.332756506,-685714.2808360864,518810.87972678343,0.0,-66685.67712000011,-2776.6304755200044
10187321.450891986,-11406672.698677031,-767190.996284219,521622.5590963465,0.0,-66685.67712000011,-2776.6304755200044
10160478.476635544,-11454449.659899913,-839055.2532743817,524378.237585508,0.0,-66685.67712000011,-2776.6304755200044
10139817.505266838,-11470733.373798382,-873299.0417369397,527079.1343901252,0.0,-66685.67712000011,-2776.6304755200044
10124417.54095175,-11485622.11143388,-900940.4716894331,529726.4063882189,0.0,-66685.67712000011,-2776.6304755200044
10578722.643635357,-11086178.710302172,-44597.21165858018,532321.1626037547,0.0,-66685.67712000011,-2776.6304755200044
10476076.662257235,-11139750.432653135,-198271.60419247896,534864.4737989403,0.0,-66685.67712000005,-2776.630475520002
10391892.207940737,-11177679.15901045,-317891.87978465785,537357.3788805746,0.0,-66685.67712000005,-2776.630475520002
10322831.41822353,-11216545.168584391,-423375.16873452265,539800.8892218583,0.0,-66685.67712000005,-2776.630475520002
10266301.37432661,-11262254.720284324,-523219.6619337939,542195.991619441,0.0,-66685.67712000005,-2776.630475520002
10220262.426726611,-11310479.089688297,-615135.3202011595,544543.6503560455,0.0,-66685.67712000005,-2776.630475520002
10183085.59257321,-11359289.971221276,-698821.8775675055,546844.8086760808,0.0,-66685.67712000005,-2776.630475520002
10153454.78738637,-11405105.110619457,-772012.2409534602,549100.3898751471,0.0,-66685.67712000005,-2776.630475520002
10130261.634070698,-11411825.921226451,-799715.2966165019,551311.2981347707,0.0,-66685.67712000005,-2776.630475520002
10112504.093110977,-11424507.236195348,-827987.0314916606,553478.4191882318,0.0,-66685.67712000005,-2776.630475520002
10575050.498654494,-11021024.222619705,40166.58931290579,555602.6208736374,0.0,-66685.67712000005,-2776.630475520002
10469780.642894797,-11067024.722913325,-109021.63400305969,557684.7536109865,0.0,-66685.67712000014,-2776.6304755200053
10382960.039932849,-11099936.525522243,-226713.14235764797,559725.6508272664,0.0,-66685.67712000014,-2776.6304755200053
10311330.092460964,-11133656.899489202,-330062.9852783918,561726.1293453661,0.0,-66685.67712000014,-2776.6304755200053
10252346.452282088,-11178041.406278122,-431470.2718444303,563686.9897471245,0.0,-66685.67712000014,-2776.6304755200053
10203999.354373327,-11226111.574802458,-525965.511307318,565609.016717333,0.0,-66685.67712000014,-2776.6304755200053
10164679.019473627,-11272919.242880642,-610209.5516293583,567492.9793731766,0.0,-66685.67712000014,-2776.6304755200053
10133081.673209816,-11317286.000750856,-684327.0035544753,569339.6315820849,0.0,-66685.67712000014,-2776.6304755200053
10108154.034457501,-11331571.075100422,-721729.6359684608,571149.7122699798,0.0,-66685.67712000014,-2776.6304755200053
10088927.605129,-11347173.711304355,-754784.4680496178,572923.945721257,0.0,-66685.67712000014,-2776.6304755200053
