Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1146194.3776425337,191072.40286994647,0.0,-35901.81302758229,-1494.8647518330235
9897743.618604522,-11237177.673819216,-1169047.3209802539,207783.4120138552,0.0,-35901.81302758229,-1494.8647518330235
9901749.9548598,-11289943.725949802,-1206088.464093299,219501.9847761182,0.0,-35901.81302758229,-1494.8647518330235
9907803.966104822,-11349110.091028057,-1250760.26163495,227942.5410676998,0.0,-35901.81302758229,-1494.8647518330235
9915706.83165701,-11406658.395118712,-1294122.5996703263,234225.64157079128,0.0,-35901.81302758229,-1494.8647518330235
9925279.415448545,-11461688.43595501,-1334721.900829365,239083.79745651572,0.0,-35901.81302758229,-1494.8647518330235
9936358.70522462,-11513569.021813238,-1371611.042355246,242995.9520127857,0.0,-35901.81302758229,-1494.8647518330235
9948791.255281938,-11535565.425050225,-1377895.4929356396,246275.3546120635,0.0,-35901.81302758229,-1494.8647518330235
9962431.264975563,-11561563.010719867,-1387401.4435229886,249126.98000073328,0.0,-35901.81302758229,-1494.8647518330235
10220680.884638125,-11391659.217724038,-956689.9631703518,251685.04769497554,0.0,-35901.81302758229,-1494.8647518330235
10187480.769103665,-11442270.271690743,-1048980.6851320553,241335.6613454671,0.0,-34106.72237620317,-1420.1215142413723
10162626.72610472,-11473058.34668815,-1102528.362127224,243430.1023466504,0.0,-34106.72237620317,-1420.1215142413723
10144567.786038768,-11513512.07916074,-1159050.9093431297,245420.22766928843,0.0,-34106.72237620317,-1420.1215142413723
10132142.058463842,-11560817.740004163,-1216872.6446046438,247329.88082612347,0.0,-34106.72237620317,-1420.1215142413723
10124436.971789736,-11608606.457269778,-1270521.44379162,249174.88557886615,0.0,-34106.72237620317,-1420.1215142413723
10120716.035049826,-11655342.4144883,-1319187.4027847007,250965.8205442187,0.0,-34106.72237620317,-1420.1215142413723
10120375.070596267,-11697413.023316067,-1359854.9643199053,252709.83229033998,0.0,-34106.72237620317,-1420.1215142413723
10122949.071299927,-11705014.935533844,-1363180.887968683,254411.82015567782,0.0,-34106.72237620317,-1420.1215142413723
10127954.087912368,-11715766.793883428,-1367264.3393287573,256075.2105327475,0.0,-34106.72237620317,-1420.1215142413723
10371109.63215883,-11539675.32003754,-946390.0688735092,257702.46289564512,0.0,-34106.72237620317,-1420.1215142413723
10332722.400851134,-11576733.112095058,-1020242.1545943187,259295.40054004907,0.0,-34106.72237620318,-1420.1215142413726
10303017.304874958,-11596550.948248213,-1068205.0604797148,260855.42678398418,0.0,-34106.72237620318,-1420.1215142413726
10280406.561321981,-11623057.862131191,-1115794.478375744,262383.66632390994,0.0,-34106.72237620318,-1420.1215142413726
10263680.756100094,-11658090.289792862,-1166055.3198995711,263881.0576836414,0.0,-34106.72237620318,-1420.1215142413726
10251887.515419748,-11697249.264952745,-1215540.179719053,265348.4137043894,0.0,-34106.72237620318,-1420.1215142413726
10244275.208107023,-11738042.809882864,-1262507.9845158772,266786.4611504102,0.0,-34106.72237620318,-1420.1215142413726
10240248.799243765,-11776713.51135863,-1303795.689338647,268195.86666666187,0.0,-34106.72237620318,-1420.1215142413726
10239360.075583322,-11783896.801140059,-1310486.3156302308,269577.2538169503,0.0,-34106.72237620318,-1420.1215142413726
10241114.288205683,-11790091.229791457,-1313572.5711839045,270931.21429231303,0.0,-34106.72237620318,-1420.1215142413726
10479014.353035333,-11612869.004279215,-897123.1798257354,272258.31530859205,0.0,-34106.72237620318,-1420.1215142413726
10438049.1001912,-11651190.025937375,-975108.6651241556,273559.1045124633,0.0,-34106.72237620323,-1420.1215142413746
10405991.937815772,-11674261.076174919,-1028961.8689915983,274834.1132579923,0.0,-34106.72237620323,-1420.1215142413746
10381240.839753348,-11699636.227905516,-1077838.3732255602,276083.85881705116,0.0,-34106.72237620323,-1420.1215142413746
10362555.139332881,-11732447.556227429,-1128110.4148932812,277308.8458917108,0.0,-34106.72237620323,-1420.1215142413746
10348962.891645035,-11768278.942506691,-1176333.3270829187,278509.56766918267,0.0,-34106.72237620323,-1420.1215142413746
10339688.97677869,-11805043.950218935,-1221195.310754162,279686.506576527,0.0,-34106.72237620323,-1420.1215142413746
10334102.896338616,-11839048.611214286,-1259632.4239282284,280840.13483788667,0.0,-34106.72237620323,-1420.1215142413746
10331752.999794787,-11842555.872117251,-1264358.8013114934,281970.9149014159,0.0,-34106.72237620323,-1420.1215142413746
10332084.820849298,-11842107.35980959,-1262470.0830709168,283079.299779821,0.0,-34106.72237620323,-1420.1215142413746
10570687.796424016,-11655644.007080084,-836317.3212132794,284165.73333323345,0.0,-34106.72237620323,-1420.1215142413746
10528127.388543293,-11691131.475156585,-913300.2799905324,285230.6505132051,0.0,-34106.72237620318,-1420.1215142413726
10494555.524507985,-11710791.855711447,-965488.697513777,286274.47758012934,0.0,-34106.72237620318,-1420.1215142413726
10468371.825404087,-11731773.687001893,-1011631.0731861017,287297.6323021487,0.0,-34106.72237620318,-1420.1215142413726
10448341.722708937,-11763584.750950469,-1062469.3479911364,288300.5241408401,0.0,-34106.72237620318,-1420.1215142413726
10433500.651503213,-11799439.637116998,-1112182.2750770743,289283.5544271565,0.0,-34106.72237620318,-1420.1215142413726
10423075.510636931,-11834369.017417973,-1156573.234141564,290247.1165299206,0.0,-34106.72237620318,-1420.1215142413726
10416442.4618809,-11866902.178961271,-1194794.964952424,291191.59601839154,0.0,-34106.72237620318,-1420.1215142413726
10413159.696939986,-11872337.334897544,-1202587.1110280831,292117.37081992,0.0,-34106.72237620318,-1420.1215142413726
10412710.549676666,-11874998.255946377,-1204789.73878678,293024.81137337483,0.0,-34106.72237620318,-1420.1215142413726
10663467.575412214,-11676396.042504348,-754541.0302037691,293914.2807788092,0.0,-34106.72237620318,-1420.1215142413726
10617243.186437601,-11711204.622549454,-834702.1450586064,294786.1349436896,0.0,-34106.7223762032,-1420.1215142413732
10580554.390660757,-11734025.052656312,-893356.7831600755,295640.7227259219,0.0,-34106.7223762032,-1420.1215142413732
10551722.979508119,-11755115.664589427,-942441.1428979113,296478.3860738412,0.0,-34106.7223762032,-1420.1215142413732
10529406.377870876,-11783314.714825867,-992135.7206821351,297299.4601632998,0.0,-34106.7223762032,-1420.1215142413732
10512560.757422222,-11815302.641031254,-1040164.4539675242,298104.2735319525,0.0,-34106.7223762032,-1420.1215142413732
10500354.016807163,-11847216.629753584,-1083496.308626039,298893.14821082714,0.0,-34106.7223762032,-1420.1215142413732
10492115.175055472,-11876840.871861007,-1120586.1408427265,299666.39985325234,0.0,-34106.7223762032,-1420.1215142413732
10487427.113961596,-11883601.311497822,-1131276.703565461,300424.3378612082,0.0,-34106.7223762032,-1420.1215142413732
10485704.618584188,-11886074.303772422,-1134729.2635695194,301167.2655091584,0.0,-34106.7223762032,-1420.1215142413732
10736642.303519383,-11684255.501693616,-681244.5619992557,301895.48006542085,0.0,-34106.7223762032,-1420.1215142413732
10689149.437211793,-11714451.278735008,-758219.4125025332,302609.27291112696,0.0,-34106.722376203186,-1420.121514241373
10651292.169376472,-11730523.200909479,-811448.9457666309,303308.9296568204,0.0,-34106.722376203186,-1420.121514241373
10621325.848777167,-11746855.290532004,-857061.5553885357,303994.73025674507,0.0,-34106.722376203186,-1420.121514241373
10597865.124288393,-11768513.253416289,-901508.0238974742,304666.9491208672,0.0,-34106.722376203186,-1420.121514241373
10579860.79981717,-11793914.166477082,-944254.355325679,305325.8552246771,0.0,-34106.722376203186,-1420.121514241373
