Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181039405.64041954,209938.57200000025
59214105.14779269,121980662.11750358,181598429.50974876,403662.2444524843
59706955.23803828,121866410.32846436,182159612.8005554,586247.2340527468
60200470.18760126,121765978.86751682,182727470.29235157,761021.2372334902
60694400.871976286,121678671.33681317,183303241.41675892,930169.2079694774
61188276.26404601,121603816.58669974,183887222.04396036,1095129.1932145893
61681486.79111259,121540754.3277937,184479092.10527408,1256850.9863677856
62165971.42669781,121489026.28396346,185070962.85299554,1415965.1423342687
62643097.44011036,121448027.11029936,185664017.97081506,1572893.420405315
58431588.96908748,123600031.1019532,183759541.0254899,1727920.9544492231
58921430.09073705,123282207.29501973,184178942.97112817,1975305.5853713735
59407465.43094992,123006171.87155801,184548285.02182052,2134647.719312573
59892601.60385806,122766170.9269095,184951219.3873589,2292446.856591344
60378737.52152501,122557670.40254502,185385187.7717327,2448779.8476626505
60866057.0814001,122377060.57037385,185846823.6289894,2603705.9772154293
61354337.507497326,122221406.75129165,186333017.1311963,2757272.8724073265
61842419.16200169,122088204.7530859,186840144.28210568,2909520.3670180654
62320832.83627551,121975587.37005304,187356903.23620415,3060483.029875615
62790670.240543745,121881533.90160221,187882395.96255988,3210191.8204139043
58252391.252197914,124083095.32970034,185694161.75570577,3358675.17380754
58733516.61526802,123711231.68108435,185950708.0096631,3505959.7133107604
59212350.95150605,123388652.73554805,186253074.40599084,3652070.718936738
59690265.06091008,123108576.17276417,186595873.6705338,3797032.436859537
60169218.485600956,122865602.51542097,186975689.28569946,3940868.284677538
60650172.692385815,122655337.02911094,187389110.71006554,4083600.988568778
61133411.59678038,122474245.58384126,187832909.8565043,4225252.675882645
61618219.16019955,122319410.68680145,188303474.78555468,4365844.938553675
62096150.54363423,122188625.52762699,188790174.94865328,4505398.877392066
62566789.92613074,122079489.97903134,189290215.0389841,4643935.133822017
57982736.128062285,124260901.4169123,187025111.45833734,4781473.913362738
58466100.791220024,123877892.91047777,186793644.41929454,4449650.717596742
58950408.316728264,123547602.93771665,187070350.2063075,4572338.951862613
59435380.05566965,123262527.79930966,187392085.18710268,4694177.332123378
59922307.26869851,123016897.71999104,187754387.6861846,4815182.697495071
60411652.58881626,122806066.54146248,188153090.6809645,4935371.55068577
60903387.78418222,122626242.04787122,188584389.89772424,5054760.065670808
61396645.72957892,122474204.28285682,189044214.10730067,5173364.094864925
61880531.14014281,122347472.5380767,189519202.8541425,5291199.175922996
62357703.99971698,122243008.64391562,190008993.18188882,5408280.538256196
58099449.983230494,124417616.6212792,188041689.7138309,5524623.1093211705
58579231.27459099,124051197.66640125,188270670.46171293,5640241.5207206765
59058270.20188107,123734509.63478865,188547929.95081124,5755150.11414153
59536142.14664192,123461063.39362612,188866568.4874158,5869362.947147743
60015269.25516453,123225569.20036007,189223732.25436556,5982893.798840969
60495911.52721795,123023691.95523022,189615359.65784538,6095756.175397231
60977558.48157832,122851860.61397475,190037382.41103944,6207963.315486376
61459753.32838238,122707110.76753613,190486392.2914977,6319528.195579211
61933505.22442403,122587237.95076165,190951206.71033192,6430463.535146281
62400451.0972129,122489600.63664843,191430833.5356129,6540781.80175157
58111789.403562054,124645682.16833891,189407966.78794488,6650495.216043922
58582859.62023202,124282842.964309,189625318.34118974,6759615.756648727
59055100.14245139,123970810.01244299,189894065.31985646,6868155.1649620915
59526354.22045975,123703021.05498572,190205500.22529525,6976124.949849742
59998350.34620854,123473618.50605841,190555505.24451953,7083536.392252566
60470969.79243894,123278115.95916906,190939486.3013088,7190400.549700788
60944546.59595376,123112837.38691102,191354112.24360344,7296728.260738657
61419059.16826162,122974780.39648598,191796369.71400902,7402530.149261411
61887687.334230214,122862205.19736975,192257709.1603663,7507816.628766329
62350247.648797825,122772103.0857481,192734948.64106545,7612597.906519541
58027246.86132659,124992642.82520601,190736773.67417294,7716883.987640317
58486995.97641756,124636792.57509527,190944473.23061723,7820684.679104431
58946102.89210402,124330675.26838014,191200787.75415248,7924009.593668312
59404007.42711404,124068009.82733314,191498885.4081625,8026868.153715326
59862621.39382009,123843184.48789833,191835075.47674444,8129269.595026022
60320776.99416838,123651723.53263234,192203723.49727437,8231222.970473656
60778465.26371114,123490028.26992841,192601230.68728605,8332737.153646513
61237119.88101603,123355183.55891642,193026124.282331,8433820.842398513
61691463.37002622,123245252.02397066,193471197.9563264,8534482.562329493
62141379.35064341,123157850.68536523,193933960.7062052,8634730.670196552
57707879.47003649,125421138.41933478,191863591.24662915,8734573.357257871
58156606.5960451,125067173.23480757,192057798.48340294,8834018.652550269
58608154.90060805,124762960.6540227,192304189.9807326,8933074.426101845
59060424.52156938,124502543.6901235,192594716.60377395,9031748.392081082
59514992.16773074,124280672.09975694,192925712.37937114,9130048.11188347
59969306.884677276,124092882.47148992,193290170.3533243,9227980.997157082
60423950.03717188,123935506.87487215,193685011.2248122,9325554.312768178
60879917.23733783,123805646.64817032,194108339.06521627,9422775.17970813
61330329.971522264,123701442.93093656,194551423.48040155,9519650.577942723
61777772.31113734,123620555.28038293,195014514.94072536,9616187.349205082
57444282.85198739,125838445.25880735,192995120.31052798,9712392.199733231
57890889.046015546,125504343.94727668,193203504.6962457,9808271.702953488
58340698.261285834,125218404.65020855,193462935.21360505,9903832.302110687
58792756.78272633,124974871.16850302,193766708.26407564,9999080.312846318
59248215.922851115,124768975.47750114,194111213.32607788,10094021.925725615
59705638.55060181,124596473.4224038,194490775.18172017,10188663.20871458
60165636.67442401,124453879.19267738,194902525.97670937,10283010.109607983
60628088.27930124,124338356.22365306,195343512.96136352,10377068.458409233
61088868.427273706,124247726.43785112,195807438.834788,10470843.969663166
61548555.20579451,124179543.35588226,196292440.80641937,10564342.244742597
57396121.46175763,126361753.90992635,194415444.1457736,10657568.774089597
57856561.17627493,126046947.00167273,194654037.11736006,10750528.939412396
58317162.25679379,125778363.18891591,194938753.4615485,10843228.015838798
58775479.133808605,125550301.00675541,195261451.31459087,10935671.17402686
59234824.89292859,125357962.3234949,195620650.69865736,11027863.482233878
59695258.69702562,125197366.4229514,196012435.02832136,11119809.908344341
60157178.60430555,125065228.16479622,196433922.0909595,11211515.321857736
60619953.56610376,124958776.66644913,196881714.72838986,11302984.495836977
61080111.436653875,124876092.11317606,197350425.6586482,11394222.108818267
61537230.966805875,124815312.1900107,197837775.9034997,11485232.746683117
57280016.4536347,127038934.672812,195894972.03094,11576020.904493298
