Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-999402.3629270482,373585.9583276167,0.0,-70195.44960000007,-2922.7689216000026
9897743.618604522,-11237177.673819216,-1006292.8457088271,406259.42802746664,0.0,-70195.44960000007,-2922.7689216000026
9901749.9548598,-11289943.725949802,-1032140.334753546,429171.6548580558,0.0,-70195.44960000007,-2922.7689216000026
9907803.966104822,-11349110.091028057,-1068749.6600821603,445674.6833626745,0.0,-70195.44960000007,-2922.7689216000026
9915706.83165701,-11406658.395118712,-1106110.3411807278,457959.4408025745,0.0,-70195.44960000007,-2922.7689216000026
9925279.415448545,-11461688.43595501,-1142069.1014225378,467458.13760552765,0.0,-70195.44960000007,-2922.7689216000026
9936358.70522462,-11513569.021813238,-1175221.3284236626,475107.2066865537,0.0,-70195.44960000007,-2922.7689216000026
9948791.255281938,-11535565.425050225,-1178373.273110054,481519.1151798339,0.0,-70195.44960000007,-2922.7689216000026
9962431.264975563,-11561563.010719867,-1185155.333273134,487094.63099277247,0.0,-70195.44960000007,-2922.7689216000026
10431268.904430024,-11119635.348740643,-269388.48186851304,492096.1809637063,0.0,-70195.44960000007,-2922.7689216000026
10345489.976166742,-11192661.933783364,-402415.5125608402,521530.5745034628,0.0,-73705.2220800001,-3068.9073676800035
10277982.809626967,-11243309.368832681,-516043.99060681055,526056.6980465852,0.0,-73705.2220800001,-3068.9073676800035
10225087.575978344,-11300959.863424718,-622289.0233055723,530357.3935884825,0.0,-73705.2220800001,-3068.9073676800035
10183952.893376002,-11362964.581759231,-721301.6304547446,534484.1873761644,0.0,-73705.2220800001,-3068.9073676800035
10152439.306047421,-11423992.12813321,-809855.67669872,538471.2748347479,0.0,-73705.2220800001,-3068.9073676800035
10128898.326863008,-11483053.111942792,-888587.3979879823,542341.5165394814,0.0,-73705.2220800001,-3068.9073676800035
