period,oha,ohv,ogs,ocp,ocf
1,37364.61268247676,8214987.600000001,96918266.1004743,157191233.11925688,-1648261.5190882373
2,39232.843316600585,8625736.98000001,98499339.76680186,156493339.90895677,-1798171.7399323946
3,39232.84331660056,8625736.980000012,100159463.75361528,155762493.1912767,-1907427.8379183009
4,39232.843316600534,7804238.220000011,102623824.94109625,155854503.39323655,-2004822.062183126
5,39232.84331660059,7804238.220000008,104992435.9880804,156109731.04980117,-2045626.73098186
6,39232.84331660055,7804238.220000006,107229753.03465669,156698226.06627733,-2041917.1843559367
7,38166.99243252268,7804238.220000009,109140816.46809956,157072858.00759342,-2008937.5636739414
8,36687.95202291452,7804238.220000008,110296497.50519863,157266335.63337117,-2030765.3331590858
9,35496.38204835295,7804238.220000014,110806671.19858357,157809103.68599564,-2088847.0520218315
10,35496.382048352876,7804238.219999999,111310532.29487517,158489606.37478858,-2129375.9952216353
