period,oha,ohv,ogs,ocp,ocf
1,297423.316989077,51515936.291879356,45975973.521792464,155797588.52671868,-775279.4643524468
2,42320.266391374964,6463049.594757914,47071079.97636188,147913933.28118393,893073.4468973707
3,21706.45630994487,3261567.888084584,52161718.92330874,144352674.8972022,-310232.04990287236
4,5697.914901303358,854894.3944308835,61098658.1871777,144309533.9825436,-1297890.8906180174
5,0.0,0.0,72403706.86923552,146844233.93233317,-2017646.5547214772
6,0.0,0.0,85108456.75006793,150714918.02677616,-2419954.9049956007
7,0.0,0.0,99093023.0646362,155222166.29956648,-2708430.5310495887
8,0.0,0.0,113648229.11629716,159543493.08768144,-2762490.5425728215
9,0.0,0.0,128274026.02957241,163657964.01400986,-2888328.831446953
10,0.0,0.0,142348909.5450817,167450223.0906301,-2917976.620259899
