Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180997417.92601955,167950.85760000002
59214105.14779269,121980662.11750358,181517697.06085828,322929.7955619871
59706955.23803828,121866410.32846436,182042363.35374486,468997.7872421969
60200470.18760126,121765978.86751682,182575266.0449049,608816.9897867916
60694400.871976286,121678671.33681317,183117207.57516503,744135.366375581
61188276.26404601,121603816.58669974,183668196.20531744,876103.3545716706
61681486.79111259,121540754.3277937,184227721.90800053,1005480.7890942276
62165971.42669781,121489026.28396346,184787769.82452866,1132772.1138674135
62643097.44011036,121448027.11029936,185349439.28673398,1258314.7363242502
59570137.264079735,123060672.67442508,184013146.7020642,1382336.7635593768
60054853.066592656,122823098.56263289,184307696.62435147,1429744.9951259461
60535013.494366005,122617551.22703391,184697643.07061666,1545078.3492167192
61013654.99326425,122439831.09274769,185112780.95363995,1659294.86762802
61492776.624648735,122286826.48386486,185552053.28396466,1772450.1754510608
61972615.58768859,122155985.06111306,186013187.83230993,1884587.18350831
62453004.67867371,122045144.18009232,186493889.22355607,1995740.3647900643
62932812.79509694,121952448.63014847,186991199.97661087,2105938.5513654565
63402400.120756224,121876710.29296078,187494317.1781984,2215206.7644813973
63863114.817214996,121816212.62136893,188002894.8514549,2323567.4128710157
60764196.14793349,123440086.6283436,186635323.8544616,2431041.0781845045
61227502.15959839,123187473.33478512,186952622.52497035,2537647.0305868285
61686228.360218786,122969568.74089085,187299200.66910192,2643403.5679922975
62142147.78619748,122781941.98758966,187672418.01379976,2748328.2400126085
62597590.3206699,122621138.54401144,188071166.86120984,2852437.9965284946
63053726.27796501,122484267.3931311,188493742.95806018,2955749.2869640584
63511011.55837704,122368936.52662681,188938226.2123094,3058278.127305524
63968817.8489208,122273178.66921204,189402036.66413358,3160040.146000745
64418257.838218816,122195681.50400172,189874989.95823765,3261050.6160171037
64859393.07086034,122134604.2763335,190355321.82500786,3361324.4778140215
61738161.01180424,123736283.56354357,188935320.93168655,3460876.356338732
62185298.90635042,123486763.17096445,189231782.65139225,3559720.574077388
62630122.47623268,123273499.36888748,189561493.00661024,3657871.161490083
63073183.79293714,123091720.83418813,189920246.49282396,3755341.865698696
63516396.8957027,122937734.34367073,190306277.39736947,3852146.15799605
