period,oha,ohv,ogs
1,33055.16209512944,8214987.6,96918266.10047431
2,34707.92019988592,7804238.219999997,99481229.77657859
3,34707.92019988589,7804238.219999999,102194779.02441342
4,34707.920199885884,7804238.2200000025,104777927.83826654
5,34707.920199885884,7804238.219999999,107051974.98830074
6,34402.59554792634,7804238.2200000025,108995547.10071702
7,32761.45751673983,7804238.219999997,110553024.34343064
8,31402.40399037299,7804238.220000002,111604412.33743535
9,31402.40399037297,7804238.2200000025,111953916.72195412
10,31402.40399037297,7804238.219999995,111667269.49015273
