Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
7601861.439147387,20550206.229780946,28152067.668928333,0.0
7724766.574582968,20503155.02871401,28227921.603296977,0.0
7847515.906828981,20464265.6106748,28311781.51750378,0.0
7970017.778784567,20432413.771073725,28402431.54985829,0.0
8092485.943547073,20406704.12832066,28499190.071867734,0.0
8214588.050884207,20386397.53188983,28600985.582774036,0.0
8336313.929846483,20370876.755285423,28707190.685131904,0.0
8457990.819809655,20359634.41608793,28817625.235897586,0.0
8579366.752398068,20352246.008872196,28931612.761270262,0.0
8700537.849630663,20348330.793968562,29048868.643599227,0.0
7968811.976361925,20811121.42783981,28779933.404201735,0.0
8084737.425517026,20746027.47834114,28830764.903858166,0.0
8200842.202578798,20691147.234724585,28891989.437303383,0.0
8317069.569118975,20645063.82895535,28962133.398074325,0.0
8433323.032697732,20606649.69475144,29039972.727449175,0.0
8549439.227227936,20574973.204029635,29124412.431257572,0.0
8665421.565371538,20549270.733964268,29214692.299335804,0.0
8781451.924243258,20528913.99647584,29310365.9207191,0.0
8897456.881096724,20513369.537872043,29410826.418968767,0.0
9013345.936656939,20502175.572467703,29515521.509124644,0.0
8300156.252753016,20947767.021301918,29247923.274054933,0.0
8409167.66655607,20879397.554408118,29288565.22096419,0.0
8518118.116845185,20821293.68413209,29339411.800977275,0.0
8627220.37910349,20772135.57871194,29399355.95781543,0.0
8736348.871202935,20730851.065106582,29467199.936309516,0.0
8845427.001985805,20696556.11429719,29541983.116282996,0.0
8954359.15335359,20668504.795068387,29622863.94842198,0.0
9063304.453338647,20646029.61601803,29709334.069356676,0.0
9172158.917329315,20628557.566860046,29800716.48418936,0.0
9280768.477866642,20615622.216589663,29896390.694456305,0.0
8561806.949964909,21060138.79233037,29621945.74229528,0.0
8663296.139876774,20991372.68342785,29654668.823304627,0.0
8764648.527334508,20932759.3870657,29697407.91440021,0.0
8866032.862741755,20883017.74908218,29749050.611823935,0.0
8967311.093523506,20841099.338932265,29808410.43245577,0.0
9068597.378098827,20806137.73714875,29874735.115247577,0.0
9169845.439603938,20777403.41703924,29947248.856643178,0.0
9271048.834994767,20754276.60208459,30025325.437079355,0.0
9372147.845239349,20736209.203512028,30108357.048751377,0.0
9473049.0056516,20722725.619921792,30195774.625573393,0.0
8759796.121879097,21154777.69377157,29914573.815650668,0.0
8854846.986857459,21086789.328929264,29941636.315786723,0.0
8950005.683142714,21028956.18452705,29978961.867669765,0.0
9044800.204394352,20980002.947254676,30024803.15164903,0.0
9139374.423885463,20938852.938670248,30078227.362555712,0.0
9234115.471746823,20904641.72049124,30138757.192238066,0.0
9329010.034441587,20876650.25673928,30205660.291180868,0.0
9424021.421453927,20854253.905652232,30278275.32710616,0.0
9519124.149765028,20836909.909617707,30356034.059382733,0.0
9614121.246469002,20824155.665898718,30438276.91236772,0.0
8883827.20862815,21259956.87883193,30143784.08746008,0.0
8974087.658878947,21191192.47337213,30165280.13225108,0.0
9064530.330685813,21132789.635920987,30197319.9666068,0.0
9155077.784844894,21083473.321419384,30238551.10626428,0.0
9245815.951120932,21042194.42317264,30288010.374293573,0.0
9336688.54832128,21008075.841685466,30344764.390006747,0.0
9427801.785967724,20980360.977902103,30408162.76386983,0.0
9518849.278714813,20958385.2382495,30477234.516964313,0.0
9609924.200490821,20941564.093743015,30551488.294233836,0.0
9700781.389278533,20929404.489376243,30630185.878654778,0.0
8913587.071117636,21385339.51841903,30298926.58953667,0.0
9001154.81319932,21315465.992012266,30316620.805211585,0.0
9088878.927126674,21256221.080948513,30345100.00807519,0.0
9176729.15804679,21206233.28854572,30382962.44659251,0.0
9264320.493943078,21164396.702843532,30428717.196786612,0.0
9352129.742047263,21129814.836853646,30481944.57890091,0.0
9440184.286584092,21101727.349998645,30541911.63658274,0.0
9528261.277445944,21079465.975381877,30607727.252827823,0.0
9616383.486230819,21062456.708495416,30678840.194726232,0.0
9704364.547601685,21050203.864599843,30754568.412201528,0.0
8767627.051881406,21572509.819310665,30340136.87119207,0.0
8853697.826920746,21494539.46198276,30348237.28890351,0.0
8940009.552634722,21428234.56218227,30368244.114816993,0.0
9026578.453076188,21372031.21919979,30398609.67227598,0.0
9113008.266869117,21324687.530425955,30437695.79729507,0.0
9199489.378943069,21285177.205696322,30484666.58463939,0.0
9286231.213651279,21252627.76710545,30538858.98075673,0.0
9372322.113460587,21226266.784990486,30598588.89845107,0.0
9458549.737093743,21205453.25057695,30664002.987670694,0.0
9544957.852336587,21189657.16654743,30734615.018884018,0.0
8701917.303502092,21667192.996911522,30369110.300413612,0.0
8785894.93472153,21591767.6993488,30377662.63407033,0.0
8870244.183807211,21527490.661279432,30397734.84508664,0.0
8955005.405678231,21472952.097870465,30427957.503548697,0.0
9039551.433027131,21426987.62914203,30466539.06216916,0.0
9124071.165162235,21388613.167215165,30512684.3323774,0.0
9208864.002027418,21357014.94834007,30565878.950367488,0.0
9293293.76652954,21331460.63033516,30624754.3968647,0.0
9377698.286668478,21311335.59213879,30689033.878807265,0.0
9462205.349353699,21296116.173834983,30758321.52318868,0.0
8557035.965951845,21802893.4901334,30359929.456085246,0.0
