Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-468659.86495817406,39192.44361929761,0.0,-7364.118322580642,-306.62409445161273
1606482.2789892564,-2112336.1832102737,-470904.46947975445,42620.177158295395,0.0,-7364.118322580642,-306.62409445161273
1617333.0696080052,-2127450.148186882,-472763.9502880211,45023.87070788789,0.0,-7364.118322580642,-306.62409445161273
1628126.27130303,-2142533.651920808,-475322.9398945433,46755.18314026717,0.0,-7364.118322580642,-306.62409445161273
1638847.0779621457,-2157405.8360304483,-478185.5385443458,48043.961940989124,0.0,-7364.118322580642,-306.62409445161273
1649487.7128556406,-2172224.09227385,-481366.6632899019,49040.45854533973,0.0,-7364.118322580642,-306.62409445161273
1660035.8722198664,-2186853.5155790495,-484645.4727969877,49842.912979227556,0.0,-7364.118322580642,-306.62409445161273
1670481.2589194207,-2200460.441727845,-487134.3468086951,50515.57841676149,0.0,-7364.118322580642,-306.62409445161273
1680816.6558127305,-2212473.815667133,-488227.4033450125,51100.49892642227,0.0,-7364.118322580642,-306.62409445161273
1763332.5628754979,-2143697.048809819,-336410.0229661484,51625.20538520469,0.0,-7364.118322580642,-306.62409445161273
1756517.0085507135,-2161330.378781827,-362598.2185226249,49502.35700466949,0.0,-6995.912406451611,-291.2928897290322
1752630.1909822926,-2177625.0915111266,-382350.14067380043,49931.96515121432,0.0,-6995.912406451611,-291.2928897290322
1751010.3646645974,-2192874.6183932754,-398811.2827801984,50340.176244659946,0.0,-6995.912406451611,-291.2928897290322
1751171.03664407,-2208221.044026485,-413605.3316531434,50731.881025452465,0.0,-6995.912406451611,-291.2928897290322
1752739.4408930289,-2221819.5795685775,-425257.0187352703,51110.32523645881,0.0,-6995.912406451611,-291.2928897290322
1755426.2684138196,-2234944.1034574155,-435327.3615943803,51477.67874539638,0.0,-6995.912406451611,-291.2928897290322
1759010.8694512437,-2248771.4347456363,-445212.3631465026,51835.407444070755,0.0,-6995.912406451611,-291.2928897290322
1763320.732449301,-2261327.3009857303,-453109.25755622686,52184.51627638279,0.0,-6995.912406451611,-291.2928897290322
1768215.7887556818,-2273837.1830056426,-460382.89148805215,52525.70805808954,0.0,-6995.912406451611,-291.2928897290322
1848782.7452794865,-2192337.8360800035,-297982.80882439745,52859.48727229999,0.0,-6995.912406451611,-291.2928897290322
1836861.1764377076,-2207605.255000864,-324845.0559490403,53186.22791029704,0.0,-6995.91240645161,-291.29288972903214
