Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27272765.68529683,10571.710799999997
7409068.608032173,19991085.522161298,27420481.030908175,20326.900714703173
7540872.334331541,19998404.63547435,27568798.158583462,29521.188777570344
7672226.467124167,20007343.424668394,27717892.036961243,38322.14516868601
7803180.814584098,20017814.19304527,27867834.80351842,46839.79588904871
7933803.123650948,20029756.35109248,28018706.030276354,55146.55553292963
8064141.94690854,20043095.066932846,28170527.265937485,63290.25209609864
8194018.320522482,20057758.470448475,28323079.42890468,71302.63793372236
8323091.836063607,20073682.36214037,28475979.149449177,79204.95124520417
8157865.096901357,20238069.508708667,28482946.15590149,87011.55029146875
8287108.98499506,20235664.180511866,28612768.839373726,89995.67386679965
8416022.155451428,20236800.980699427,28750078.498253044,97255.36210218527
8544539.972612929,20241038.405044463,28890023.128480077,104444.75082268177
8672836.707836322,20248030.102802195,29032434.152002767,111567.34136425078
8800594.040055323,20257487.674066193,29176707.548881393,118625.83475987193
8927804.436865358,20269167.615848076,29322594.453634396,125622.40092096476
9054766.918974755,20282878.10349782,29470203.877162267,132558.854689686
9181223.602486879,20298459.497523457,29619119.87104532,139436.7710349878
9307264.956977569,20315765.901825663,29769288.419283688,146257.56048045668
9145455.214172898,20476881.612830848,29775359.345547207,153022.51854346448
9270048.722634688,20477318.14686269,29907099.72768698,159732.85818960136
9394453.684371585,20481451.817708537,30042295.233266003,166389.7311858843
9518603.75164767,20488833.50695572,30180431.50080062,172994.24219722662
9642422.386312006,20499101.372609183,30321071.217059508,179547.4581383184
9765746.877963899,20511950.245686416,30463747.538072787,186050.41442247608
9888553.630004134,20527133.036939923,30608190.78612421,192504.11918015484
10011037.374542505,20544449.07647392,30754396.00716453,198909.55614810556
10133078.3074296,20563723.822813366,30902069.816930234,205267.68668726762
10254624.971304199,20584808.727382176,31051013.149915155,211579.45122877948
10085613.072158804,20756725.861647397,31060184.704149984,217845.77034378212
10203968.213204185,20761136.693709437,31189172.452478543,224067.5455649246
10321641.436988905,20769023.531092033,31320910.628124136,230245.66004319885
10438889.703186149,20780000.14570664,31455270.82798759,236380.97909479868
10555636.0960562,20793742.81523227,31591853.261962257,242474.35067378546
10671743.441226073,20809981.198826715,31730251.24584678,248526.6057939914
10787127.915626593,20828484.771561433,31870151.24610354,254538.55891551345
10901947.536021167,20849058.261819083,32011516.806146126,260511.0083058759
11016112.56312699,20871530.94438355,32154088.24389303,266444.7363824892
11129399.283236664,20895751.731255367,32297491.52453281,272340.51004077913
10950075.71027283,21071383.067252632,32299657.85849635,278199.08097088605
11059777.572539015,21078725.30189548,32422524.06039936,284021.18596486904
11168592.116150543,21089487.200434733,32547886.863801,289807.5472157212
11276750.335170649,21103278.347426694,32675587.555206433,295558.8726090862
11384102.458467826,21119769.84632676,32805148.160802886,301275.8560082991
11490758.417373221,21138688.011528213,32936405.60643463,306959.17753319495
11596653.527040066,21159803.91999437,33069066.950867444,312609.5038330115
11701747.22447967,21182933.686038163,33202908.398871467,318227.4883536365
11805970.111563785,21207895.650348235,33337679.53351142,323813.77159939887
11909275.695139904,21234521.422191598,33473166.09872107,329368.9813895674
11722326.66898631,21411746.600087263,33468967.002183273,334893.7331097007
11822334.198216252,21421431.790705122,33586019.24108238,342253.252161006
11921457.440550087,21434469.18579908,33703675.452048704,347748.82569953764
12019563.637566019,21450454.882718798,33823234.07831697,353215.5580321523
12116706.668400753,21469054.276118737,33944414.96485558,358654.02033609484
12213119.416650988,21489997.65946312,34067181.84859097,364064.77247686934
12308757.080453623,21513058.2758954,34191263.71958129,369448.3632322687
12403636.35970785,21538044.418637164,34316486.108856976,374805.33051196527
12497786.976047276,21564788.51896306,34442711.696583085,380136.2015727497
12591103.147335859,21593141.934016984,34569686.57458235,385441.4932295054
12394739.443208432,21771888.706161603,34557349.86143204,390721.7120620042
12484941.208271587,21783217.702449284,34703433.691051714,435274.780330841
12574246.930520851,21797838.417643197,34813110.869169764,441025.5210057158
12662701.115734715,21815354.510994814,34924805.9325804,446750.3058508628
12750300.42942255,21835437.729631294,35038187.807954706,452449.64890086034
12837090.099426325,21857817.48188709,35153031.63532366,458124.05401023984
12923130.916469984,21882256.488103524,35269161.419628605,463774.01505509426
13008157.969804961,21908553.334724188,35386111.32065984,469400.01613069273
13092396.463924404,21936533.657818988,35503932.65348857,475002.5317451822
13175737.29911246,21966043.94079649,35622363.2669184,480582.0270094528
12949670.138720829,22153321.697778378,35589130.79432245,486138.9578232435
13029113.42268724,22164879.934070025,35685667.12781483,491673.7710575607
13107669.877674358,22179700.146378893,35784556.92878674,497186.90473348607
13185229.281531697,22197365.939239405,35885274.00896855,502678.7881974416
13261653.644764757,22217535.680102803,35987339.16716055,508149.84229298506
13337276.508058416,22239937.292034555,36090814.279622175,513600.47952920187
13412079.493721379,22264335.9803091,36195446.57827624,519031.1042457626
13485993.684421267,22290526.477706637,36300962.27490262,524442.1127747123
13559076.03415782,22318342.75384127,36407252.68159814,529833.893599055
13631178.735481707,22347627.93833494,36514013.50132484,535206.8275081974
13345467.827167245,22556564.74979759,36442593.86471515,540561.2877503148
13413748.04828037,22565115.980506808,36524761.66896887,545897.6401816991
13481034.285321986,22577109.13924615,36609359.66798129,551216.2434131487
13547436.390890246,22592107.561366726,36696061.40121043,556517.4489534606
13612929.657008871,22609742.737556376,36784473.99591532,561801.6013500795
13677675.094209988,22629719.868127506,36874464.00066446,567069.0383269619
13741727.334946431,22651788.27545062,36965835.70131677,572320.0909197092
13804974.362843342,22675721.642350234,37058251.0888016,577555.0836080264
13867438.873270161,22701339.5070778,37151552.71479352,582774.3344455557
13928990.930046694,22728474.307986733,37245443.393220566,587978.1551871396
13601381.198812298,22948126.069920085,37142674.12014595,593166.8514135638
13659547.076103924,22953204.230984557,37211092.02974231,598340.7226538295
13717003.62112707,22961882.549278334,37282386.23291041,603500.062505004
13773523.092228457,22973703.701679092,37355871.95265725,608645.1587496983
13829194.723187637,22988277.31080646,37431248.32746531,613776.2934712172
13884191.297831107,23005282.802482806,37508367.84348034,618893.7431664299
13938558.654865079,23024463.9441596,37587020.37788109,623997.778856405
13992112.065510163,23045579.39164039,37666780.12334541,629088.6661948545
14044868.847367398,23068435.040006876,37747470.552948706,634166.6655744292
14096612.009937398,23092857.938461088,37828701.9806294,639232.0322309107
13820966.925732873,23285760.81818269,37751012.760260895,644285.0163453391
