period,oha,ohv,ogs,ocp,ocf
1,4921.881390178455,612852.8,6296246.432114859,26659025.155144546,1499193.320676701
2,5159.887143550904,582210.1599999999,8244276.737425267,27675875.035396267,1570588.1593242951
3,4675.787320669533,582210.1599999997,10458665.836229052,28585980.953799132,1645855.6767983807
4,4675.787320669535,582210.16,12776203.320378037,29277592.489149645,1700699.710957948
5,4675.787320669537,582210.16,15055153.97139839,29696476.96333275,1732378.8195530034
6,4675.787320669537,582210.16,17187959.590351813,29898581.13910257,1743607.2791266467
7,4675.787320669533,619223.4096143997,19055999.824345764,29975642.67646148,1740698.1647142554
8,5167.975459687381,643495.4400000001,20623937.390973065,30024608.523827776,1734586.0157123855
9,5167.975459687383,643495.44,21889962.281955086,30025176.357484434,1731063.8481878678
10,5167.975459687382,643495.4400000001,22839133.100915376,29986067.43336518,1726916.9267851247
