Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-471812.03507840063,35273.199257367836,0.0,-6627.706490322577,-275.9616850064515
1606482.2789892564,-2112336.1832102737,-474399.4129538808,38358.15944246584,0.0,-6627.706490322577,-275.9616850064515
1617333.0696080052,-2127450.148186882,-476499.2631171067,40521.48363709909,0.0,-6627.706490322577,-275.9616850064515
1628126.27130303,-2142533.651920808,-479231.3839668668,42079.664826240434,0.0,-6627.706490322577,-275.9616850064515
1638847.0779621457,-2157405.8360304483,-482222.86049674154,43239.565746890185,0.0,-6627.706490322577,-275.9616850064515
1649487.7128556406,-2172224.09227385,-485503.63490273274,44136.41269080575,0.0,-6627.706490322577,-275.9616850064515
1660035.8722198664,-2186853.5155790495,-488862.68985320727,44858.62168130478,0.0,-6627.706490322577,-275.9616850064515
1670481.2589194207,-2200460.441727845,-491418.8304086681,45464.02057508533,0.0,-6627.706490322577,-275.9616850064515
1680816.6558127305,-2212473.815667133,-492570.37899595156,45990.44903378002,0.0,-6627.706490322577,-275.9616850064515
1754367.7100668733,-2154167.490735049,-360240.76399682026,46462.684846684206,0.0,-6627.706490322577,-275.9616850064515
1749657.297799293,-2171108.944973091,-383458.0106361582,44552.12130420253,0.0,-6296.32116580645,-262.163600756129
1747495.5715811832,-2186898.11985137,-401022.2644006564,44938.76863609287,0.0,-6296.32116580645,-262.163600756129
1747302.2761242597,-2201717.8949639145,-415667.9449860235,45306.15862019394,0.0,-6296.32116580645,-262.163600756129
1748651.5440841985,-2216690.9707882963,-428939.2185477533,45658.69292290722,0.0,-6296.32116580645,-262.163600756129
1751216.7659703363,-2229959.341458877,-439301.7675422907,45999.292712812916,0.0,-6296.32116580645,-262.163600756129
1754744.2340035466,-2242755.506844849,-448239.8467370082,46329.91087085673,0.0,-6296.32116580645,-262.163600756129
1759041.108183548,-2256303.055306969,-457168.56519031996,46651.86669966368,0.0,-6296.32116580645,-262.163600756129
1763956.8171590234,-2268586.841443829,-464222.44440262375,46966.06464874451,0.0,-6296.32116580645,-262.163600756129
1769368.843318006,-2280854.402509426,-470770.9067057024,47273.13725228056,0.0,-6296.32116580645,-262.163600756129
1841489.5392050855,-2211222.8098973935,-328718.2169138007,47573.53854506999,0.0,-6296.32116580645,-262.163600756129
1832198.715708184,-2225714.2470453824,-352206.41098449356,47867.60511926732,0.0,-6296.321165806445,-262.16360075612874
