Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27272765.68529683,10571.7108
7409068.608032173,19991085.522161298,27420481.030908175,20326.900714703173
7540872.334331541,19998404.63547435,27568798.158583462,29521.188777570344
7672226.467124167,20007343.424668394,27717892.036961243,38322.14516868602
7803180.814584098,20017814.19304527,27867834.80351842,46839.79588904872
7933803.123650948,20029756.35109248,28018706.030276354,55146.55553292965
8064141.94690854,20043095.066932846,28170527.265937485,63290.252096098644
8194018.320522482,20057758.470448475,28323079.42890468,71302.63793372238
8323091.836063607,20073682.36214037,28475979.149449177,79204.95124520418
8135969.864022896,20249199.944535002,28472181.358849365,87011.55029146878
8266847.044507785,20244160.140170537,28601002.858545125,89995.67386679965
8397367.21538607,20243245.641101614,28737868.21858987,97255.36210218527
8527472.576591399,20245876.080225542,28877793.407639623,104444.75082268176
8657340.089254364,20251611.980280634,29020519.410899248,111567.34136425078
8786645.871939952,20260096.46875454,29165368.175454367,118625.83475987193
8915379.650459604,20271034.007699065,29312036.059079632,125622.40092096475
9043833.764592499,20284192.734096944,29460585.35337913,132558.85468968598
9171754.553904245,20299381.44836733,29610572.773306567,139436.77103498776
9299229.25036367,20316428.14582801,29761914.956672136,146257.56048045668
9109421.195759604,20500510.452555075,29762954.16685814,153022.51854346445
9237492.424595082,20497053.986552566,29894279.26933725,159732.85818960133
9365279.3348269,20498031.213383775,30029700.279396556,166389.73118588424
9492726.387221128,20502852.25666829,30168572.886086643,172994.24219722656
9619759.932808178,20511048.678653225,30310356.069599718,179547.45813831835
9746192.653772146,20522235.471972726,30454478.540167347,186050.41442247605
9872015.823654903,20536102.59667281,30600622.53950787,192504.1191801548
9997417.347505283,20552395.816360895,30748722.72001428,198909.55614810553
10122280.614184773,20570896.344657686,30898444.645529725,205267.6866872676
10246554.55798562,20591419.364909325,31049553.374123722,211579.45122877945
10050215.648253424,20777739.804916333,31045801.223513536,217845.77034378206
