period,oha,ohv,ogs,ocp,ocf
1,4000.8915694479524,459639.5999999999,6476497.255644271,26644814.77637805,-487289.1517262049
2,4200.936147920351,436657.62000000005,8607242.81451805,27680479.363826286,-513595.4567081304
3,4200.936147920347,436657.6199999998,11036522.824703949,28571665.316327482,-524355.3265794904
4,3918.958110764708,436657.62,13607745.497969277,29300648.36530742,-531344.6786117688
5,4200.936147920352,436657.62000000005,16183736.14326987,29719473.991679728,-518239.10615169944
6,4159.990185742046,436657.61999999994,18634555.884210262,29849051.189050768,-512664.12282356736
7,4200.936147920349,436657.61999999994,20861684.493813686,29865369.464198474,-522116.6153935206
8,4200.93614792035,436657.62000000005,22831795.298244093,29892669.820763733,-539104.7843881331
9,3800.846990975555,436657.62,24516477.86285982,29950659.106553677,-549838.4693702271
10,3800.8469909755563,436657.61999999994,25945151.97494362,30023061.147751607,-551473.9341446199
