Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-474964.2051986271,31353.954895438095,0.0,-5891.294658064513,-245.2992755612902
1606482.2789892564,-2112336.1832102737,-477894.3564280071,34096.14172663632,0.0,-5891.294658064513,-245.2992755612902
1617333.0696080052,-2127450.148186882,-480234.5759461922,36019.09656631031,0.0,-5891.294658064513,-245.2992755612902
1628126.27130303,-2142533.651920808,-483139.82803919027,37404.14651221374,0.0,-5891.294658064513,-245.2992755612902
1638847.0779621457,-2157405.8360304483,-486260.1824491372,38435.169552791296,0.0,-5891.294658064513,-245.2992755612902
1649487.7128556406,-2172224.09227385,-489640.60651556344,39232.366836271794,0.0,-5891.294658064513,-245.2992755612902
1660035.8722198664,-2186853.5155790495,-493079.90690942673,39874.330383382054,0.0,-5891.294658064513,-245.2992755612902
1670481.2589194207,-2200460.441727845,-495703.31400864094,40412.46273340919,0.0,-5891.294658064513,-245.2992755612902
1680816.6558127305,-2212473.815667133,-496913.3546468905,40880.39914113782,0.0,-5891.294658064513,-245.2992755612902
1749036.1582975995,-2160517.9499218646,-376318.2212497272,41300.164308163745,0.0,-5891.294658064513,-245.2992755612902
1745234.8140185508,-2177569.0915922504,-398562.1562069083,39601.885603735616,0.0,-5596.729925161292,-233.0343117832259
1743909.2955025963,-2193653.1110496125,-415628.0076629894,39945.572120971476,0.0,-5596.729925161292,-233.0343117832259
1744478.0988598727,-2208713.1925721737,-429792.71695351746,40272.14099572798,0.0,-5596.729925161292,-233.0343117832259
1746519.3089872093,-2223856.142901851,-442581.093331224,40585.504820362,0.0,-5596.729925161292,-233.0343117832259
1749712.4761726323,-2237277.677078283,-452506.704953428,40888.26018916708,0.0,-5596.729925161292,-233.0343117832259
1753810.4035889285,-2250196.0518925707,-461033.26954426937,41182.14299631713,0.0,-5596.729925161292,-233.0343117832259
1758626.3492883493,-2263839.7931864937,-469574.88217983255,41468.32595525663,0.0,-5596.729925161292,-233.0343117832259
1764015.394534217,-2276192.6679884815,-476259.4246701028,41747.613021106255,0.0,-5596.729925161292,-233.0343117832259
1769859.0045261628,-2288527.0716891424,-482477.2649534524,42020.56644647165,0.0,-5596.729925161292,-233.0343117832259
1837041.1673391638,-2230072.4455570634,-356573.45263700414,42287.58981784002,0.0,-5596.729925161292,-233.0343117832259
1829134.5628890323,-2244383.9479700793,-378530.166989754,42548.98232823763,0.0,-5596.7299251612885,-233.03431178322575
1824071.095109315,-2259313.803683231,-398267.49855624675,42804.97425461401,0.0,-5596.7299251612885,-233.03431178322575
1821236.1553296268,-2273389.5406820006,-414927.3994357019,43055.7501536164,0.0,-5596.7299251612885,-233.03431178322575
1820171.8643977607,-2286656.686234277,-429013.1220414998,43301.46403196122,0.0,-5596.7299251612885,-233.03431178322575
1820524.3203327088,-2298833.4389828863,-440596.6336145975,43542.2492725247,0.0,-5596.7299251612885,-233.03431178322575
1822021.5350085094,-2310611.297659795,-450641.30175481236,43778.22513341721,0.0,-5596.7299251612885,-233.03431178322575
1824451.7383339703,-2322714.381932207,-460082.90682768595,44009.50100749523,0.0,-5596.7299251612885,-233.03431178322575
1827646.1735266056,-2334131.571110255,-468078.9826023645,44236.179218229634,0.0,-5596.7299251612885,-233.03431178322575
1831471.9471030743,-2345111.3831028645,-475010.84337779356,44458.35685894117,0.0,-5596.7299251612885,-233.03431178322575
1897263.9338051719,-2281902.4295415427,-345792.13296661276,44676.12700670251,0.0,-5596.7299251612885,-233.03431178322575
1887526.0278626864,-2294313.530240188,-367727.6870870547,44889.579527391266,0.0,-5596.7299251612885,-233.03431178322575
1880726.811214454,-2306231.029755782,-386235.181164917,45098.80161335528,0.0,-5596.7299251612885,-233.03431178322575
1876253.3068614642,-2318704.544189918,-402977.1234192682,45303.87814613001,0.0,-5596.7299251612885,-233.03431178322575
1873649.4474143982,-2330261.481979037,-416936.9068569693,45504.8919446141,0.0,-5596.7299251612885,-233.03431178322575
1872561.7625314847,-2341012.179321392,-428578.25708867214,45701.92393817964,0.0,-5596.7299251612885,-233.03431178322575
1872713.5243356666,-2351094.4770422294,-438315.6636529918,45895.05329051568,0.0,-5596.7299251612885,-233.03431178322575
1873889.033675033,-2361446.73342777,-447303.10649861407,46084.357491067305,0.0,-5596.7299251612885,-233.03431178322575
1875916.0525925285,-2371197.7026046026,-454841.50182392617,46269.912425092414,0.0,-5596.7299251612885,-233.03431178322575
1878652.4836213589,-2379900.2382569057,-460625.7264429487,46451.792429542664,0.0,-5596.7299251612885,-233.03431178322575
1947271.2805155588,-2312985.6592204226,-324914.07260232704,46630.07033948117,0.0,-5596.7299251612885,-233.03431178322575
1936620.4755047958,-2322373.8321615164,-344778.30336554383,46804.817528121115,0.0,-5596.729925161288,-233.0343117832257
1928693.45391194,-2330888.237146881,-361048.4435293818,46976.10394250328,0.0,-5596.729925161288,-233.0343117832257
1922981.0700319833,-2338996.544604901,-374701.24067372654,47143.99813613567,0.0,-5596.729925161288,-233.0343117832257
1919064.9792980528,-2346921.3231158257,-386377.540755254,47308.56729946344,0.0,-5596.729925161288,-233.0343117832257
1916632.7605891575,-2355287.0861444264,-397014.2125034732,47469.87728874009,0.0,-5596.729925161288,-233.0343117832257
1915442.3629409212,-2363459.2436973443,-406218.6523396911,47627.99265367629,0.0,-5596.729925161288,-233.0343117832257
1915316.5567128116,-2371086.295059317,-413816.52591933345,47782.97666411625,0.0,-5596.729925161288,-233.0343117832257
1916086.2063478217,-2378005.6315207896,-419814.29807400424,47934.89133590803,0.0,-5596.729925161288,-233.0343117832257
1917589.881102964,-2384910.122867342,-425066.20854524244,48083.79745608009,0.0,-5596.729925161288,-233.0343117832257
1981401.4763871676,-2313995.059084725,-290193.5923271013,48229.75460740059,0.0,-5596.729925161288,-233.0343117832257
1969487.0147282768,-2323268.165377401,-311238.0936936955,48372.82119237292,0.0,-5596.729925161288,-233.0343117832257
1960474.362756289,-2332128.6836848664,-328971.0307088167,48513.05445670537,0.0,-5596.729925161288,-233.0343117832257
1953842.0977297372,-2339353.0563972346,-342690.2123921588,48650.510512282926,0.0,-5596.729925161288,-233.0343117832257
