Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27265063.77890908,2869.8044122504666
7409068.608032173,19991085.522161298,27405672.085656125,5517.955462651544
7540872.334331541,19998404.63547435,27547290.813488483,8013.843682590174
7672226.467124167,20007343.424668394,27689972.84958932,10402.957796764362
7803180.814584098,20017814.19304527,27833710.173173938,12715.165544568554
7933803.123650948,20029756.35109248,27978529.599388607,14970.124645182013
8064141.94690854,20043095.066932846,28124417.832363006,17180.81852161792
8194018.320522482,20057758.470448475,28271132.65766259,19355.866691632717
8323091.836063607,20073682.36214037,28418275.232696477,21501.03449250333
8348447.74552935,20145010.141999044,28517078.107156724,23620.21962833209
8478713.342277028,20154969.092149373,28633682.4344264,0.0
8608459.134399112,20167265.271746676,28775724.40614579,0.0
8737661.60194861,20181610.100362536,28919271.702311143,0.0
8866522.674024219,20197790.23364345,29064312.90766767,0.0
8994729.663307857,20215634.01365744,29210363.676965296,0.0
9122287.986444812,20234994.25300811,29357282.239452925,0.0
9249497.407352852,20255762.645391915,29505260.05274477,0.0
9376112.783212649,20277848.249286413,29653961.032499064,0.0
9502232.117641218,20301165.243262157,29803397.36090337,0.0
9627629.073544258,20325637.46351065,29953266.537054908,0.0
9752323.189364182,20351202.37230295,30103525.561667133,0.0
9876594.6557124,20377806.360192142,30254401.015904542,0.0
10000416.997438926,20405410.442239318,30405827.439678244,0.0
10123729.707325527,20433968.891991578,30557698.599317104,0.0
10246371.791923866,20463436.42880148,30709808.220725346,0.0
10368345.260307187,20493777.09987074,30862122.360177927,0.0
10489838.851335846,20524967.282605365,31014806.13394121,0.0
10610751.871556506,20556978.606297106,31167730.47785361,0.0
10731053.497701824,20589787.3859429,31320840.883644722,0.0
10850568.049452623,20623366.933228113,31473934.982680734,0.0
10969247.176520513,20657688.222279876,31626935.398800388,0.0
11087044.878317622,20692719.15839268,31779764.0367103,0.0
11204254.197233815,20728444.349537678,31932698.54677149,0.0
11320773.953092126,20764840.69195904,32085614.645051166,0.0
11436497.243465466,20801890.181104768,32238387.424570236,0.0
11551334.432972617,20839572.503901895,32390906.936874513,0.0
11665436.990853071,20877870.831722677,32543307.822575748,0.0
11778721.260514459,20916765.767673295,32695487.028187755,0.0
11890890.997293642,20956240.19226124,32847131.189554885,0.0
12001993.277604252,20996262.4355905,32998255.713194754,0.0
12112257.537888438,21036807.554294497,33149065.09218293,0.0
12221439.247394834,21077901.711393256,33299340.95878809,0.0
12329578.843828034,21119516.04352132,33449094.887349352,0.0
12436796.898386184,21161593.4117741,33598390.31016029,0.0
12543103.818352174,21204125.54470273,33747229.36305491,0.0
12648455.374566663,21247102.340745103,33895557.715311766,0.0
12752880.502394678,21290518.10616966,34043398.60856434,0.0
12856365.342211828,21334359.075545955,34190724.41775779,0.0
12958842.424520595,21378605.933866873,34337448.35838747,0.0
13060276.205522364,21423255.469977662,34483531.67550003,0.0
13160708.039022027,21468298.608448815,34629006.64747084,0.0
13259947.562836753,21513728.56627584,34773676.129112594,0.0
13358089.145968864,21559523.89046838,34917613.03643724,0.0
13455183.80204722,21605671.63005178,35060855.432099,0.0
13551247.375608414,21652166.295368772,35203413.67097719,0.0
13646237.598937854,21698991.45484375,35345229.0537816,0.0
13740166.037047766,21746134.324722953,35486300.36177072,0.0
13833039.930749986,21793583.99949124,35626623.93024123,0.0
13924825.524959387,21841326.483464427,35766152.00842381,0.0
14015528.537207229,21889352.538283367,35904881.075490594,0.0
14105106.655644817,21937635.24192789,36042741.8975727,0.0
14193393.187883604,21986184.5613502,36179577.749233805,0.0
14280503.309406446,22034978.719836608,36315482.02924305,0.0
14366456.020969242,22084001.12137184,36450457.14234108,0.0
14451257.600972176,22133249.029750235,36584506.63072241,0.0
14534991.331701836,22182699.564173695,36717690.89587553,0.0
14617375.237405863,22232342.912691973,36849718.15009784,0.0
14698662.864447543,22282162.64881405,36980825.513261594,0.0
14778782.101919398,22332145.48453176,37110927.58645116,0.0
14857675.641156735,22382287.849031627,37239963.49018836,0.0
14935136.64543384,22432572.058570366,37367708.704004206,0.0
15011286.791546697,22483001.451303378,37494288.24285007,0.0
15086120.072692381,22533549.784487277,37619669.85717966,0.0
15159737.308987468,22584195.886611093,37743933.19559856,0.0
15232223.020007914,22634932.484334484,37867155.5043424,0.0
