period,oha,ohv,ogs,ocp,ocf
1,17513.451460707995,1594615.4569727865,5141231.541558637,26562065.784192104,-450899.80445109814
2,3654.2849320527757,238289.54229562214,7279055.891420701,27271923.374053486,-409589.25822330895
3,1315.883804008935,92816.87202696796,9902297.584611807,28089613.71208983,-482747.3207684073
4,133.56558197302851,6193.045525464955,12852211.984113794,28879418.274508707,-538412.8383716963
5,0.0,0.0,15925301.389177037,29513405.006444138,-563072.3116849227
6,0.0,0.0,18981664.114031848,29967176.754247077,-578717.2684553494
7,0.0,0.0,21914610.741938226,30288858.753828265,-583955.846103461
8,0.0,0.0,24648325.82018315,30520560.76165307,-582605.4889436893
9,0.0,0.0,27116872.343316063,30707446.970831037,-585512.5607642273
10,0.0,0.0,29271395.23826011,30876093.722934738,-588359.4958455471
