Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-460477.34306887595,39704.22309156341,0.0,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-462220.3035038554,43633.60071716217,0.0,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-463588.0748879289,46529.00369094786,0.0,-0.0,-0.0
1628126.27130303,-2142533.651920808,-465665.09298457316,48742.28763320508,0.0,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-468055.26518716005,50503.49288114263,0.0,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-470773.3195157837,51963.05990242571,0.0,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-473598.2293474769,53219.41401170607,0.0,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-475642.1928060848,54336.990002339524,0.0,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-476299.1498891736,55358.00996522891,0.0,-0.0,-0.0
1761882.5038759282,-2144375.4776704414,-326182.7945203148,56310.17927419852,0.0,-0.0,-0.0
1755735.3783982017,-2160503.786663218,-350417.27864200866,54351.12962300774,0.0,-0.0,-0.0
1752269.2412629095,-2175601.8098446797,-368161.66640126734,55170.902180502875,0.0,-0.0,-0.0
1750896.5093192372,-2189842.6742521003,-382984.6141440043,55961.55078885868,0.0,-0.0,-0.0
1751179.617053169,-2204351.110210902,-396443.37394417764,56728.11921355565,0.0,-0.0,-0.0
1752780.6192244848,-2217290.4816385126,-407035.85922207194,57474.003191955955,0.0,-0.0,-0.0
1755435.1620664184,-2229843.51348292,-416206.8318007509,58201.519615750505,0.0,-0.0,-0.0
1758938.2708775345,-2243115.904513271,-425265.35514671094,58912.27848902541,0.0,-0.0,-0.0
1763128.758592869,-2255165.4969945066,-432429.312387705,59607.42601393293,0.0,-0.0,-0.0
1767876.76654105,-2267228.872736013,-439064.30272798863,60287.803466974095,0.0,-0.0,-0.0
1847404.48967788,-2186855.967706481,-278497.42697870417,60954.05104989691,0.0,-0.0,-0.0
1836083.0614242626,-2200276.8387330547,-302587.10152396874,61606.67578482349,0.0,-0.0,-0.0
1827899.580266977,-2214115.122792704,-323969.4466115172,62246.09591420993,0.0,-0.0,-0.0
1822222.4071199188,-2227289.9017443466,-342194.82467668783,62872.66994774002,0.0,-0.0,-0.0
1818569.5261779672,-2239891.738096606,-357835.4962422068,63486.71567643182,0.0,-0.0,-0.0
1816559.4333931108,-2251530.480575282,-370882.52455179096,64088.52263038041,0.0,-0.0,-0.0
1815894.8911466228,-2262883.9357013325,-382310.6843029722,64678.360251737446,0.0,-0.0,-0.0
1816346.4836838264,-2274689.20234593,-393086.23539483926,65256.48326726468,0.0,-0.0,-0.0
1817729.687203558,-2285982.0883514965,-402429.26591755956,65823.13523037899,0.0,-0.0,-0.0
1819895.8828067335,-2296950.6353728855,-410676.20169968065,66378.55086647157,0.0,-0.0,-0.0
1899201.4125658085,-2210147.5099834558,-244023.1397820033,66922.95763564373,0.0,-0.0,-0.0
1885502.6618994004,-2221661.045186354,-268701.80650347023,67456.57678348328,0.0,-0.0,-0.0
1875061.1992841894,-2232454.536626584,-289413.71328566904,67979.62405672565,0.0,-0.0,-0.0
1867247.3778037175,-2243952.629893391,-308212.9418903063,68492.31019936709,0.0,-0.0,-0.0
1861580.6234357753,-2254771.7484831056,-324196.28374257544,68994.8413047547,0.0,-0.0,-0.0
1857681.3591407186,-2264994.9901759215,-337826.2119621876,69487.41907301545,0.0,-0.0,-0.0
1855248.4418857426,-2274741.789603506,-349523.1067116743,69970.2410060893,0.0,-0.0,-0.0
1854045.17115607,-2284863.9512073933,-360375.27948986343,70443.50056145967,0.0,-0.0,-0.0
1853880.5224137846,-2294598.65265596,-369810.7429638,70907.38727837542,0.0,-0.0,-0.0
1854597.9646840207,-2303359.1478904868,-377399.09632087883,71362.08688558737,0.0,-0.0,-0.0
1931204.2421512064,-2218657.1967097847,-215645.1731620726,71807.78139650584,0.0,-0.0,-0.0
1916790.3667427592,-2228750.872320489,-239715.85638208134,72244.64919564838,0.0,-0.0,-0.0
1905557.694144398,-2237673.553755443,-259442.9944921296,72672.86511891561,0.0,-0.0,-0.0
1896920.2708343857,-2247045.9259916595,-277033.05462791095,73092.60052936306,0.0,-0.0,-0.0
1890418.2056574528,-2255326.7580250655,-291404.52897804434,73504.02338956845,0.0,-0.0,-0.0
1885679.5826740502,-2264185.7508761324,-304598.86987076106,73907.29833132107,0.0,-0.0,-0.0
1882413.9759413027,-2272882.6555452417,-316166.0928808205,74302.58672311851,0.0,-0.0,-0.0
1880406.100618571,-2281133.916893438,-326037.769539072,74690.04673579503,0.0,-0.0,-0.0
1879463.6621297833,-2289060.567462542,-334527.0719262556,75069.83340650328,0.0,-0.0,-0.0
1879418.61843353,-2296564.7477533473,-341704.0306186152,75442.0987012021,0.0,-0.0,-0.0
1953118.7377519228,-2218741.4168938356,-189815.68756615467,75806.99157575835,0.0,-0.0,-0.0
1938754.1271140343,-2227732.3973219017,-212813.61217212543,76164.65803574213,0.0,-0.0,-0.0
1927450.5418510488,-2236072.5498017618,-232106.76675573847,76515.2411949743,0.0,-0.0,-0.0
1918650.776838608,-2243576.651385024,-248066.99321354274,76858.88133287331,0.0,-0.0,-0.0
1911918.3336953616,-2250899.47093175,-261785.4212857489,77195.71595063915,0.0,-0.0,-0.0
1906906.724502544,-2259266.2646405203,-274833.66031166946,77525.87982630705,0.0,-0.0,-0.0
1903344.2681397733,-2267506.3419880765,-286312.56877960387,77849.5050686994,0.0,-0.0,-0.0
1901013.8887722308,-2275498.1560925795,-296317.5461500468,78166.7211703016,0.0,-0.0,-0.0
1899738.1977641685,-2283624.278999998,-305408.42617674347,78477.6550590857,0.0,-0.0,-0.0
1899370.416588253,-2291267.816429653,-313114.9686920952,78782.43114930483,0.0,-0.0,-0.0
1972701.5129039057,-2216059.0307244956,-164276.34642931097,79081.17139127916,0.0,-0.0,-0.0
1957979.0783099008,-2224763.8401241014,-187410.76649400574,79373.99532019488,0.0,-0.0,-0.0
1946370.8930152138,-2232800.1311580064,-206768.2180388569,79661.02010393559,0.0,-0.0,-0.0
1937306.7746693974,-2240074.994864855,-222825.85960549145,79942.36058996599,0.0,-0.0,-0.0
1930343.4104489149,-2247331.731497875,-236770.19169767314,80218.12935128671,0.0,-0.0,-0.0
1925132.5882934718,-2255430.49969746,-249809.4746725093,80488.43673147865,0.0,-0.0,-0.0
1921395.270687291,-2263750.1659587095,-261601.50438256335,80753.39088885527,0.0,-0.0,-0.0
1918908.3646683204,-2270740.3893102375,-270818.9268021771,81013.09783974015,0.0,-0.0,-0.0
1917489.7267213708,-2278505.2358304355,-279747.847608177,81267.66150088765,0.0,-0.0,-0.0
1916988.9518099565,-2285627.9748998503,-287121.83935883077,81517.1837310632,0.0,-0.0,-0.0
1991686.4367049127,-2213623.3013306814,-140175.10025396867,81761.76437180031,0.0,-0.0,-0.0
1976816.1153660768,-2220798.606190245,-161980.98953681794,82001.50128735015,0.0,-0.0,-0.0
1965019.1347141163,-2228032.601889967,-180776.9767720108,82236.4904038401,0.0,-0.0,-0.0
1955733.6969349857,-2234282.279751158,-196081.7570685154,82466.82574765687,0.0,-0.0,-0.0
1948521.2192983474,-2239620.8488631486,-208407.0300817319,82692.59948306928,0.0,-0.0,-0.0
1943044.2404096704,-2247129.095405921,-221170.95304714434,82913.90194910608,0.0,-0.0,-0.0
1939031.6580500978,-2254552.4363735756,-232389.95662777443,83130.82169570329,0.0,-0.0,-0.0
1936264.655861688,-2261467.099094413,-241858.99771358934,83343.44551913584,0.0,-0.0,-0.0
1934563.277330337,-2268369.356587368,-250254.22076028353,83551.85849674749,0.0,-0.0,-0.0
1933776.091776893,-2274492.743992404,-256960.50819451822,83756.14402099274,0.0,-0.0,-0.0
2008042.8357507081,-2203556.5225079893,-111557.30292447629,83956.38383280484,0.0,-0.0,-0.0
1992736.1887365135,-2211817.859865643,-134660.85785904306,84420.8132700867,0.0,-0.0,-0.0
1980582.178003499,-2219161.5520510254,-153965.5605628506,84613.81348467569,0.0,-0.0,-0.0
1971002.9491397925,-2225598.933136121,-169792.99251290917,84802.99148341926,0.0,-0.0,-0.0
1963549.3452170482,-2232364.9667309667,-183827.19855165418,84988.42296226417,0.0,-0.0,-0.0
1957868.8728722322,-2239957.70969298,-196918.65470268857,85170.18211805912,0.0,-0.0,-0.0
1953677.2094849749,-2247535.7222935716,-208510.1711303534,85348.3416782432,0.0,-0.0,-0.0
1950747.0046642825,-2253706.870111281,-217436.892517052,85522.9729299464,0.0,-0.0,-0.0
1948888.380802575,-2259807.658156381,-225225.13160529203,85694.1457485137,0.0,-0.0,-0.0
1947942.1256111704,-2264486.075219142,-230682.02098250674,85861.9286254645,0.0,-0.0,-0.0
2018538.278015404,-2197592.7896986892,-93028.12298738741,86026.388695898,0.0,-0.0,-0.0
2003405.447423293,-2206616.301738723,-114734.32962461816,88476.52469081197,0.0,-0.0,-0.0
1991478.9796113556,-2214840.1766012483,-134722.4653516271,88638.73163826582,0.0,-0.0,-0.0
1982155.760140704,-2222282.190637637,-151328.7042908789,88797.72620605408,0.0,-0.0,-0.0
1974968.6448859435,-2228501.9598874254,-164579.7429886791,88953.57201280272,0.0,-0.0,-0.0
1969550.0555191108,-2236360.143227139,-177703.75629080657,89106.33141722136,0.0,-0.0,-0.0
1965613.9648189608,-2244121.275986838,-189251.24562482216,89256.06554305495,0.0,-0.0,-0.0
1962929.1153731148,-2251065.68488721,-198733.7352105539,89402.83430354125,0.0,-0.0,-0.0
1961305.4713795872,-2257783.388372732,-206931.22056776047,89546.69642538397,0.0,-0.0,-0.0
1960588.1626086307,-2264378.313715611,-214102.44163472916,89687.70947225114,0.0,-0.0,-0.0
2036068.788779227,-2191958.631449988,-66063.912802953,89825.92986780805,0.0,-0.0,-0.0
