Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-474964.2051986271,31353.954895438095,0.0,-5891.294658064515,-245.29927556129027
1606482.2789892564,-2112336.1832102737,-477894.3564280071,34096.14172663632,0.0,-5891.294658064515,-245.29927556129027
1617333.0696080052,-2127450.148186882,-480234.5759461922,36019.09656631032,0.0,-5891.294658064515,-245.29927556129027
1628126.27130303,-2142533.651920808,-483139.82803919027,37404.14651221374,0.0,-5891.294658064515,-245.29927556129027
1638847.0779621457,-2157405.8360304483,-486260.1824491372,38435.169552791296,0.0,-5891.294658064515,-245.29927556129027
1649487.7128556406,-2172224.09227385,-489640.60651556344,39232.366836271794,0.0,-5891.294658064515,-245.29927556129027
1660035.8722198664,-2186853.5155790495,-493079.90690942673,39874.330383382054,0.0,-5891.294658064515,-245.29927556129027
1670481.2589194207,-2200460.441727845,-495703.31400864094,40412.46273340919,0.0,-5891.294658064515,-245.29927556129027
1680816.6558127305,-2212473.815667133,-496913.3546468905,40880.39914113782,0.0,-5891.294658064515,-245.29927556129027
1744868.972276061,-2165348.0871345755,-385315.5444839764,41300.164308163745,0.0,-5891.294658064515,-245.29927556129027
1742780.8575158345,-2180383.472838993,-403830.4939563675,39601.885603735594,0.0,-5596.72992516129,-233.03431178322577
1742648.685099453,-2194611.352048683,-417846.85906520317,39945.572120971454,0.0,-5596.72992516129,-233.03431178322577
1744039.4255741667,-2208132.2594483374,-429650.45711538714,40272.14099572796,0.0,-5596.72992516129,-233.03431178322577
1746630.029328922,-2221951.561807741,-440565.79189540126,40585.50482036198,0.0,-5596.72992516129,-233.03431178322577
1750169.5858579834,-2234239.83389987,-449011.7520896641,40888.26018916705,0.0,-5596.72992516129,-233.03431178322577
1754461.163153786,-2246176.5534189716,-456363.0115058131,41182.14299631711,0.0,-5596.72992516129,-233.03431178322577
1759354.217259594,-2258918.0619337982,-463925.2829558922,41468.32595525661,0.0,-5596.72992516129,-233.03431178322577
1764730.7040539156,-2270481.588451508,-469833.0356134307,41747.613021106234,0.0,-5596.72992516129,-233.03431178322577
1770494.1683892906,-2282076.3409277387,-475391.3703289211,42020.566446471625,0.0,-5596.72992516129,-233.03431178322577
1832486.9067518108,-2224564.000803231,-355619.26847052434,42287.589817839995,0.0,-5596.72992516129,-233.03431178322577
1826122.1073191143,-2236925.476415337,-374084.1510049297,42548.98232823765,0.0,-5596.729925161292,-233.0343117832259
1822080.3199927064,-2249833.296906749,-390777.76689637266,42804.97425461404,0.0,-5596.729925161292,-233.0343117832259
1819893.8013309764,-2262156.6857919,-405036.8985442517,43055.75015361643,0.0,-5596.729925161292,-233.0343117832259
1819203.8512587037,-2274013.521433913,-417337.97038019274,43301.464031961244,0.0,-5596.729925161292,-233.0343117832259
1819724.4835381333,-2284955.596541322,-427518.62796760834,43542.24927252473,0.0,-5596.729925161292,-233.0343117832259
1821232.9590587735,-2295626.0712510264,-436444.65129578015,43778.22513341725,0.0,-5596.729925161292,-233.0343117832259
1823557.2434875027,-2306773.155629391,-445036.1753713373,44009.501007495266,0.0,-5596.729925161292,-233.0343117832259
1826558.6630202068,-2317413.440101158,-452448.3620996661,44236.17921822966,0.0,-5596.729925161292,-233.0343117832259
1830126.6729073194,-2327724.002804802,-458968.73727548565,44458.35685894121,0.0,-5596.729925161292,-233.0343117832259
1891411.4275121135,-2264281.215814651,-334023.42553277954,44676.12700670254,0.0,-5596.729925161292,-233.0343117832259
1883017.1333602418,-2275237.581036145,-353160.6323854564,44889.57952739125,0.0,-5596.7299251612885,-233.03431178322575
1877081.9472143324,-2285543.4237812753,-369192.43919053196,45098.80161335527,0.0,-5596.7299251612885,-233.03431178322575
1873120.0202642523,-2296460.562510556,-383866.4283371182,45303.878146129995,0.0,-5596.7299251612885,-233.03431178322575
1870763.4454600194,-2306746.2346828985,-396307.6615152093,45504.8919446141,0.0,-5596.7299251612885,-233.03431178322575
1869723.0712148943,-2316330.3694038484,-406735.138487719,45701.92393817963,0.0,-5596.7299251612885,-233.03431178322575
1869769.9542527527,-2325462.9889785796,-415627.7456722556,45895.05329051566,0.0,-5596.7299251612885,-233.03431178322575
1870724.4289415178,-2334949.2193510234,-423970.1971553826,46084.35749106729,0.0,-5596.7299251612885,-233.03431178322575
1872441.7672936483,-2344037.1706664003,-431155.2551846043,46269.912425092414,0.0,-5596.7299251612885,-233.03431178322575
1874803.4613390293,-2352168.5267975386,-436743.0372659111,46451.79242954265,0.0,-5596.7299251612885,-233.03431178322575
1935035.7054867954,-2289618.2623125794,-313782.2507232473,46630.07033948116,0.0,-5596.7299251612885,-233.03431178322575
1925860.0778616145,-2298974.3158754697,-332139.1847226785,46804.817528121144,0.0,-5596.7299251612885,-233.03431178322575
1919089.6441218925,-2307041.9978966536,-346806.0140692022,46976.103942503316,0.0,-5596.7299251612885,-233.03431178322575
1914268.4673126745,-2315788.462144047,-360205.7609321814,47143.9981361357,0.0,-5596.7299251612885,-233.03431178322575
1911044.0617670985,-2323569.8464171956,-371046.98158757796,47308.567299463466,0.0,-5596.7299251612885,-233.03431178322575
1909137.2326273844,-2331644.0876780446,-380866.74199886445,47469.877288740114,0.0,-5596.7299251612885,-233.03431178322575
1908329.714449282,-2339587.5169090712,-389459.57404305745,47627.992653676316,0.0,-5596.7299251612885,-233.03431178322575
1908456.0214688375,-2347199.005720544,-396789.77182453516,47782.97666411628,0.0,-5596.7299251612885,-233.03431178322575
1909370.965377473,-2354646.59068333,-403170.4982068933,47934.891335908054,0.0,-5596.7299251612885,-233.03431178322575
1910948.9330222313,-2361546.9998683906,-408344.03362702404,48083.79745608011,0.0,-5596.7299251612885,-233.03431178322575
1968327.9282566125,-2303119.1022490696,-292391.18362200115,48229.75460740061,0.0,-5596.7299251612885,-233.03431178322575
1959062.5469628947,-2311055.5155249354,-309449.9116066124,48372.82119237295,0.0,-5596.729925161291,-233.03431178322583
1952088.4433533726,-2318263.87331415,-323492.1397410165,48513.054456705424,0.0,-5596.729925161291,-233.03431178322583
1946988.5178244172,-2324798.3357816283,-334989.07168187277,48650.510512282955,0.0,-5596.729925161291,-233.03431178322583
1943434.261466859,-2331130.8613360813,-344741.1197465043,48785.24435966237,0.0,-5596.729925161291,-233.03431178322583
1941160.7218534367,-2338205.726511013,-353957.45898441307,48917.30991010796,0.0,-5596.729925161291,-233.03431178322583
1939960.4704576647,-2345040.90833588,-361863.44210797834,49046.76000718151,0.0,-5596.729925161291,-233.03431178322583
1939669.9159695613,-2351757.2084459616,-368743.4102654462,49173.646447898565,0.0,-5596.729925161291,-233.03431178322583
1940155.5845511972,-2358549.899571022,-374926.0592533072,49298.020003462,0.0,-5596.729925161291,-233.03431178322583
1941307.4457913483,-2364617.5684379973,-379719.95644401107,49419.93043958218,0.0,-5596.729925161291,-233.03431178322583
1998482.6220274053,-2309371.0811236287,-267178.7967967747,49539.42653639316,0.0,-5596.729925161291,-233.03431178322583
1988826.814725666,-2316464.0974742463,-283810.49087755126,49656.55610797336,0.0,-5596.729925161291,-233.03431178322583
1981481.039688387,-2322780.4105912833,-297357.76911836193,49771.366021478716,0.0,-5596.729925161291,-233.03431178322583
1976013.816989653,-2328308.925948474,-308240.9709798687,49883.90221589681,0.0,-5596.729925161291,-233.03431178322583
1972092.939241927,-2333914.7517509777,-317657.3670255662,49994.209720428975,0.0,-5596.729925161291,-233.03431178322583
1969463.7914478297,-2340243.8843932175,-326507.5245098241,50102.33267250829,0.0,-5596.729925161291,-233.03431178322583
1967920.9374151973,-2346923.5259131608,-334624.0383994471,50208.314335460585,0.0,-5596.729925161291,-233.03431178322583
1967297.8412379543,-2352357.652436672,-340577.3783198462,50312.197115815616,0.0,-5596.729925161291,-233.03431178322583
1967458.559645243,-2358636.578274876,-346593.76028630184,50414.02258027533,0.0,-5596.729925161291,-233.03431178322583
1968290.5919694642,-2364076.4575227066,-351101.79831784073,50513.83147234601,0.0,-5596.729925161291,-233.03431178322583
2022870.3044384401,-2311298.632960704,-243646.42903056735,50611.66372864114,0.0,-5596.729925161291,-233.03431178322583
2012976.1781598988,-2317928.114029221,-260074.14161140524,50707.55849486127,0.0,-5596.729925161291,-233.03431178322583
2005464.3318921623,-2324552.0034463285,-274115.881649653,50801.554141457374,0.0,-5596.729925161291,-233.03431178322583
1999882.3344936685,-2330017.2105790847,-285070.9520433762,50893.68827898418,0.0,-5596.729925161291,-233.03431178322583
1995883.0669148238,-2334748.2884474555,-293710.9879964269,50983.99777314919,0.0,-5596.729925161291,-233.03431178322583
1993199.5078174714,-2341323.3769158805,-302881.1145757894,51072.51875956395,0.0,-5596.729925161291,-233.03431178322583
1991617.0261868332,-2347626.7784466394,-310680.2298385481,51159.28665820286,0.0,-5596.729925161291,-233.03431178322583
1990963.548802428,-2353307.8515848755,-316929.7308318162,51244.3361875759,0.0,-5596.729925161291,-233.03431178322583
1991098.2738255237,-2359105.2387662297,-322509.02779902983,51327.701378620564,0.0,-5596.729925161291,-233.03431178322583
1991904.6379576803,-2363975.4090090734,-326491.11970001896,51409.41558831866,0.0,-5596.729925161291,-233.03431178322583
2050348.702658251,-2309375.801812287,-213367.35187793733,51489.51151304351,0.0,-5596.729925161291,-233.03431178322583
2040111.002757994,-2315785.594127739,-228057.85668070632,53685.9283005155,0.0,-5826.588542241507,-242.60506923534436
2032198.1388010995,-2321293.875408792,-241398.88650302554,53766.043716143744,0.0,-5826.588542241507,-242.60506923534436
2026188.0285604468,-2326364.8919923278,-252401.48453371326,53844.572509644495,0.0,-5826.588542241507,-242.60506923534436
2021751.4660280228,-2331451.9398141317,-261848.12129477787,53921.54610280788,0.0,-5826.588542241507,-242.60506923534436
2018629.543231563,-2337480.174199543,-270922.82928431634,53996.995295140434,0.0,-5826.588542241507,-242.60506923534436
2016612.0712673413,-2343321.6936927275,-278707.8657606742,54070.95027618897,0.0,-5826.588542241507,-242.60506923534436
2015530.2779676768,-2347835.876563129,-284231.3515693088,54143.44063762028,0.0,-5826.588542241507,-242.60506923534436
2015241.752819412,-2352288.6391370124,-288901.58454401535,54214.495385061804,0.0,-5826.588542241507,-242.60506923534436
2015627.808863014,-2355785.9455124415,-291943.187311197,54284.142949707464,0.0,-5826.588542241507,-242.60506923534436
2073245.5962793059,-2302205.6188772265,-180676.80500970336,54352.41119969407,0.0,-5826.588542241507,-242.60506923534436
2062554.1983762297,-2308186.036061958,-199162.8175582674,52302.085264855814,0.0,-5599.898878069206,-233.1662593257809
2054229.1770381327,-2314001.2147064414,-213239.97840163368,52365.12440406987,0.0,-5599.898878069206,-233.1662593257809
2047842.4388976137,-2319007.955024408,-224571.66616095137,52426.915103237894,0.0,-5599.898878069206,-233.1662593257809
2043060.8978252714,-2323825.6195615656,-234110.30478696653,52487.48208672269,0.0,-5599.898878069206,-233.1662593257809
2039612.130965482,-2329469.307706151,-243143.3922888236,52546.849589240686,0.0,-5599.898878069206,-233.1662593257809
2037278.0193857583,-2335012.16925154,-250962.17363761785,52605.04136555905,0.0,-5599.898878069206,-233.1662593257809
2035889.4229188543,-2339811.30347016,-257092.86498869993,52662.08070000066,0.0,-5599.898878069206,-233.1662593257809
2035302.1489027017,-2344182.554484271,-261995.48030320328,52717.99041576085,0.0,-5599.898878069206,-233.1662593257809
2035394.6795669748,-2348042.8625154295,-265708.4552018099,52772.79288403976,0.0,-5599.898878069206,-233.1662593257809
2093747.4020800835,-2292813.9847026104,-152073.13772692822,52826.51003299366,0.0,-5599.898878069206,-233.1662593257809
