Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-343923.61223688535,3697.972686578752,0.0,-2877.42393,-119.80898028
3229576.246178158,-3619168.7588631874,-384846.76153303584,7742.98406227351,0.0,-2877.42393,-119.80898028
3218747.764490371,-3646258.6057236553,-422342.3770292409,8165.697114323509,0.0,-2877.42393,-119.80898028
3211482.199131155,-3674964.254385618,-457986.7487851718,8492.539379571685,0.0,-2877.42393,-119.80898028
3206944.278738542,-3704786.043744383,-492083.2634700143,8755.734446106619,0.0,-2877.42393,-119.80898028
3204543.8408506536,-3733601.7978472067,-523078.8319918604,8976.357914972805,0.0,-2877.42393,-119.80898028
3203863.3476038114,-3760285.259473598,-550250.9441752653,9168.2006048015,0.0,-2877.42393,-119.80898028
3204609.2748431168,-3788349.8363480223,-577397.5015356545,9340.292879530927,0.0,-2877.42393,-119.80898028
3206571.424589799,-3814915.432166111,-601842.686368153,9498.554118439499,0.0,-2877.42393,-119.80898028
3237101.4941673526,-3798279.4856780674,-554528.3538900843,9646.870530910384,0.0,-2877.42393,-119.80898028
3233600.0402616328,-3826171.165667699,-585441.0305536421,10277.189408218033,0.0,-3021.295126500001,-125.79942929400003
3232215.0079156077,-3852987.001409507,-613499.907109608,10419.180940085476,0.0,-3021.295126500001,-125.79942929400003
3232645.3269724865,-3877036.5697601833,-636981.9719978182,10556.365345672324,0.0,-3021.295126500001,-125.79942929400003
3234653.7562132548,-3901281.6656577205,-659085.4747260867,10689.529274172848,0.0,-3021.295126500001,-125.79942929400003
3238058.077392073,-3927649.600936287,-681919.4139417625,10819.204158245308,0.0,-3021.295126500001,-125.79942929400003
3242718.1529774847,-3955544.5977352727,-705027.7849931549,10945.754320426975,0.0,-3021.295126500001,-125.79942929400003
3248508.3290111283,-3977438.712348686,-721008.0433423285,11069.43455102295,0.0,-3021.295126500001,-125.79942929400003
3255292.846436584,-3996861.1172447572,-733524.9376262525,11190.427737714492,0.0,-3021.295126500001,-125.79942929400003
3262918.5241068574,-4023336.668658198,-752256.369646833,11308.869460301381,0.0,-3021.295126500001,-125.79942929400003
3297188.7272083405,-4009012.749621176,-703546.2529006407,11424.864067988714,0.0,-3021.295126500001,-125.79942929400003
3299015.927208218,-4033675.9187670494,-726268.5909236098,11538.495191015854,0.0,-3021.2951265,-125.79942929400002
3302630.407499607,-4057544.2997231553,-746411.1541639292,11649.832615412706,0.0,-3021.2951265,-125.79942929400002
3307768.211540922,-4080021.718037082,-763641.6642707485,11758.936781204931,0.0,-3021.2951265,-125.79942929400002
3314215.5643060156,-4101933.24924028,-778998.9177624603,11865.861727597974,0.0,-3021.2951265,-125.79942929400002
3321808.2192400787,-4124521.3707819646,-793889.5890744214,11970.657023258429,0.0,-3021.2951265,-125.79942929400002
3330400.8042215738,-4147860.403008696,-808533.3243096005,12073.369033315934,0.0,-3021.2951265,-125.79942929400002
3339878.50147951,-4169450.3957186723,-820544.9470421082,12174.041752847761,0.0,-3021.2951265,-125.79942929400002
3350141.125156579,-4191168.3657244747,-831901.6177667081,12272.717356980995,0.0,-3021.2951265,-125.79942929400002
3361052.681206653,-4213171.491880413,-842896.4686638373,12369.43656571664,0.0,-3021.2951265,-125.79942929400002
3398546.256427475,-4188375.6700420114,-780512.2692827489,12464.238887581665,0.0,-3021.2951265,-125.79942929400002
3402532.5682876017,-4206535.807627902,-794593.1711120951,12557.162783999824,0.0,-3021.2951265,-125.79942929400002
3408215.789938193,-4228711.657860924,-810994.7166967686,12648.245781755712,0.0,-3021.2951265,-125.79942929400002
3415266.581047413,-4249733.481696406,-824876.4706533459,12737.524551441426,0.0,-3021.2951265,-125.79942929400002
3423404.435579592,-4239843.3172437465,-806760.9412563718,12825.034963577087,0.0,-3021.2951265,-125.79942929400002
3432451.212850527,-4258591.498226834,-816376.5678020546,12910.812130046663,0.0,-3021.2951265,-125.79942929400002
3442300.2492156397,-4278347.72812266,-826199.6830269708,12994.890435843954,0.0,-3021.2951265,-125.79942929400002
3452851.565000378,-4297406.494535601,-834624.7205266219,13077.303564394611,0.0,-3021.2951265,-125.79942929400002
3464035.5482538375,-4326161.445827155,-852114.9076105224,13158.084518589765,0.0,-3021.2951265,-125.79942929400002
3475803.7118169274,-4347461.987283875,-861568.1043838136,13237.26563892872,0.0,-3021.2951265,-125.79942929400002
3511801.094982781,-4325355.7403811915,-803386.8613345186,13314.878619685487,0.0,-3021.2951265,-125.79942929400002
3517441.3053728584,-4346968.095568962,-819282.9302281992,13390.954523698672,0.0,-3021.2951265,-125.79942929400002
3524662.4065738646,-4367928.054553309,-832947.2187390608,13465.523796178093,0.0,-3021.2951265,-125.79942929400002
3533120.067988025,-4382217.09206944,-838705.5023594215,13538.616277786921,0.0,-3021.2951265,-125.79942929400002
3542609.6352300574,-4401351.3865761245,-848278.5846846906,13610.261217169955,0.0,-3021.2951265,-125.79942929400002
3553004.454110447,-4420824.920443711,-857287.0736060163,13680.48728304121,0.0,-3021.2951265,-125.79942929400002
3564185.137056699,-4445185.566852208,-870398.201775397,13749.322575906233,0.0,-3021.2951265,-125.79942929400002
3576057.1040259073,-4461942.956235288,-875216.1521257041,13816.794639470108,0.0,-3021.2951265,-125.79942929400002
3588556.2277992014,-4495650.853936129,-896358.7902209559,13882.930471765709,0.0,-3021.2951265,-125.79942929400002
3601566.132112082,-4515467.299049454,-903100.5049571389,13947.756536026514,0.0,-3021.2951265,-125.79942929400002
3638949.4043133715,-4488526.649014598,-838713.0404856986,14011.298771321162,0.0,-3021.2951265,-125.79942929400002
3645339.1457600854,-4508132.132763128,-851866.4989558741,14073.582602962366,0.0,-3021.295126500001,-125.79942929400003
3653180.2760910233,-4527892.987738382,-863725.1732504531,14134.632952699889,0.0,-3021.295126500001,-125.79942929400003
3662231.3497472233,-4546056.31557084,-872777.5861307047,14194.474248705308,0.0,-3021.295126500001,-125.79942929400003
3672291.782059535,-4564017.964748719,-880620.1468096228,14253.130435354818,0.0,-3021.295126500001,-125.79942929400003
3683191.68489042,-4581202.554827337,-886847.3395098952,14310.624982815554,0.0,-3021.295126500001,-125.79942929400003
3694808.7223169436,-4601735.584262668,-895706.9756050779,14366.9808964403,0.0,-3021.295126500001,-125.79942929400003
3707043.589398044,-4620641.072053623,-902322.3564853983,14422.220725974958,0.0,-3021.295126500001,-125.79942929400003
3719805.3684638683,-4634002.990448233,-902868.3499655757,14476.366574582938,0.0,-3021.295126500001,-125.79942929400003
3733020.1749325455,-4652049.120327525,-907646.5998430831,14529.44010769029,0.0,-3021.295126500001,-125.79942929400003
3777304.4398517907,-4627473.172128912,-838734.3642712602,14581.462561655366,0.0,-3021.295126500001,-125.79942929400003
3783713.7857468566,-4646189.345318505,-850990.199375175,14632.454752266556,0.0,-3021.295126499999,-125.79942929399995
3791579.4367513936,-4664273.743588873,-861158.9643102016,14682.43708307163,0.0,-3021.295126499999,-125.79942929399995
3800563.0372692794,-4681461.838654436,-869314.4663874086,14731.429553541979,0.0,-3021.295126499999,-125.79942929399995
3810461.0184171777,-4699370.2012165915,-877276.8255881328,14779.451767075141,0.0,-3021.295126499999,-125.79942929399995
3821121.416634842,-4713823.628217379,-881022.7831994923,14826.522938838823,0.0,-3021.295126499999,-125.79942929399995
3832411.490643719,-4730385.2639374845,-886248.2059460995,14872.661903459508,0.0,-3021.295126499999,-125.79942929399995
3844242.413280256,-4745284.702860767,-889271.4970137456,14917.887122558821,0.0,-3021.295126499999,-125.79942929399995
3856502.819746183,-4755445.707882827,-887127.7660002975,14962.216692140593,0.0,-3021.295126499999,-125.79942929399995
3869081.256361753,-4770029.747329086,-889089.9171732952,15005.668349831682,0.0,-3021.295126499999,-125.79942929399995
3910428.00717714,-4741540.984883112,-819211.812779787,15048.259481979303,0.0,-3021.295126499999,-125.79942929399995
3915972.3202816234,-4756341.022475448,-828425.7896190111,15090.00713060789,0.0,-3021.2951265,-125.79942929400002
3922852.3788862275,-4770603.641521026,-835767.4291903549,15130.92800023811,0.0,-3021.2951265,-125.79942929400002
3930815.775457304,-4783966.515070964,-841126.795704883,15171.038464570878,0.0,-3021.2951265,-125.79942929400002
3939677.407651346,-4795536.46115979,-843795.7934911983,15210.354573038969,0.0,-3021.2951265,-125.79942929400002
3949240.591734548,-4805861.502484689,-844519.1132487057,15248.892057228906,0.0,-3021.2951265,-125.79942929400002
3959388.476968545,-4816877.539595591,-845349.4908456642,15286.666337175631,0.0,-3021.2951265,-125.79942929400002
3970035.2752837716,-4828811.219618996,-846599.3463634853,15323.692527532565,0.0,-3021.2951265,-125.79942929400002
3981075.917587144,-4840289.203349714,-847000.3948747449,15359.985443619413,0.0,-3021.2951265,-125.79942929400002
3992398.100189036,-4850768.53797829,-846121.9727376973,15395.559607350264,0.0,-3021.2951265,-125.79942929400002
4033505.63827866,-4813546.938233085,-767757.9652571745,15430.429253044233,0.0,-3021.2951265,-125.79942929400002
4036996.396871547,-4828009.468475405,-778695.557826531,15464.608333121065,0.0,-3021.2951265,-125.79942929400002
4041835.932569398,-4824175.440327227,-769988.4917899383,15498.110523683914,0.0,-3021.2951265,-125.79942929400002
4047736.2436257405,-4833895.844992201,-773775.7466922629,15530.949229991582,0.0,-3021.2951265,-125.79942929400002
4054482.9590909844,-4842457.224787009,-775558.2226599966,15563.137591822382,0.0,-3021.2951265,-125.79942929400002
4061912.3968817033,-4842668.88000036,-768308.889185719,15594.688488731757,0.0,-3021.2951265,-125.79942929400002
4069886.535386905,-4849576.954152079,-767211.8987757629,15625.614545205794,0.0,-3021.2951265,-125.79942929400002
4078309.4765820843,-4856901.366553992,-766083.0563919891,15655.928135712664,0.0,-3021.2951265,-125.79942929400002
4087097.0911211665,-4859828.452464854,-760192.8145098274,15685.641389654036,0.0,-3021.2951265,-125.79942929400002
4096200.365572004,-4874557.374507761,-765789.3372953318,15714.766196218412,0.0,-3021.2951265,-125.79942929400002
4129395.6796014337,-4837893.005146654,-695901.1058918757,15743.314209138382,0.0,-3021.2951265,-125.79942929400002
