period,oha,ohv,ogs
1,10021.397004113182,751003.0000000002,17135276.831421703
2,9520.327153907527,788553.1500000004,20120951.77390086
3,10165.757548101774,788553.1500000001,23331338.53186386
4,10522.466854318842,788553.1500000001,26633972.083462715
5,9520.327153907523,788553.1499999999,29736006.56218981
6,9520.327153907521,788553.15,32642387.13921146
7,9520.327153907521,788553.1499999998,35217112.31498985
8,10522.466854318842,788553.1500000003,37431007.32309162
9,10522.466854318842,788553.1500000004,39317861.56431528
10,10522.466854318844,788553.1500000003,40945726.29513569
