Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-361791.28077460726,463.7708969297962,0.0,-16925.944235294104,-704.7554230588229
3229576.246178158,-3619168.7588631874,-399245.12113080383,7978.091212578463,0.0,-16925.944235294104,-704.7554230588229
3218747.764490371,-3646258.6057236553,-434676.9139024105,10464.62698922687,0.0,-16925.944235294104,-704.7554230588229
3211482.199131155,-3674964.254385618,-468725.5353234342,12387.219589382186,0.0,-16925.944235294104,-704.7554230588229
3206944.278738542,-3704786.043744383,-501537.0460163661,13935.418647827773,0.0,-16925.944235294104,-704.7554230588229
3204543.8408506536,-3733601.7978472067,-531455.4589443228,15233.197710583472,0.0,-16925.944235294104,-704.7554230588229
3203863.3476038114,-3760285.259473598,-557690.9326660184,16361.678862121436,0.0,-16925.944235294104,-704.7554230588229
3204609.2748431168,-3788349.8363480223,-583997.2795205053,17373.981642753148,0.0,-16925.944235294104,-704.7554230588229
3206571.424589799,-3814915.432166111,-607669.7814663538,18304.92576831168,0.0,-16925.944235294104,-704.7554230588229
3291250.6884952113,-3750354.2121150596,-457556.85209074634,19177.371187454723,0.0,-16925.944235294104,-704.7554230588229
3276798.2413321966,-3781595.102526223,-502539.98302805563,19006.042841405808,0.0,-16079.647023529404,-669.517651905882
3266363.321438668,-3811063.560803352,-541687.6674921527,19761.736547966546,0.0,-16079.647023529404,-669.517651905882
3259205.004868581,-3836650.1687457724,-573702.4823243375,20491.846228289167,0.0,-16079.647023529404,-669.517651905882
3254770.5079937824,-3862246.790604051,-603024.8887744691,21200.558511235,0.0,-16079.647023529404,-669.517651905882
3252636.4974485175,-3889659.2365830387,-631881.2020732503,21890.701736705923,0.0,-16079.647023529404,-669.517651905882
3252476.794270709,-3918303.836979355,-660011.9925169287,22564.214867152357,0.0,-16079.647023529404,-669.517651905882
3254020.1508983453,-3940721.4645907017,-680228.0244447028,23222.453923088564,0.0,-16079.647023529404,-669.517651905882
3257015.440996213,-3960378.5012034387,-696245.8326308778,23866.392251783305,0.0,-16079.647023529404,-669.517651905882
3261267.526070477,-3987198.863552248,-718183.7507341687,24496.75142303786,0.0,-16079.647023529404,-669.517651905882
3351605.627806178,-3925705.6037899577,-565735.0538650361,25114.086794179104,0.0,-16079.647023529404,-669.517651905882
3340155.7016370846,-3951126.8104878254,-602001.4300721335,25718.84345404249,0.0,-16079.647023529405,-669.5176519058822
3332379.990488935,-3975697.2244559345,-633755.0058312945,26311.392811140286,0.0,-16079.647023529405,-669.5176519058822
3327644.880853647,-3997502.7199877826,-659714.9472759934,26892.05653357773,0.0,-16079.647023529405,-669.5176519058822
3325450.281530859,-4019428.291295031,-683266.0522159784,27461.122223628885,0.0,-16079.647023529405,-669.5176519058822
3325408.2728188857,-4042002.1569731887,-705324.1951388434,28018.853690894903,0.0,-16079.647023529405,-669.5176519058822
3327196.4693822423,-4065132.4892072915,-726119.6868050649,28565.49769541992,0.0,-16079.647023529405,-669.5176519058822
3330558.259568049,-4086407.7551569175,-743497.3718807211,29101.28838358279,0.0,-16079.647023529405,-669.5176519058822
3335278.6967141423,-4107765.712660178,-759609.730405673,29626.45021579811,0.0,-16079.647023529405,-669.5176519058822
3341177.6330193873,-4129623.1999971964,-775053.5317450966,30141.199908148028,0.0,-16079.647023529405,-669.5176519058822
3434006.4467841913,-4063866.1249327674,-615963.0950948874,30645.747729123916,0.0,-16079.647023529405,-669.5176519058822
3423986.613661147,-4082053.3397370763,-643675.5923769396,31140.29837442481,0.0,-16079.647023529405,-669.5176519058822
3417502.8751530224,-4104283.173544763,-671904.4115016733,31625.051565502912,0.0,-16079.647023529405,-669.5176519058822
3413887.0568144987,-4124851.647742137,-695613.5531360084,32100.20246706487,0.0,-16079.647023529405,-669.5176519058822
3412590.7961889864,-4114581.3161910507,-686173.7426917484,32565.941985751077,0.0,-16079.647023529405,-669.5176519058822
3413225.2175631453,-4132871.1003089263,-703372.5904305553,33022.45699066126,0.0,-16079.647023529405,-669.5176519058822
3415513.8297039615,-4152101.1246133046,-719866.5291024682,33469.930482310185,0.0,-16079.647023529405,-669.5176519058822
3419229.0875245845,-4170392.9198086946,-734004.4552321518,33908.54172739384,0.0,-16079.647023529405,-669.5176519058822
3424197.1558310064,-4198610.614993573,-756824.1574672696,34338.46637073271,0.0,-16079.647023529405,-669.5176519058822
3430276.9627895667,-4219047.707873754,-770760.033227794,34759.87653182906,0.0,-16079.647023529405,-669.5176519058822
3522933.0515409242,-4151624.5425910046,-610267.7148346086,35172.94089090693,0.0,-16079.647023529405,-669.5176519058822
3513053.2683148626,-4171984.973567261,-640103.0451602086,35577.82476762538,0.0,-16079.647023529404,-669.517651905882
3506669.6145168548,-4192074.461384778,-666179.3213487996,35974.69019455887,0.0,-16079.647023529404,-669.517651905882
3503136.0617899667,-4202399.804930342,-679649.2118289897,36363.695986821636,0.0,-16079.647023529404,-669.517651905882
