Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-344001.54896113457,3286.681808990108,0.0,-2557.3950077585105,-106.48374918210602
3229576.246178158,-3619168.7588631874,-385374.5869989201,6881.804443049856,0.0,-2557.3950077585105,-106.48374918210602
3218747.764490371,-3646258.6057236553,-422917.2169100171,7257.503080207931,0.0,-2557.3950077585105,-106.48374918210602
3211482.199131155,-3674964.254385618,-458597.94027086784,7547.993740536235,0.0,-2557.3950077585105,-106.48374918210602
3206944.278738542,-3704786.043744383,-492723.7276786499,7781.916084131643,0.0,-2557.3950077585105,-106.48374918210602
3204543.8408506536,-3733601.7978472067,-523743.83408322727,7978.001670266582,0.0,-2557.3950077585105,-106.48374918210602
3203863.3476038114,-3760285.259473598,-550937.2831327872,8148.507493940212,0.0,-2557.3950077585105,-106.48374918210602
3204609.2748431168,-3788349.8363480223,-578102.9807055843,8301.45955626175,0.0,-2557.3950077585105,-106.48374918210602
3206571.424589799,-3814915.432166111,-602565.7674538771,8442.118879375972,0.0,-2557.3950077585105,-106.48374918210602
3224411.367630763,-3828205.3401113665,-597883.9117915612,8573.939445983164,0.0,-2557.3950077585105,-106.48374918210602
3225348.0030224244,-3855639.4618454715,-624557.9092007432,8264.234441397315,0.0,-2429.5252573705834,-101.15956172300066
3227629.4269067207,-3881922.6266300892,-648445.469923836,8378.41461862625,0.0,-2429.5252573705834,-101.15956172300066
3231084.78654851,-3904983.378667058,-667940.5477140738,8488.729223567449,0.0,-2429.5252573705834,-101.15956172300066
3235576.9410264185,-3928326.1642128057,-686684.0971781253,8595.810827355523,0.0,-2429.5252573705834,-101.15956172300066
3241001.552533591,-3953676.9258781676,-706505.9713907646,8700.086772905277,0.0,-2429.5252573705834,-101.15956172300066
3247280.3955764025,-3980389.0218177494,-726837.4610361904,8801.850024250029,0.0,-2429.5252573705834,-101.15956172300066
3254336.5095419395,-4000976.8434745944,-740269.7132848856,8901.305466862957,0.0,-2429.5252573705834,-101.15956172300066
3262073.074443178,-4018944.5244196355,-750403.5346286579,8998.600166893599,0.0,-2429.5252573705834,-101.15956172300066
3270419.133833567,-4044206.689720755,-767224.3975576523,9093.843148629276,0.0,-2429.5252573705834,-101.15956172300066
3293611.6866354696,-4055921.0249272794,-755652.9047881203,9187.118322783359,0.0,-2429.5252573705834,-101.15956172300066
3300142.638758634,-4079299.346994084,-772408.9001152926,9278.492939250445,0.0,-2429.5252573705834,-101.15956172300066
3307624.7749087336,-4101877.7893288564,-787415.6761238867,9368.023115329634,0.0,-2429.5252573705834,-101.15956172300066
3315931.8054254786,-4121921.8146250094,-799064.9365657415,9455.757452882957,0.0,-2429.5252573705834,-101.15956172300066
3324956.351985985,-4142169.407503897,-810202.0009303482,9541.739406657141,0.0,-2429.5252573705834,-101.15956172300066
3334618.5225112056,-4162999.382828234,-821285.5362996345,9626.00883648793,0.0,-2429.5252573705834,-101.15956172300066
3344840.1762518534,-4184432.5870794402,-832414.4926205416,9708.603026139002,0.0,-2429.5252573705834,-101.15956172300066
3355559.8890625825,-4204023.066545811,-841204.3049487863,9789.557353535049,0.0,-2429.5252573705834,-101.15956172300066
3366720.508677893,-4223586.959291243,-849528.2296993259,9868.905733117457,0.0,-2429.5252573705834,-101.15956172300066
3378272.3251865185,-4243733.471203635,-858045.1499269992,9946.680909211673,0.0,-2429.5252573705834,-101.15956172300066
3404424.740410035,-4250371.3868760085,-838454.4166331105,10022.914651956055,0.0,-2429.5252573705834,-101.15956172300066
3413704.0850588987,-4266632.310948266,-844564.7514431527,11160.54714100195,0.0,-2685.2647581464353,-111.8079366412113
3423712.057280978,-4286888.536856187,-854732.0524402632,11241.499829733011,0.0,-2685.2647581464353,-111.8079366412113
3434281.2045518565,-4305338.994211128,-862534.01339627,11320.848957789045,0.0,-2685.2647581464353,-111.8079366412113
3445255.712699252,-4293176.358490771,-839319.0920801582,11398.626406148083,0.0,-2685.2647581464353,-111.8079366412113
3456555.278171911,-4309569.427432332,-844336.3585736811,11474.863381527986,0.0,-2685.2647581464353,-111.8079366412113
3468152.438335678,-4326850.519129458,-849945.5630439657,11549.590444601654,0.0,-2685.2647581464353,-111.8079366412113
3480018.474991686,-4343137.2761297105,-854293.0363003096,11622.837532502675,0.0,-2685.2647581464353,-111.8079366412113
3492141.765009002,-4369310.762166225,-868271.4358744913,11694.633977519608,0.0,-2685.2647581464353,-111.8079366412113
3504514.305670299,-4387941.3072457975,-874459.0657470648,11765.00852322083,0.0,-2685.2647581464353,-111.8079366412113
