Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52888442.82827822,14805.468000000003
14439629.099533154,38540260.76420462,53008357.27868737,28467.414949595004
14640881.53763132,38455602.19189735,53137827.55968417,41343.83015550112
14842543.100859858,38380344.8255564,53276557.31869535,53669.39227909408
15044923.758035498,38313739.19520053,53424261.143754244,65598.19051821227
15247816.019716727,38255135.46724563,53580183.12701564,77231.64005328379
15450688.018913468,38204014.89855883,53743339.64050116,88636.72302885182
15653960.276384931,38159944.61240689,53913762.796770476,99857.90797865117
15857272.128023852,38122544.762834236,54090741.82943117,110924.93857308608
15688529.09129317,38271849.59640966,54082236.610970154,121857.92326732319
15892907.400146395,38222131.39553893,54241075.92390239,126037.1282170657
16097511.53580427,38180905.02331826,54414620.73446114,136204.17533861374
16301502.591663478,38147436.66270291,54595212.02377219,146272.76940579838
16505016.762349322,38121116.14749254,54782380.72381096,156247.81396909672
16708649.95672879,38101424.609111905,54976207.65761148,166133.0917707823
16912804.032177925,38087927.557227075,55176663.23113308,175931.64172808375
17115874.293586664,38080213.23768311,55381733.53676065,185646.00549087996
17317270.288745552,38077843.27413893,55590391.95165594,195278.38877145955
17519059.973741446,38080470.65380393,55804361.394525066,204830.76697968936
17360865.89162595,38269265.523837306,55844436.369924806,214304.95446154935
17562050.290523645,38257372.02562,56043124.96609456,223702.64995091254
17763013.01587388,38252151.6313421,56248190.11369026,233025.46647428273
17963113.381959535,38253014.273605816,56458402.606657974,242274.9510926168
18162459.480541002,38259450.36093981,56673362.439479254,251452.59799844446
18361203.484160274,38271088.165437154,56892851.50686469,260559.857267256
18559628.04422059,38287487.60086305,57116713.78584908,269598.14076544443
18757278.606260646,38308317.2912416,57344164.723698765,278568.8261965113
18954216.012446124,38333272.49503755,57574961.767410755,287473.2599270846
19150646.515729386,38362082.18039142,57809041.455132835,296312.7590120282
18985422.510507286,38576168.00102741,57866679.12422738,305088.61269267945
19178892.790501624,38588176.14491291,58080871.01896189,313802.0835473511
19372087.122234464,38605800.8315464,58300342.36219207,322454.40841121564
19564793.556882855,38628336.32517591,58524176.68120093,331046.7991421702
19748794.018256634,38655184.68991453,58743559.151453964,339580.4432827948
19931957.838306196,38685948.34029182,58965962.683249235,348056.50465122017
20114515.794843696,38720401.8946929,59191393.813419,356476.12388240406
20296214.19496002,38758304.55384439,59419359.16773835,364840.4189339326
20479726.413692158,38799467.382468775,59652344.281726554,373150.48556562664
20662952.852366004,38843736.35714766,59888096.60731274,381407.39779908024
20485993.42472939,39071961.968136914,59947567.6012275,389612.20836119173
20667083.383023255,39098233.44797189,60170703.98171168,405387.15071653854
20847706.165267278,39129555.121874034,60390907.38689551,413646.0997541984
21025533.309300907,39165362.290152326,60612750.641107805,421855.04165456875
21202439.04292821,39205216.65746166,60837670.66716772,430014.9667778562
21378578.28570742,39248904.61659476,61065609.748170175,438126.8458679903
21555306.57988189,39296093.9391243,61297592.149448335,446191.63044214057
21730332.215523046,39346534.67867191,61531077.14736712,454210.25317216286
21908381.890252866,39400045.811787315,61770611.33029844,462183.6282582567
22085799.917768087,39456469.9789681,62012382.54853126,470112.6517950699
21898501.948720008,39698090.013872944,62074590.164723404,477998.2021304529
22072887.488912974,39735931.72327745,62335706.35935192,526887.1471614945
22246818.596586015,39778628.25644335,62560794.24723146,535347.394202101
22419340.22866482,39826056.07838863,62789159.54824851,543763.2411950519
22590766.884235255,39877601.57432021,63020504.0260036,552135.5674481321
22761077.894841976,39932754.18740473,63254297.317101784,560465.2348550892
22931148.351447918,39991233.490300454,63491134.92998888,568753.0882405202
23100573.23888428,40052779.675497815,63730352.87008002,576999.9556979229
23267867.727757778,40117156.89220367,63970231.2688825,585206.6489210485
23434402.646873314,40184158.86130194,64211935.471703954,593373.9635286909
23212670.801603455,40446530.94330115,64260704.42428764,601502.6793830397
23375844.423766788,40493142.58700782,64478580.57167634,609593.5609017316
23538314.744242296,40544449.61202749,64700411.7136335,617647.3573637157
23700100.040887307,40599936.4751541,64925701.31925048,625664.8032090662
23861374.77904129,40659191.080940545,65154212.47831468,633646.6183328548
24021208.373731527,40721908.500647545,65384710.38275228,641593.5083732023
24180254.73893166,40787732.60919833,65617493.513123624,649506.1649936273
24337579.736010395,40856767.349684015,65851732.35185421,657385.2661598017
24492519.575762413,40928369.38601921,66086120.43819245,665231.476410826
24646452.129302673,41002320.10101322,66321817.67744102,673045.4471251318
24355261.620032024,41296258.04678041,66332347.48359355,680827.816781119
24505222.70749509,41346322.92575155,66540124.844459265,688579.2112126295
24654242.850170426,41401078.67276533,66751621.76679512,696300.243859364
24801604.145791475,41460656.68378274,66966252.345586546,703991.516012337
24946874.7020854,41524191.292142145,67182719.61128202,711653.6170544726
25090582.975920852,41590869.14228305,67400739.24290034,719287.1246964347
25232812.467432912,41660440.28174672,67620145.35438742,726892.6052077868
25373486.009373568,41732999.47708082,67840956.10009795,734470.613643573
25512904.43709303,41807903.56199354,68062829.693153,742021.6940664144
