Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-318137.04751054663,32932.936635798724,0.0,-6187.979612903225,-257.6525202580645
3229576.246178158,-3619168.7588631874,-360224.9251221993,35813.219695991305,0.0,-6187.979612903225,-257.6525202580645
3218747.764490371,-3646258.6057236553,-396123.45903530606,37833.01433113955,0.0,-6187.979612903225,-257.6525202580645
3211482.199131155,-3674964.254385618,-430639.8721467444,39287.81524088031,0.0,-6187.979612903225,-257.6525202580645
3206944.278738542,-3704786.043744383,-463916.63664995064,40370.76048905152,0.0,-6187.979612903225,-257.6525202580645
3204543.8408506536,-3733601.7978472067,-494295.4845891502,41208.10454056428,0.0,-6187.979612903225,-257.6525202580645
3203863.3476038114,-3760285.259473598,-520985.14670123195,41882.397301716104,0.0,-6187.979612903225,-257.6525202580645
3204609.2748431168,-3788349.8363480223,-547738.5637000144,42447.629938052385,0.0,-6187.979612903225,-257.6525202580645
3206571.424589799,-3814915.432166111,-571850.5081373628,42939.131572111066,0.0,-6187.979612903225,-257.6525202580645
3258490.8032931667,-3789515.5984161724,-494090.39118911454,43380.03606705221,0.0,-6187.979612903225,-257.6525202580645
3251644.2471706374,-3818731.309773109,-531614.1808962193,41596.232232755174,0.0,-5878.580632258066,-244.7698942451613
3247482.703758747,-3846534.5030284864,-563217.9230308221,41957.2267654211,0.0,-5878.580632258066,-244.7698942451613
3245551.657218216,-3870801.539779029,-589072.991474312,42300.241613004015,0.0,-5878.580632258066,-244.7698942451613
3245506.5392474085,-3895216.60932415,-613204.0341976606,42629.38640558407,0.0,-5878.580632258066,-244.7698942451613
3247083.721024485,-3921536.459686878,-637628.7006872371,42947.388501659545,0.0,-5878.580632258066,-244.7698942451613
3250080.7214863854,-3949156.4745554863,-661943.0323807589,43256.07121484517,0.0,-5878.580632258066,-244.7698942451613
3254323.2147782184,-3970628.33494905,-678871.8043810289,43556.66631630624,0.0,-5878.580632258066,-244.7698942451613
3259636.916365655,-3989399.0322862426,-692035.4481988355,43850.01824825541,0.0,-5878.580632258066,-244.7698942451613
3265888.4460468674,-4015417.683136839,-711515.8700381969,44136.71757827806,0.0,-5878.580632258066,-244.7698942451613
3323604.4366780096,-3990979.6803834033,-629081.4060144647,44417.188217432784,0.0,-5878.580632258066,-244.7698942451613
3320999.891077558,-4015066.5269056666,-655498.2419285378,44691.74442607398,0.0,-5878.580632258061,-244.76989424516117
3320709.375558514,-4038431.256157054,-678884.6030471701,44960.62807787307,0.0,-5878.580632258061,-244.76989424516117
3322356.398091013,-4059220.762038743,-697763.6814505034,45224.03302372992,0.0,-5878.580632258061,-244.76989424516117
3325638.0504085193,-4080172.732098514,-715175.911190376,45482.12102612237,0.0,-5878.580632258061,-244.76989424516117
3330320.013578371,-4101719.976672665,-731788.2814357233,45735.03218507368,0.0,-5878.580632258061,-244.76989424516117
3336202.3574851984,-4123890.340934606,-747828.442211391,45982.891764519656,0.0,-5878.580632258061,-244.76989424516117
3343125.783895178,-4144220.0427634255,-760991.7947284214,46225.814666329046,0.0,-5878.580632258061,-244.76989424516117
3350953.840094548,-4164560.076693097,-773265.6787580807,46463.908366971526,0.0,-5878.580632258061,-244.76989424516117
3359571.8632717845,-4185452.5549412803,-785306.7673466221,46697.274849376874,0.0,-5878.580632258061,-244.76989424516117
3419547.010487886,-4155295.0133511513,-694945.3415117994,46926.01187796895,0.0,-5878.580632258061,-244.76989424516117
3418969.3411041205,-4172390.2286635167,-712394.0242416383,47150.21384426114,0.0,-5878.580632258068,-244.76989424516145
3420543.8584582047,-4193546.925801397,-731756.445538097,47369.9723315984,0.0,-5878.580632258068,-244.76989424516145
3423849.273592458,-4213069.677278096,-747758.3777159994,47585.37649614105,0.0,-5878.580632258068,-244.76989424516145
3428530.7068900075,-4201643.069302142,-731439.1996110994,47796.513327538385,0.0,-5878.580632258068,-244.76989424516145
3434351.9042186653,-4218752.629117128,-742520.60759421,48003.467830756825,0.0,-5878.580632258068,-244.76989424516145
3441157.6955500823,-4236866.568991526,-753625.9008117871,48206.323156160164,0.0,-5878.580632258068,-244.76989424516145
3448818.1285681115,-4254022.0125501035,-762922.0738129417,48405.16069555345,0.0,-5878.580632258068,-244.76989424516145
3457238.7120781275,-4281047.21905204,-781331.7973446476,48600.060155767904,0.0,-5878.580632258068,-244.76989424516145
3466343.8010199787,-4300493.649979977,-791482.0998691457,48791.09961735588,0.0,-5878.580632258068,-244.76989424516145
3526562.995147656,-4267672.62796802,-698254.6277635208,48978.35558334638,0.0,-5878.580632258068,-244.76989424516145
3526338.512979098,-4286663.786118165,-716462.1013274142,50103.845826872865,0.0,-5991.214326098958,-249.45968912159685
3528197.001341396,-4305326.673877341,-733083.1412208976,50287.205330267694,0.0,-5991.214326098958,-249.45968912159685
3531748.6863250677,-4315074.498135446,-739099.552312694,50466.93351290466,0.0,-5991.214326098958,-249.45968912159685
3536696.829151694,-4331483.865919375,-750384.6084817665,50643.10230113416,0.0,-5991.214326098958,-249.45968912159685
3542845.2188196494,-4348878.29249813,-761457.9655006264,50815.78219307468,0.0,-5991.214326098958,-249.45968912159685
3550017.838640043,-4371049.099888063,-776286.89297503,50985.04228821047,0.0,-5991.214326098958,-249.45968912159685
3558071.855048938,-4384781.897407763,-781799.766058097,51150.95031594819,0.0,-5991.214326098958,-249.45968912159685
3566903.5231136936,-4415959.818546181,-803983.3967843966,51313.572663310675,0.0,-5991.214326098958,-249.45968912159685
3576427.8476893306,-4433849.228241359,-812189.0801653613,51472.97440188803,0.0,-5991.214326098958,-249.45968912159685
3637420.6223030398,-4397544.942481194,-714735.7748792463,51629.21931412806,0.0,-5991.214326098958,-249.45968912159685
3637538.9839782775,-4415705.565835678,-728777.3221892483,56157.17340797186,0.0,-6497.378593548388,-270.5351462709678
3639731.162477839,-4434032.512220624,-744749.2898998946,56319.973582709776,0.0,-6497.378593548388,-270.5351462709678
3643655.92287397,-4450137.254295627,-756769.6955325742,56479.549628902016,0.0,-6497.378593548388,-270.5351462709678
3649007.1311159786,-4466571.686623356,-767696.503849177,56635.96539801994,0.0,-6497.378593548388,-270.5351462709678
3655543.6651491853,-4482243.618683718,-776678.5837974035,56789.28347694899,0.0,-6497.378593548388,-270.5351462709678
3663085.0290622204,-4501100.813901654,-787844.1333662008,56939.56521305297,0.0,-6497.378593548388,-270.5351462709678
3671483.2877763957,-4518377.220766721,-796574.9759914095,57086.870738735066,0.0,-6497.378593548388,-270.5351462709678
3680608.2596368245,-4530071.180094472,-798999.5752019589,57231.25899550772,0.0,-6497.378593548388,-270.5351462709678
3690352.292220543,-4546654.215671175,-805697.0494328686,57372.78775758293,0.0,-6497.378593548388,-270.5351462709678
3754274.719085272,-4506529.4424565295,-701511.123456083,57511.51365499346,0.0,-6497.378593548388,-270.5351462709678
3753970.2453935356,-4523182.886916886,-718333.0630669155,57647.4921962547,0.0,-6497.378593548388,-270.5351462709678
3755751.949909174,-4539602.216724818,-732837.4027648857,57780.777790577056,0.0,-6497.378593548388,-270.5351462709678
3759242.582406335,-4555907.168235628,-745521.0757994745,57911.42376963784,0.0,-6497.378593548388,-270.5351462709678
3764147.7977400273,-4572755.392188239,-757336.0257791091,58039.48240892163,0.0,-6497.378593548388,-270.5351462709678
3770236.381153424,-4586256.767276649,-764623.2949144071,58165.00494863774,0.0,-6497.378593548388,-270.5351462709678
3777310.8529429543,-4601835.923362987,-773004.9425456285,58288.04161422333,0.0,-6497.378593548388,-270.5351462709678
