Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-361791.28077460726,463.7708969297962,0.0,-16925.944235294115,-704.7554230588233
3229576.246178158,-3619168.7588631874,-399245.12113080383,7978.091212578463,0.0,-16925.944235294115,-704.7554230588233
3218747.764490371,-3646258.6057236553,-434676.9139024105,10464.626989226868,0.0,-16925.944235294115,-704.7554230588233
3211482.199131155,-3674964.254385618,-468725.5353234342,12387.219589382186,0.0,-16925.944235294115,-704.7554230588233
3206944.278738542,-3704786.043744383,-501537.0460163661,13935.418647827773,0.0,-16925.944235294115,-704.7554230588233
3204543.8408506536,-3733601.7978472067,-531455.4589443228,15233.197710583472,0.0,-16925.944235294115,-704.7554230588233
3203863.3476038114,-3760285.259473598,-557690.9326660184,16361.678862121433,0.0,-16925.944235294115,-704.7554230588233
3204609.2748431168,-3788349.8363480223,-583997.2795205053,17373.981642753148,0.0,-16925.944235294115,-704.7554230588233
3206571.424589799,-3814915.432166111,-607669.7814663538,18304.92576831168,0.0,-16925.944235294115,-704.7554230588233
3303786.0708206673,-3708366.989871677,-403034.24752190744,19177.371187454723,0.0,-16925.944235294115,-704.7554230588233
3283102.8862872277,-3741057.8724013986,-455460.5418254663,21006.678929974838,0.0,-17772.241447058823,-739.9931942117647
3267625.7792062974,-3772179.0082882615,-501223.54438074544,21841.919342489346,0.0,-17772.241447058823,-739.9931942117647
3256415.7818624056,-3800124.6256221463,-539572.1957276387,22648.882673372238,0.0,-17772.241447058823,-739.9931942117647
3248769.163523244,-3827810.1826687963,-574121.0575375631,23432.19624925974,0.0,-17772.241447058823,-739.9931942117647
3244144.475255231,-3857598.210800115,-607770.9840561112,24194.986130043388,0.0,-17772.241447058823,-739.9931942117647
3242122.8772254405,-3888814.1111672944,-640264.0732036405,24939.395379484176,0.0,-17772.241447058823,-739.9931942117647
3242360.7030512546,-3913999.652742084,-664484.2615750022,25666.922757097884,0.0,-17772.241447058823,-739.9931942117647
3244549.084415269,-3936708.2076571416,-684292.7138153823,26378.64406776049,0.0,-17772.241447058823,-739.9931942117647
3248348.752399318,-3966110.8064869,-709198.9318928636,27075.35683598921,0.0,-17772.241447058823,-739.9931942117647
3355344.1119865347,-3849465.251877499,-484875.6996544575,27757.6748777769,0.0,-17772.241447058823,-739.9931942117647
3335297.3305056617,-3879383.656907206,-534172.4709093993,28426.09013341539,0.0,-17772.241447058823,-739.9931942117647
3320699.3857455463,-3908408.033666064,-577139.8694547387,29081.013107049785,0.0,-17772.241447058823,-739.9931942117647
3310607.000615834,-3936737.031012173,-614919.4657110238,29722.79932658591,0.0,-17772.241447058823,-739.9931942117647
3304288.906247614,-3963350.8500695834,-647222.4117950186,30351.766668221408,0.0,-17772.241447058823,-739.9931942117647
3301163.9074256304,-3990754.8264314085,-677134.9469360595,30968.20671098911,0.0,-17772.241447058823,-739.9931942117647
3300756.1511069187,-4018757.942840837,-704941.6341855138,31572.39218967467,0.0,-17772.241447058823,-739.9931942117647
3302693.807074926,-4045127.5155354477,-728781.3612041484,32164.581897644137,0.0,-17772.241447058823,-739.9931942117647
3306669.729865936,-4071731.7795831594,-750829.2604357693,32745.023922724224,0.0,-17772.241447058823,-739.9931942117647
3312315.4305550014,-4098070.571059249,-770953.4173523019,33313.95779321626,0.0,-17772.241447058823,-739.9931942117647
3423793.4469632274,-3978793.7303946945,-539640.9021616008,33871.61591113697,0.0,-17772.241447058823,-739.9931942117647
3405293.007848978,-4001764.133229645,-580565.1355028368,34418.22451910112,0.0,-17772.24144705883,-739.9931942117651
3392089.9305064287,-4028946.3118302654,-620414.6116032357,34954.00436187166,0.0,-17772.24144705883,-739.9931942117651
3383233.5125545533,-4055564.4710255517,-655364.0219644605,35479.17114780857,0.0,-17772.24144705883,-739.9931942117651
3377954.960695002,-4051265.6614939007,-655828.9995611808,35993.93587898805,0.0,-17772.24144705883,-739.9931942117651
3375690.8156441604,-4075215.1577850156,-681538.0716871843,36498.50509494141,0.0,-17772.24144705883,-739.9931942117651
3376025.337449302,-4100288.094867928,-705781.9110005011,36993.08105939548,0.0,-17772.24144705883,-739.9931942117651
