Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52885975.25027822,12337.890000000007
14439629.099533154,38540260.76420462,53003612.70952911,23722.845791329186
14640881.53763132,38455602.19189735,53130936.92132492,34453.191796250954
14842543.100859858,38380344.8255564,53267612.419982165,44724.493565911755
15044923.758035498,38313739.19520053,53413328.1120012,54665.15876517693
15247816.019716727,38255135.46724563,53567311.18700676,64359.700044403195
15450688.018913468,38204014.89855883,53728566.85332968,73863.93585737656
15653960.276384931,38159944.61240689,53897119.81210736,83214.92331554269
15857272.128023852,38122544.762834236,54072254.33966899,92437.44881090513
15702590.829507813,38265990.71200097,54070129.81089822,101548.26938943604
15907641.788270133,38213941.1259059,54237669.74279702,116086.82862098154
16112965.885001203,38170876.379714735,54409293.47884361,125451.21412767052
16317805.963152338,38135993.430327535,54588524.31266942,134724.91918955112
16522225.41888059,38108640.76736292,54774778.646478206,143912.46023469433
16726810.945658451,38088274.05867157,54968102.32569785,153017.32136782582
16931976.355630577,38074430.036082044,55168448.69330428,162042.30159165608
17136095.138750646,38066680.411768734,55373765.292418875,170989.74189949472
17338577.293804847,38064573.965454385,55583012.93312768,179861.67386844958
17541485.562104933,38067673.54096001,55797819.02001992,188659.91695497703
17364027.652392317,38258498.348005325,55819912.142664865,197386.1422672165
17568041.621879153,38242147.762186505,55996608.259024754,186418.87495909387
17772058.458134245,38233539.76123949,56199786.1081023,194187.88872856903
17975661.543452784,38231902.808347374,56409460.144377336,201895.79257718075
18178676.86052381,38236621.358197324,56624842.050386496,209543.83166537053
18381237.447642837,38247243.088248,56845613.750280224,217133.2143893801
18583586.805156305,38263255.15818265,57071507.08064349,224665.11730453718
18785248.024064098,38284274.59977614,57301663.31233734,232140.68849709284
18986278.13715086,38309955.644827306,57535794.831917405,239561.0499392373
19186865.642440606,38339886.46278503,57773679.40440233,246927.29917669029
19027181.6991553,38552600.32534925,57834022.53508178,254240.51057723296
19226151.346597355,38561310.29120689,58048963.374093704,261501.7362894593
19425005.25035277,38576628.27843278,58270345.5357949,268712.0070093465
19623674.328254458,38597742.586669676,58497289.24754261,275872.3326184752
19813786.69905293,38623981.57307037,58720751.97485896,282983.70273566234
20003195.61780142,38654876.540987924,58948119.245998695,290047.0872093501
20192084.835373893,38690139.03324012,59179287.30518268,297063.4365686701
20380174.25184247,38729490.65141547,59413698.58570288,304033.6824449439
20570144.701144576,38772711.04247983,59653814.48159576,310958.7379713555
20759762.459822174,38819479.49462288,59897081.45261095,317839.49816590024
20590608.535221323,39051622.43149025,59966907.807012565,324676.8403009931
20778879.225446988,39075853.161205314,60186204.0109143,331471.6242619973
20966781.765499648,39106025.94707003,60411032.40546587,338224.6928961938
21152532.63485797,39141499.283961765,60638968.791172974,344936.87235323526
21337465.13691999,39181776.96067633,60870851.07001413,351608.9724178071
21521672.989767294,39226602.4914548,61106517.268057115,358241.7868350154
21706499.236407384,39275595.69694828,61346931.02698455,364836.093628883
21889619.719863255,39328484.68004993,61589497.05532743,371392.65541424457
22075799.135010745,39385059.42350917,61838770.77822219,377912.2197022743
22261308.72046245,39444990.5929658,62090694.832628086,384395.51919983746
22083169.13791136,39682784.50961988,62156796.919634074,390843.27210283175
22266494.02480558,39719377.43437197,62383127.64156121,397256.1823836664
22449490.73282435,39761832.29772485,62614957.97062222,403634.9400730127
22631331.578510847,39809643.03367822,62850954.83372501,409980.22153595183
22812068.23727026,39862392.2452403,63090753.17225321,416292.6897426393
22991752.898338277,39919632.15976419,63333958.052636065,422572.99453359906
23171280.499525152,39981018.72501757,63581120.99742248,428821.7728797574
23350206.338352937,40046109.629489414,63831355.61697968,435039.6491373229
23527050.323104866,40114486.9065286,64082764.46493108,441227.2352976161
