period,oha,ohv,ogs,ocp,ocf
1,4498.193721568382,536429.9999999999,17387715.654951114,49800756.29208685,-332712.20353357284
2,4723.1034076467995,563251.4999999998,20712223.81238342,49880664.74494047,-664857.4329780956
3,4723.1034076467995,509608.50000000006,24417055.04241022,50315691.58883116,-848214.6578776112
4,4723.1034076467995,509608.50000000023,28333990.075915556,51043567.684840284,-966652.2716144874
5,4723.103407646799,509608.49999999994,32227915.11413682,51554362.35375069,-1015469.2382178854
6,4273.284035489962,509608.50000000023,35944343.60340754,51799998.68428196,-1087383.0837726435
7,4273.284035489962,509608.5000000003,39420233.719485186,52134888.83470252,-1158222.7725727672
8,4273.28403548996,509608.5,42577687.649146475,52639260.88410167,-1206595.094371281
9,4273.28403548996,509608.49999999994,45369552.19263937,53163541.11029165,-1231513.936462325
10,4273.284035489962,509608.5000000002,47943355.53256057,53728312.98097741,-1216211.4484747152
