Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-309307.9460096675,43910.582181064965,0.0,-8250.639483870968,-343.5366936774193
3229576.246178158,-3619168.7588631874,-350435.7292679227,47750.95959465508,0.0,-8250.639483870968,-343.5366936774193
3218747.764490371,-3646258.6057236553,-385660.9983026467,50444.01910818608,0.0,-8250.639483870968,-343.5366936774193
3211482.199131155,-3674964.254385618,-419692.4777775047,52383.75365450708,0.0,-8250.639483870968,-343.5366936774193
3206944.278738542,-3704786.043744383,-452608.2605313206,53827.68065206872,0.0,-8250.639483870968,-343.5366936774193
3204543.8408506536,-3733601.7978472067,-482707.9937866826,54944.13938741903,0.0,-8250.639483870968,-343.5366936774193
3203863.3476038114,-3760285.259473598,-509172.891645047,55843.19640228814,0.0,-8250.639483870968,-343.5366936774193
3204609.2748431168,-3788349.8363480223,-535737.8977650506,56596.839917403195,0.0,-8250.639483870968,-343.5366936774193
3206571.424589799,-3814915.432166111,-559686.0083243795,57252.17542948143,0.0,-8250.639483870968,-343.5366936774193
3282202.1442896207,-3739896.4020697456,-408448.3858682704,57840.048089402946,0.0,-8250.639483870968,-343.5366936774193
3267193.5426062904,-3772057.2094556745,-452587.84117701306,61299.710658797114,0.0,-8663.171458064517,-360.7135283612903
3256447.7350843432,-3802527.0224179374,-493271.46971834666,61831.7026016732,0.0,-8663.171458064517,-360.7135283612903
3249195.470574578,-3829668.9858278735,-527160.2020731892,62337.19816653223,0.0,-8663.171458064517,-360.7135283612903
3244864.1303292047,-3856618.8783909804,-557956.3793978669,62822.253650334416,0.0,-8663.171458064517,-360.7135283612903
3243015.710912192,-3885554.09325747,-588271.3790134687,63290.88831823513,0.0,-8663.171458064517,-360.7135283612903
3243312.666363771,-3915868.0622188845,-617833.4916828198,63745.78915871921,0.0,-8663.171458064517,-360.7135283612903
3245475.4810476773,-3940061.6852794336,-639421.317804678,64188.77141350394,0.0,-8663.171458064517,-360.7135283612903
3249246.6968237506,-3961692.3033883213,-656848.4120272517,64621.07952374482,0.0,-8663.171458064517,-360.7135283612903
3254360.841201511,-3990182.2490987633,-679801.7090841101,65043.58379956769,0.0,-8663.171458064517,-360.7135283612903
3339657.8238551165,-3906790.9202929647,-510700.07247226767,65456.90895200622,0.0,-8663.171458064517,-360.7135283612903
3326597.4487584485,-3935737.6491471473,-557715.6751892711,59588.99256809865,0.0,-7838.1075096774175,-326.3598589935483
3317864.052145471,-3963694.685069143,-594047.5961885118,59947.50410383078,0.0,-7838.1075096774175,-326.3598589935483
3312706.94624636,-3990163.840472625,-625322.6508966293,60298.71069830659,0.0,-7838.1075096774175,-326.3598589935483
3310545.8007599316,-4015561.5648938157,-652537.4034677253,60642.82803482984,0.0,-7838.1075096774175,-326.3598589935483
3310918.2290550475,-4041637.818401405,-677904.0138015967,60980.0429134316,0.0,-7838.1075096774175,-326.3598589935483
3313442.1356743537,-4068211.108972248,-701622.9183138725,61310.52235269289,0.0,-7838.1075096774175,-326.3598589935483
3317821.418193762,-4093019.392003351,-721728.0216231542,61634.419555105414,0.0,-7838.1075096774175,-326.3598589935483
3323810.0743967006,-4117953.847301084,-740356.362450426,61951.877822628725,0.0,-7838.1075096774175,-326.3598589935483
3331127.9735868913,-4142845.0715762186,-757618.5322254956,62263.03313250251,0.0,-7838.1075096774175,-326.3598589935483
3417398.2131333603,-4055233.2574108476,-583431.495808866,62568.015837291954,0.0,-7838.1075096774175,-326.3598589935483
3406392.6017509256,-4076812.6501244856,-615717.563949883,62866.95179234817,0.0,-7838.107509677419,-326.3598589935484
3399510.21446795,-4102641.69528597,-648135.9850778929,63159.96310879786,0.0,-7838.107509677419,-326.3598589935484
3396004.949545271,-4127879.7776024025,-676592.1267642806,63447.16866152138,0.0,-7838.107509677419,-326.3598589935484
3395268.3332827035,-4121697.7250641175,-670865.1747133669,63728.684436717835,0.0,-7838.107509677419,-326.3598589935484
3396863.1354894526,-4144266.8192697796,-691563.5273746556,64004.623774342435,0.0,-7838.107509677419,-326.3598589935484
3400475.5954506444,-4167897.4515062743,-711311.2258827542,64275.097541546864,0.0,-7838.107509677419,-326.3598589935484
3405848.8814512137,-4190767.544363965,-728542.9160206842,64540.21426073793,0.0,-7838.107509677419,-326.3598589935484
3412785.843395826,-4223764.53662147,-754343.0803866247,64800.08020769054,0.0,-7838.107509677419,-326.3598589935484
3421010.905387471,-4248073.92714227,-770172.689633662,65054.79948980784,0.0,-7838.107509677419,-326.3598589935484
3507541.6281816405,-4157819.6814558343,-593138.0465317362,65304.474111128504,0.0,-7838.107509677419,-326.3598589935484
3497285.3074653726,-4182042.640641539,-627372.5965164376,65549.20402839969,0.0,-7838.1075096774175,-326.3598589935483
3491088.6613484267,-4206270.856439602,-657557.5752588031,65789.08720104286,0.0,-7838.1075096774175,-326.3598589935483
3488229.902684618,-4222889.74281908,-676800.087866268,66024.21963686487,0.0,-7838.1075096774175,-326.3598589935483
3488153.567466669,-4245677.336024827,-699433.5404920989,66254.69543473063,0.0,-7838.1075096774175,-326.3598589935483
