Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-300478.8445087884,54888.227726331184,0.0,-10313.299354838706,-429.420867096774
3229576.246178158,-3619168.7588631874,-340646.533413646,59688.69949331883,0.0,-10313.299354838706,-429.420867096774
3218747.764490371,-3646258.6057236553,-375198.5375699873,63055.02388523259,0.0,-10313.299354838706,-429.420867096774
3211482.199131155,-3674964.254385618,-408745.0834082651,65479.69206813384,0.0,-10313.299354838706,-429.420867096774
3206944.278738542,-3704786.043744383,-441299.88441269053,67284.60081508585,0.0,-10313.299354838706,-429.420867096774
3204543.8408506536,-3733601.7978472067,-471120.5029842149,68680.17423427377,0.0,-10313.299354838706,-429.420867096774
3203863.3476038114,-3760285.259473598,-497360.6365888621,69803.99550286015,0.0,-10313.299354838706,-429.420867096774
3204609.2748431168,-3788349.8363480223,-523737.23183008697,70746.04989675396,0.0,-10313.299354838706,-429.420867096774
3206571.424589799,-3814915.432166111,-547521.5085113962,71565.21928685176,0.0,-10313.299354838706,-429.420867096774
3286768.7040536227,-3751830.3262463687,-403504.282302928,72300.06011175366,0.0,-10313.299354838706,-429.420867096774
3273352.0066714855,-3783014.285452017,-450540.8092701116,69327.05372125865,0.0,-9797.634387096768,-407.94982374193523
3263770.67721119,-3812337.627935982,-488843.82365992875,69928.71127570185,0.0,-9797.634387096768,-407.94982374193523
3257321.7577991257,-3837888.548805503,-520271.9725288759,70500.40268834004,0.0,-9797.634387096768,-407.94982374193523
3253482.153843832,-3863363.7584036663,-549038.2114280326,71048.97734264014,0.0,-9797.634387096768,-407.94982374193523
3251849.236946746,-3890698.0858389745,-577475.4522669683,71578.98083609926,0.0,-9797.634387096768,-407.94982374193523
3252111.426310892,-3919291.2328202967,-605291.9386955013,72093.45202474197,0.0,-9797.634387096768,-407.94982374193523
3254010.3555382024,-3941550.7655262444,-625151.55033837,72594.44386051041,0.0,-9797.634387096768,-407.94982374193523
3257305.3283903645,-3961147.0564471027,-640963.9485204846,73083.36374709237,0.0,-9797.634387096768,-407.94982374193523
3261810.161878576,-3987909.8122020373,-662744.0385705031,73561.1959637968,0.0,-9797.634387096768,-407.94982374193523
3350126.4951608926,-3924521.017366213,-510571.4593871044,74028.64702905466,0.0,-9797.634387096768,-407.94982374193523
3338768.666763057,-3950959.028797429,-547909.7055350875,74486.24071012331,0.0,-9797.634387096776,-407.9498237419356
3331164.7713677958,-3976331.5557527533,-580437.9884660074,74934.38012978848,0.0,-9797.634387096776,-407.9498237419356
3326653.5672498383,-3998786.738485858,-606965.3670739747,75373.38837288323,0.0,-9797.634387096776,-407.9498237419356
3324719.007902381,-4021363.604591893,-631046.6458568133,75803.5350435373,0.0,-9797.634387096776,-407.9498237419356
3324955.464567582,-4044465.5870028352,-653490.6530043022,76225.05364178949,0.0,-9797.634387096776,-407.9498237419356
3327026.8815719145,-4068020.77025424,-674561.319952298,76638.15294086612,0.0,-9797.634387096776,-407.9498237419356
3330669.6474594646,-4089637.7816551365,-692130.6939626287,77043.02444388176,0.0,-9797.634387096776,-407.9498237419356
3335663.5858076266,-4111297.995062822,-708400.1461877482,77439.8472782859,0.0,-9797.634387096776,-407.9498237419356
3341825.924672935,-4133418.7249864214,-723969.5931086971,77828.79141562815,0.0,-9797.634387096776,-407.9498237419356
3433913.893531615,-4066776.5159185743,-564858.186801183,78210.01979661494,0.0,-9797.634387096776,-407.9498237419356
