Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52878572.51627822,4935.156
14439629.099533154,38540260.76420462,52989379.00205431,9489.138316531667
14640881.53763132,38455602.19189735,53110265.00624717,13781.276718500374
14842543.100859858,38380344.8255564,53240777.72384262,17889.797426364694
15044923.758035498,38313739.19520053,53380529.0167421,21866.06350607076
15247816.019716727,38255135.46724563,53528695.36698012,25743.88001776126
15450688.018913468,38204014.89855883,53684248.491815254,29545.57434295061
15653960.276384931,38159944.61240689,53847190.85811804,33285.96932621706
15857272.128023852,38122544.762834236,54016791.87038244,36974.979524362025
15945704.415185716,38145467.046478525,54131790.76942002,40619.307755774396
16149682.88801991,38113193.743233256,54304889.00732552,42012.37607235524
16353753.502987705,38087466.179926194,54486621.07469343,45401.391779537924
16557120.145710988,38067861.33857118,54673739.0740841,48757.58980193279
16759928.371944971,38054008.30877321,54866019.28537455,52082.604656365584
16962777.787011907,38045583.42534627,55063738.909615114,55377.69725692746
17166086.76625877,38042309.06239209,55267039.70922689,58643.88057602793
17368241.539760698,38043904.71248206,55474028.25407305,61882.00183029334
17568672.422555655,38050042.05148593,55683807.27029874,65092.7962571532
17769455.21513996,38060467.66411171,55898199.80157824,68276.92232656313
17858527.41878238,38124991.21864255,56054953.62224544,71434.98482051646
18059991.330514945,38136433.38122909,56270992.26172767,74567.54998363754
18261216.347298816,38152482.259416394,56491373.76220663,77675.1554914276
18461554.71173904,38172801.28268466,56715114.31145457,80758.3170308723
18661113.567061815,38197104.512481235,56942035.6122092,83817.53266614818
18860031.18035454,38225213.91888612,57172098.38499641,86853.28575575203
19058578.68829535,38256844.322622135,57405289.05783929,89866.04692181486
19256296.72384303,38291800.091839075,57640953.09108094,92856.27539883713
19453233.901804682,38329892.67654676,57878950.998327136,95824.41997569491
19649599.420365125,38370951.8699457,58119322.20998151,98770.91967067611
19733453.8929894,38469474.40987225,58304624.507092535,101696.20423089319
19927550.272195533,38509000.09138293,58541151.05809425,104600.6945157837
20121252.48908177,38551782.424597,58780519.71648251,107484.80280373857
20314306.519391738,38597418.928803995,59022074.381243125,110348.93304739005
20498573.137468092,38645566.76748811,59257333.38605046,113193.48109426492
20681941.220126733,38696026.62330853,59493986.67831901,116018.83488374004
20864604.522672925,38748768.072725326,59732197.970025726,118825.37462746802
21046287.80109041,38803702.87936089,59971604.153429285,121613.47297797751
21229671.64365253,38860771.71605563,60214826.8548967,124383.49518854218
21412669.149844658,38919933.0563808,60459738.005491816,127135.79926636007
21482795.13175364,39035752.97718693,60648418.84506097,129870.73612039721
21664061.19872647,39091892.96896,60888542.81739127,132588.64970479888
21844712.050171178,39150623.54030614,61130625.467635795,135289.8771584775
22022585.854473982,39211704.646279946,61372265.24969523,137974.7489412941
22199481.261490352,39274967.02061346,61615091.87107094,140643.5889671228
22375413.45087051,39340410.98829454,61859121.15389905,143296.71473400615
22551762.43659455,39407878.242805615,62105575.11685172,145934.43745155315
22726211.827837035,39477271.981215395,62352040.87121813,148557.0621656978
22903547.304165136,39548541.533604845,62603253.72565089,151164.8878809097
23080068.189102963,39621642.86389843,62855469.260681316,153758.20767993492
23141379.227991663,39751625.38319257,63049341.92002536,156337.30884113265
23314952.877347104,39821082.574931584,63297248.188184135,161212.7359054429
23487843.04560391,39892865.915234365,63544510.29579989,163801.3349616163
23658874.31088791,39967142.40452564,63792393.06425812,166376.34884457852
23828489.242521532,40043555.18827218,64040982.47739164,168938.04659792743
23996777.285662428,40121830.318803445,64290094.29640292,171486.6919370523
24164659.472481042,40201870.28130503,64540552.29714074,174022.54335465955
24331694.71018286,40283575.973536395,64791816.53794345,176545.85422420705
24496399.479589507,40366845.978234455,65042302.33072525,179056.87290128862
24660086.694893874,40451591.91865833,65293234.45637522,181555.84282301067
24708491.21951459,40592948.24942255,65485482.471542545,184043.00260539932
24869140.638647623,40673379.355785474,65726365.67153045,183845.67709734745
25028839.56748588,40755806.73686326,65970920.904189,186274.5998398506
25187562.724237457,40840044.83357348,66216300.11750891,188692.55969797217
25345545.307184126,40925961.52784181,66462606.60880886,191099.77378292428
25501851.434053857,41013477.31608868,66708825.20504874,193496.45490620375
25657161.424470365,41102442.7372958,66955486.97343092,195882.81166474463
25810514.802702323,41193137.47220813,67201911.32343484,198259.0485243845
25961245.691998444,41285053.16192923,67446924.21982935,200625.36590167755
26110701.3779669,41378096.34858519,67691779.68679617,202981.96024408727
26139713.828766413,41528546.33937463,67873589.19224964,205329.02410859131
26285768.8952194,41616400.760704845,68109836.40216297,207666.74623872945
26430617.223800384,41705955.569839716,68346568.10528022,209995.31164012552
