Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-335795.25051230495,10977.645545266241,0.0,-2062.6598709677423,-85.88417341935485
3229576.246178158,-3619168.7588631874,-379803.31683075265,11937.739898663773,0.0,-2062.6598709677423,-85.88417341935485
3218747.764490371,-3646258.6057236553,-417048.38050062495,12611.004777046523,0.0,-2062.6598709677423,-85.88417341935485
3211482.199131155,-3674964.254385618,-452534.66088522377,13095.938413626773,0.0,-2062.6598709677423,-85.88417341935485
3206944.278738542,-3704786.043744383,-486533.3888872108,13456.920163017177,0.0,-2062.6598709677423,-85.88417341935485
3204543.8408506536,-3733601.7978472067,-517470.46619408554,13736.034846854762,0.0,-2062.6598709677423,-85.88417341935485
3203863.3476038114,-3760285.259473598,-544609.6568136018,13960.799100572036,0.0,-2062.6598709677423,-85.88417341935485
3204609.2748431168,-3788349.8363480223,-571739.8955699417,14149.209979350799,0.0,-2062.6598709677423,-85.88417341935485
3206571.424589799,-3814915.432166111,-596179.5077633292,14313.043857370358,0.0,-2062.6598709677423,-85.88417341935485
3224044.6615598253,-3826692.8498485764,-590336.7203107874,14460.01202235074,0.0,-2062.6598709677423,-85.88417341935485
3224898.2087459136,-3854483.830571952,-617761.3279239546,13865.410744251729,0.0,-1959.5268774193544,-81.58996474838708
3227141.228628482,-3881065.7513844953,-641979.8973430402,13985.742255140369,0.0,-1959.5268774193544,-81.58996474838708
3230586.9567722296,-3904380.2284559016,-661734.307988172,14100.080537668005,0.0,-1959.5268774193544,-81.58996474838708
3235089.6314045885,-3927925.3516699686,-680667.0416390196,14209.795468528026,0.0,-1959.5268774193544,-81.58996474838708
3240539.0243476853,-3953428.9736943436,-700615.270021606,14315.79616721985,0.0,-1959.5268774193544,-81.58996474838708
3246852.1745951795,-3980312.4343349985,-721082.6861770381,14418.690404948391,0.0,-1959.5268774193544,-81.58996474838708
3253948.8804950286,-4001033.766998661,-734607.114573698,14518.888772102084,0.0,-1959.5268774193544,-81.58996474838708
3261729.939536336,-4019146.7527987217,-744841.2573551353,14616.67274941847,0.0,-1959.5268774193544,-81.58996474838708
3270122.7831218243,-4044553.6022254615,-761759.6967530452,14712.239192759358,0.0,-1959.5268774193544,-81.58996474838708
3291890.942479492,-4054454.7281290097,-749799.1730858741,14805.72940581093,0.0,-1959.5268774193544,-81.58996474838708
3298361.2237111027,-4079016.8295478146,-767799.4745368552,14897.248142024659,0.0,-1959.5268774193548,-81.5899647483871
3305884.928199264,-4102555.876426909,-783725.1890438548,14986.876025957692,0.0,-1959.5268774193548,-81.5899647483871
3314299.697916974,-4123376.78618145,-796043.5274320671,15074.677674576644,0.0,-1959.5268774193548,-81.5899647483871
3323478.0617061327,-4144305.7071437626,-807708.0552710899,15160.70700870746,0.0,-1959.5268774193548,-81.5899647483871
3333325.9222101728,-4165758.3277680497,-819228.5116716864,15245.010728357896,0.0,-1959.5268774193548,-81.5899647483871
3343754.5449352753,-4187740.221083636,-830699.1624023552,15327.630588173219,0.0,-1959.5268774193548,-81.5899647483871
3354694.763834691,-4207832.047971651,-839769.7960903512,15408.604888776346,0.0,-1959.5268774193548,-81.5899647483871
3366083.5142074353,-4227859.310661645,-848328.9438407202,15487.969455657176,0.0,-1959.5268774193548,-81.5899647483871
3377866.997696428,-4248424.274880859,-857032.6357434734,15565.758283125624,0.0,-1959.5268774193548,-81.5899647483871
3405054.541524261,-4254389.128823219,-835733.7001818031,15642.003959322985,0.0,-1959.5268774193548,-81.5899647483871
3414450.931526012,-4271065.154154331,-842938.6015223999,15716.73794808704,0.0,-1959.5268774193544,-81.58996474838708
3424585.574127912,-4291695.591162395,-853361.1430994507,15789.990777199464,0.0,-1959.5268774193544,-81.58996474838708
3435287.4781999695,-4310486.104762132,-861377.9512389504,15861.792165380344,0.0,-1959.5268774193544,-81.58996474838708
3446398.522693413,-4298584.8641484585,-838295.2871880339,15932.171109179459,0.0,-1959.5268774193544,-81.58996474838708
3457836.380811181,-4315205.488567771,-843409.0686551721,16001.155943585605,0.0,-1959.5268774193544,-81.58996474838708
3469572.1046883254,-4332722.86188595,-849123.0996544054,16068.774385386716,0.0,-1959.5268774193544,-81.58996474838708
3481575.9390647085,-4349175.584259222,-853505.7084714967,16135.05356518448,0.0,-1959.5268774193544,-81.58996474838708
3493835.0329487273,-4375494.856890544,-867500.9207320624,16200.020051922631,0.0,-1959.5268774193544,-81.58996474838708
3506340.844281346,-4394256.614844743,-873693.1875331133,16263.699872451958,0.0,-1959.5268774193544,-81.58996474838708
3534123.535652137,-4396393.356503374,-847984.8191656223,16326.118527782124,0.0,-1959.5268774193544,-81.58996474838708
3544013.9843467274,-4414502.866415018,-856142.6979033584,16387.301007099923,0.0,-1959.5268774193544,-81.58996474838708
3554545.616865449,-4432277.50043189,-863325.7286083472,16447.271800260714,0.0,-1959.5268774193544,-81.58996474838708
3565587.289802868,-4441755.294150441,-861703.0662805247,16506.054909216222,0.0,-1959.5268774193544,-81.58996474838708
3577045.0690575726,-4457623.6006738,-866055.9745997126,16563.67385868266,0.0,-1959.5268774193544,-81.58996474838708
3588877.2937014103,-4473923.20292595,-870466.8743604585,16620.151706249104,0.0,-1959.5268774193544,-81.58996474838708
3601031.747582082,-4495024.628444171,-879358.4866521982,16675.511052057904,0.0,-1959.5268774193544,-81.58996474838708
3613466.094344715,-4507557.569736372,-879402.8181856796,16729.774048144605,0.0,-1959.5268774193544,-81.58996474838708
3626158.640572541,-4537710.4125368865,-896809.9263990176,16782.96240749567,0.0,-1959.5268774193544,-81.58996474838708
3639092.0258746464,-4554373.481723122,-900487.4752777807,16835.097412863284,0.0,-1959.5268774193544,-81.58996474838708
3667404.461430613,-4552041.186489372,-869791.6419755617,16886.199925364075,0.0,-1959.5268774193544,-81.58996474838708
3677651.552045692,-4568764.63605871,-876001.3514183961,17182.524976341167,0.0,-1988.0161907960535,-82.77619092415244
3688513.4086769023,-4585649.6067287,-881974.6531554019,17232.33727811542,0.0,-1988.0161907960535,-82.77619092415244
3699897.4426229424,-4599359.209398942,-884251.3960710218,17281.163086697426,0.0,-1988.0161907960535,-82.77619092415244
3711695.5494422317,-4613797.172502845,-886843.3935034807,17329.021938852205,0.0,-1988.0161907960535,-82.77619092415244
3723829.3691952927,-4627894.339326543,-888759.8295285532,17375.932984416846,0.0,-1988.0161907960535,-82.77619092415244
3736246.189432638,-4645294.070273401,-893696.7582285138,17421.914993969487,0.0,-1988.0161907960535,-82.77619092415244
3748901.787532187,-4660951.863953817,-896653.8824370053,17466.986366344267,0.0,-1988.0161907960535,-82.77619092415244
3761750.0344157345,-4670990.872799685,-893800.4656296751,17511.165135996052,0.0,-1988.0161907960535,-82.77619092415244
3774752.6759423325,-4685674.246945891,-895437.8944050601,17554.468980218433,0.0,-1988.0161907960535,-82.77619092415244
3803080.002864962,-4682441.681347015,-863835.5556375559,17596.915226218116,0.0,-1988.0161907960535,-82.77619092415244
3813248.5504919095,-4697210.477310407,-868617.2920459218,17385.751614743476,0.0,-1959.5268774193548,-81.5899647483871
3823963.967911321,-4711760.437603497,-872411.6376768679,17425.94885747561,0.0,-1959.5268774193548,-81.5899647483871
3835117.803598767,-4725975.732958696,-875433.6961763331,17465.350025763782,0.0,-1959.5268774193548,-81.5899647483871
3846627.5525772246,-4740924.902365536,-878834.4957452491,17503.970885230327,0.0,-1959.5268774193548,-81.5899647483871
3858428.7563025514,-4752442.4450634075,-878512.9787137515,17541.82688927169,0.0,-1959.5268774193548,-81.5899647483871
3870459.284228262,-4766135.793514926,-880138.6929435902,17578.93318524195,0.0,-1959.5268774193548,-81.5899647483871
3882696.543622225,-4777539.62515127,-879268.8937506994,17615.304620513743,0.0,-1959.5268774193548,-81.5899647483871
3895061.3308078144,-4784765.453870964,-874094.2841568984,17650.955748419256,0.0,-1959.5268774193548,-81.5899647483871
3907515.5055722413,-4796678.038528406,-873517.7489642592,17685.900834073414,0.0,-1959.5268774193548,-81.5899647483871
3935345.807449459,-4790151.881442703,-839127.0369753297,17720.15386008188,0.0,-1959.5268774193548,-81.5899647483871
