Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-512439.45670398505,331.1514232308234,0.0,-12085.817717647056,-503.2242491294117
1606482.2789892564,-2112336.1832102737,-512746.26216298644,5696.684024807647,0.0,-12085.817717647056,-503.2242491294117
1617333.0696080052,-2127450.148186882,-515233.94809153146,7472.172454121759,0.0,-12085.817717647056,-503.2242491294117
1628126.27130303,-2142533.651920808,-518151.4402364761,8844.982348078644,0.0,-12085.817717647056,-503.2242491294117
1638847.0779621457,-2157405.8360304483,-521197.34012244677,9950.459912632432,0.0,-12085.817717647056,-503.2242491294117
1649487.7128556406,-2172224.09227385,-524448.2940455793,10877.127339406665,0.0,-12085.817717647056,-503.2242491294117
1660035.8722198664,-2186853.5155790495,-527723.7762053007,11682.909120658722,0.0,-12085.817717647056,-503.2242491294117
1670481.2589194207,-2200460.441727845,-530162.4899904784,12405.734784722452,0.0,-12085.817717647056,-503.2242491294117
1680816.6558127305,-2212473.815667133,-531175.7347857527,13070.467035426293,0.0,-12085.817717647056,-503.2242491294117
1821108.1285048416,-2064553.5919087292,-242341.0765578753,13693.428812788889,0.0,-12085.817717647056,-503.2242491294117
1801471.0575782014,-2079602.15026322,-276349.95725404855,14999.629496085327,0.0,-12690.108603529416,-528.3854615858826
1786560.8190033594,-2094047.1710949687,-305108.82078246935,15596.025374255207,0.0,-12690.108603529416,-528.3854615858826
1775409.0118017055,-2107792.4637682554,-329429.715774167,16172.230257498253,0.0,-12690.108603529416,-528.3854615858826
1767280.3769460723,-2122061.6243140246,-351268.1931864318,16731.548246635542,0.0,-12690.108603529416,-528.3854615858826
1761602.2232337547,-2134852.4298901963,-369192.4892450383,17276.21147651866,0.0,-12690.108603529416,-528.3854615858826
1757924.634796516,-2147343.3434420405,-384829.45252815547,17807.75018248413,0.0,-12690.108603529416,-528.3854615858826
1755894.9982615015,-2160821.684402326,-399817.9456657025,18327.234540237256,0.0,-12690.108603529416,-528.3854615858826
1755233.7254227581,-2173187.9851225778,-412337.32104639476,18835.43271854017,0.0,-12690.108603529416,-528.3854615858826
1755706.4362889295,-2185644.6714951256,-423823.81508873485,19332.914182576395,0.0,-12690.108603529416,-528.3854615858826
1887585.7844018412,-2030592.5180442936,-136405.11048545197,19820.11722211569,0.0,-12690.108603529416,-528.3854615858826
1859215.7040431683,-2045597.8694500844,-179303.26636934793,20297.39310268347,0.0,-12690.108603529412,-528.3854615858824
1836703.777410671,-2061193.7333764667,-216943.41508985136,20765.034941059595,0.0,-12690.108603529412,-528.3854615858824
1818874.6911733095,-2076069.2140000933,-249189.72029316277,21223.296598736422,0.0,-12690.108603529412,-528.3854615858824
1804838.9158113145,-2090249.7901857607,-276956.9633872177,21672.405052343915,0.0,-12690.108603529412,-528.3854615858824
1793902.905827984,-2103515.1531254444,-300718.172861317,22112.568501258862,0.0,-12690.108603529412,-528.3854615858824
1785526.780846338,-2116552.9637998575,-321700.6953293413,22543.981689293385,0.0,-12690.108603529412,-528.3854615858824
1779287.8990718375,-2130091.177477256,-341054.94306501874,22966.829405514836,0.0,-12690.108603529412,-528.3854615858824
1774848.0249520657,-2143203.185200842,-358192.36551909486,23381.288794796765,0.0,-12690.108603529412,-528.3854615858824
1771929.2620635487,-2155811.259301762,-373312.96041316784,23787.530890160873,0.0,-12690.108603529412,-528.3854615858824
1899034.219154653,-2004605.1438496632,-94603.69712395592,24185.721636169717,0.0,-12690.108603529412,-528.3854615858824
1868950.0261599456,-2017970.4981605473,-137662.9434863966,24576.022579320423,0.0,-12690.108603529416,-528.3854615858826
1844630.1528224484,-2031067.6128704334,-174697.36277268146,24958.591340418665,0.0,-12690.108603529416,-528.3854615858826
1824992.5275594355,-2044787.7692993286,-207680.15386093632,25333.58194407203,0.0,-12690.108603529416,-528.3854615858826
1809204.109847508,-2057965.364325832,-236278.6034890308,25701.145054408644,0.0,-12690.108603529416,-528.3854615858826
1796613.7294176368,-2070818.7226537224,-261362.0591520841,26061.42814911673,0.0,-12690.108603529416,-528.3854615858826
1786702.896902585,-2083265.94807886,-283366.96958860557,26414.575652784937,0.0,-12690.108603529416,-528.3854615858826
1779036.4063547016,-2096093.5164485956,-303514.87511574914,26760.729043260242,0.0,-12690.108603529416,-528.3854615858826
1773260.5807554352,-2108329.43514194,-321187.32151162636,27100.026939993946,0.0,-12690.108603529416,-528.3854615858826
1769101.1290472671,-2119906.566692727,-336591.32653033006,27432.605180245,0.0,-12690.108603529416,-528.3854615858826
1896192.2789932855,-1972979.7302591193,-62247.34844396606,27758.59688698302,0.0,-12690.108603529416,-528.3854615858826
1865473.1797192022,-1985457.8100868056,-105124.99190170938,28078.13253100908,0.0,-12690.108603529412,-528.3854615858824
1840435.2207219494,-1997145.2214057539,-141537.15475997323,28391.339988946584,0.0,-12690.108603529412,-528.3854615858824
1820037.7183816356,-2009394.2756019684,-173876.70668725893,28698.34459818911,0.0,-12690.108603529412,-528.3854615858824
