Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1118746.5296350257,0.0,181123.57309803914,-0.0,-0.0
9897743.618604522,-11237177.673819216,-1158310.4821166545,0.0,181123.57309803914,-0.0,-0.0
9901749.9548598,-11289943.725949802,-1207070.1979919625,0.0,181123.57309803914,-0.0,-0.0
9907803.966104822,-11349110.091028057,-1260182.5518251956,0.0,181123.57309803914,-0.0,-0.0
9915706.83165701,-11406658.395118712,-1309827.990363663,0.0,181123.57309803914,-0.0,-0.0
9925279.415448545,-11461688.43595501,-1355285.447408426,0.0,181123.57309803914,-0.0,-0.0
9936358.70522462,-11513569.021813238,-1396086.7434905772,0.0,181123.57309803914,-0.0,-0.0
9948791.255281938,-11535565.425050225,-1405650.5966702485,0.0,181123.57309803914,-0.0,-0.0
9962431.264975563,-11561563.010719867,-1418008.1726462673,0.0,181123.57309803914,-0.0,-0.0
10120824.093817824,-11462242.749896567,-1160295.0829807045,0.0,181123.57309803914,-0.0,-0.0
10105401.082017515,-11516783.734298946,-1221202.9005284903,0.0,190179.75175294114,-0.0,-0.0
10096010.74116292,-11550657.725434544,-1264467.2325186825,0.0,190179.75175294114,-0.0,-0.0
10091482.923348358,-11593487.239684785,-1311824.5645834848,0.0,190179.75175294114,-0.0,-0.0
10090947.075828705,-11642628.654905556,-1361501.827323908,0.0,190179.75175294114,-0.0,-0.0
10093743.81548397,-11691853.64445897,-1407930.0772220585,0.0,190179.75175294114,-0.0,-0.0
10099338.856738077,-11739729.484149143,-1450210.8756581254,0.0,190179.75175294114,-0.0,-0.0
10107292.326052435,-11782683.83905311,-1485211.7612477331,0.0,190179.75175294114,-0.0,-0.0
10117268.835241025,-11791130.268158093,-1483681.6811641257,0.0,190179.75175294114,-0.0,-0.0
10128900.648663055,-11802612.37249649,-1483531.9720804929,0.0,190179.75175294114,-0.0,-0.0
10289605.145314327,-11682579.622163322,-1202794.7250960546,0.0,190179.75175294114,-0.0,-0.0
10271184.034077687,-11724886.815245165,-1263523.0294145364,0.0,190179.75175294135,-0.0,-0.0
10259227.580362666,-11748810.151805123,-1299402.8196895146,0.0,190179.75175294135,-0.0,-0.0
10252430.264668062,-11778442.516528312,-1335832.5001073093,0.0,190179.75175294135,-0.0,-0.0
10249824.430610038,-11815725.93231855,-1375721.7499555687,0.0,190179.75175294135,-0.0,-0.0
10250670.698185377,-11856482.448952928,-1415631.999014611,0.0,190179.75175294135,-0.0,-0.0
10254398.97224648,-11898387.932607172,-1453809.208607752,0.0,190179.75175294135,-0.0,-0.0
10260570.914076116,-11937733.661560675,-1486982.9957316176,0.0,190179.75175294135,-0.0,-0.0
10268849.642086616,-11945543.033466658,-1486513.6396271004,0.0,190179.75175294135,-0.0,-0.0
10278858.54947147,-11952017.879807249,-1482979.5785828363,0.0,190179.75175294135,-0.0,-0.0
10435914.71476107,-11845757.87339117,-1219663.406877157,0.0,190179.75175294135,-0.0,-0.0
10418125.76671725,-11885103.307321092,-1276797.7888509028,0.0,190179.7517529412,-0.0,-0.0
10406289.656499667,-11908423.546778023,-1311954.138525416,0.0,190179.7517529412,-0.0,-0.0
10399261.386603834,-11933717.678985724,-1344276.5406289496,0.0,190179.7517529412,-0.0,-0.0
10396170.408564918,-11965880.753880944,-1379530.5935630857,0.0,190179.7517529412,-0.0,-0.0
10396348.101095619,-12000580.849572912,-1414052.996724352,0.0,190179.7517529412,-0.0,-0.0
10399266.829253778,-12035878.546359714,-1446431.965352996,0.0,190179.7517529412,-0.0,-0.0
10404501.04444892,-12068030.077842977,-1473349.2816411164,0.0,190179.7517529412,-0.0,-0.0
10411735.35677134,-12064421.339535229,-1462506.2310109478,0.0,190179.7517529412,-0.0,-0.0
10420546.765376978,-12062586.516248668,-1451859.9991187493,0.0,190179.7517529412,-0.0,-0.0
10567447.044592293,-11944264.399863722,-1186637.6035184872,0.0,190179.7517529412,-0.0,-0.0
10548246.58675906,-11981068.984913051,-1242642.6464010496,0.0,190179.75175294114,-0.0,-0.0
10535279.547488293,-12000556.134889614,-1275096.8356483798,0.0,190179.75175294114,-0.0,-0.0
10527312.318706842,-12021205.128287949,-1303713.0578281647,0.0,190179.75175294114,-0.0,-0.0
10523404.007947464,-12051817.791529674,-1338234.031829269,0.0,190179.75175294114,-0.0,-0.0
10522851.17772814,-12085794.529030781,-1372763.599549699,0.0,190179.75175294114,-0.0,-0.0
10525106.874134839,-12118229.016111143,-1402942.3902233634,0.0,190179.75175294114,-0.0,-0.0
