Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180829467.06841955,0.0
59214105.14779269,121980662.11750358,181194767.26529628,0.0
59706955.23803828,121866410.32846436,181573365.56650266,0.0
60200470.18760126,121765978.86751682,181966449.05511808,0.0
60694400.871976286,121678671.33681317,182373072.20878944,0.0
61188276.26404601,121603816.58669974,182792092.85074577,0.0
61681486.79111259,121540754.3277937,183222241.1189063,0.0
62165971.42669781,121489026.28396346,183654997.71066126,0.0
62643097.44011036,121448027.11029936,184091124.55040973,0.0
58651484.79833448,123574951.68738721,182226436.4857217,0.0
59136284.037001036,123263696.20739356,182399980.2443946,0.0
59616458.12604208,122992381.10927513,182608839.23531723,0.0
60095135.57646607,122755655.95146157,182850791.52792764,0.0
60574340.67217166,122549350.76561308,183123691.43778473,0.0
61054288.681581125,122370064.22175428,183424352.90333542,0.0
61534805.54424402,122214999.05692701,183749804.60117105,0.0
62014762.290639564,122081766.30998455,184096528.6006241,0.0
62484582.49106697,121968730.7259353,184453313.21700227,0.0
62945663.127659306,121873727.09617443,184819390.22383374,0.0
58412250.94501517,124195357.0826923,182607608.02770746,0.0
58872629.51187314,123817888.83297847,182690518.3448516,0.0
59328332.984678544,123486792.14778802,182815125.13246655,0.0
59781456.504081056,123196007.37407514,182977463.87815621,0.0
60234449.90843282,122940701.52556933,183175151.43400216,0.0
60688401.47573389,122716918.23454098,183405319.71027488,0.0
61143783.76910243,122521371.13011143,183665154.89921388,0.0
61599975.43534354,122351351.26295887,183951326.69830242,0.0
62048424.46066121,122204874.95383947,184253299.41450068,0.0
62489502.220857725,122079534.31088655,184569036.53174427,0.0
58025588.23784003,124313150.38933879,182338738.62717882,0.0
58470356.903384775,123915859.2292911,182386216.13267586,0.0
58913585.07987868,123567700.86484413,182481285.9447228,0.0
59355826.785245106,123262279.26892558,182618106.0541707,0.0
59799188.18851568,122994489.121252,182793677.3097677,0.0
