Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-400609.73583132646,0.0,899260.3669017385,-0.0,-0.0
9897743.618604522,-11237177.673819216,-440173.6883129553,0.0,899260.3669017385,-0.0,-0.0
9901749.9548598,-11289943.725949802,-488933.40418826335,0.0,899260.3669017385,-0.0,-0.0
9907803.966104822,-11349110.091028057,-542045.7580214961,0.0,899260.3669017385,-0.0,-0.0
9915706.83165701,-11406658.395118712,-591691.1965599639,0.0,899260.3669017385,-0.0,-0.0
9925279.415448545,-11461688.43595501,-637148.6536047269,0.0,899260.3669017385,-0.0,-0.0
9936358.70522462,-11513569.021813238,-677949.9496868778,0.0,899260.3669017385,-0.0,-0.0
9948791.255281938,-11535565.425050225,-687513.8028665493,0.0,899260.3669017385,-0.0,-0.0
9962431.264975563,-11561563.010719867,-699871.3788425679,0.0,899260.3669017385,-0.0,-0.0
10584819.93892468,-11022127.60635165,461952.69947476784,0.0,899260.3669017385,-0.0,-0.0
10472574.653850473,-11085443.498160126,-303839.9881191333,0.0,309028.8561905186,-0.0,-0.0
10381670.861333953,-11126999.632002054,-436299.9144775816,0.0,309028.8561905186,-0.0,-0.0
10307980.560185313,-11176998.440524053,-559989.0241482224,0.0,309028.8561905186,-0.0,-0.0
10248334.30064187,-11232912.423749939,-675549.2669175495,0.0,309028.8561905186,-0.0,-0.0
10200276.013340425,-11288693.194343932,-779388.3248129889,0.0,309028.8561905186,-0.0,-0.0
10161876.701179374,-11343045.319079267,-872139.7617093745,0.0,309028.8561905186,-0.0,-0.0
10131588.215368954,-11392435.124973569,-951818.0534140974,0.0,309028.8561905186,-0.0,-0.0
10108170.673919188,-11407126.16981159,-989926.6397018834,0.0,309028.8561905186,-0.0,-0.0
10090546.550447403,-11424775.408909248,-1025200.0022713271,0.0,309028.8561905186,-0.0,-0.0
10289526.150619626,-11255857.67432528,-657302.6675151349,0.0,309028.8561905186,-0.0,-0.0
10235745.615164569,-11303854.094506672,-805419.2563056748,0.0,262689.2230364286,-0.0,-0.0
10192961.69663311,-11333554.552781941,-877903.6331124015,0.0,262689.2230364286,-0.0,-0.0
10159212.555165837,-11369230.308936713,-947328.5307344471,0.0,262689.2230364286,-0.0,-0.0
10132977.294792486,-11412779.892307859,-1017113.3744789436,0.0,262689.2230364286,-0.0,-0.0
10113059.65110254,-11459949.946454687,-1084201.0723157194,0.0,262689.2230364286,-0.0,-0.0
10098515.98889326,-11508395.479297657,-1147190.2673679688,0.0,262689.2230364286,-0.0,-0.0
10088592.717477892,-11554389.737766234,-1203107.7972519142,0.0,262689.2230364286,-0.0,-0.0
10082683.838517731,-11568560.528823161,-1223187.467269003,0.0,262689.2230364286,-0.0,-0.0
10080197.57499005,-11581528.904983593,-1238642.106957115,0.0,262689.2230364286,-0.0,-0.0
10255295.800209438,-11437573.178060435,-919588.1548145683,0.0,262689.2230364286,-0.0,-0.0
10219551.495522162,-11487172.791247498,-861171.1755960621,0.0,406450.1201292739,-0.0,-0.0
10192621.482902713,-11520276.261299193,-921204.6582672051,0.0,406450.1201292739,-0.0,-0.0
10172878.516890433,-11555061.008389167,-975732.3713694601,0.0,406450.1201292739,-0.0,-0.0
10159035.58790209,-11596211.623506008,-1030725.9154746446,0.0,406450.1201292739,-0.0,-0.0
10150114.991909206,-11639704.805351648,-1083139.6933131695,0.0,406450.1201292739,-0.0,-0.0
10145351.105171805,-11683626.715609113,-1131825.4903080326,0.0,406450.1201292739,-0.0,-0.0
10144123.7365218,-11724298.486394506,-1173724.6297434315,0.0,406450.1201292739,-0.0,-0.0
10145905.439811638,-11724530.514457902,-1172174.9545169917,0.0,406450.1201292739,-0.0,-0.0
10150157.000659512,-11731049.697467117,-1174442.5766783305,0.0,406450.1201292739,-0.0,-0.0
