Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-665937.9441448293,0.0,633932.1585882356,-0.0,-0.0
9897743.618604522,-11237177.673819216,-705501.8966264582,0.0,633932.1585882356,-0.0,-0.0
9901749.9548598,-11289943.725949802,-754261.6125017662,0.0,633932.1585882356,-0.0,-0.0
9907803.966104822,-11349110.091028057,-807373.966334999,0.0,633932.1585882356,-0.0,-0.0
9915706.83165701,-11406658.395118712,-857019.4048734667,0.0,633932.1585882356,-0.0,-0.0
9925279.415448545,-11461688.43595501,-902476.8619182297,0.0,633932.1585882356,-0.0,-0.0
9936358.70522462,-11513569.021813238,-943278.1580003806,0.0,633932.1585882356,-0.0,-0.0
9948791.255281938,-11535565.425050225,-952842.0111800522,0.0,633932.1585882356,-0.0,-0.0
9962431.264975563,-11561563.010719867,-965199.5871560707,0.0,633932.1585882356,-0.0,-0.0
10394080.78826735,-11220562.19330809,-192549.2464525064,0.0,633932.1585882356,-0.0,-0.0
10323838.519253496,-11276834.629302794,-350760.5593904747,0.0,602235.5506588242,-0.0,-0.0
10267947.440454677,-11312248.67745558,-442065.6863420793,0.0,602235.5506588242,-0.0,-0.0
10223671.463754937,-11356802.858720206,-530895.844306444,0.0,602235.5506588242,-0.0,-0.0
10188940.11500867,-11407927.330627175,-616751.6649596796,0.0,602235.5506588242,-0.0,-0.0
10162138.078913761,-11459340.284404898,-694966.6548323121,0.0,602235.5506588242,-0.0,-0.0
10141976.29514848,-11509555.283974227,-765343.4381669217,0.0,602235.5506588242,-0.0,-0.0
10127414.223800488,-11554992.359899325,-825342.5854400138,0.0,602235.5506588242,-0.0,-0.0
10117624.983488113,-11565875.835936414,-846015.3017894761,0.0,602235.5506588242,-0.0,-0.0
10111848.171600197,-11579838.019462645,-865754.2972036246,0.0,602235.5506588242,-0.0,-0.0
10514905.294157645,-11242188.123152206,-125047.27833573811,0.0,602235.5506588242,-0.0,-0.0
10432688.737059375,-11286602.708710076,-251678.4209918764,0.0,602235.5506588242,-0.0,-0.0
10365843.799419204,-11313292.145754848,-345212.7956768201,0.0,602235.5506588242,-0.0,-0.0
10311552.015843026,-11346056.385668792,-432268.8191669431,0.0,602235.5506588242,-0.0,-0.0
10267643.421967413,-11387086.555943782,-517207.5833175455,0.0,602235.5506588242,-0.0,-0.0
10232409.748609126,-11432064.151802935,-597418.8525349856,0.0,602235.5506588242,-0.0,-0.0
10204498.257828644,-11478525.435467405,-671791.6269799387,0.0,602235.5506588242,-0.0,-0.0
10182833.787809925,-11522762.078537146,-737692.740068397,0.0,602235.5506588242,-0.0,-0.0
10166559.351187797,-11535668.085932834,-766873.1840862129,0.0,602235.5506588242,-0.0,-0.0
10154871.185525246,-11547366.56243804,-790259.8262539678,0.0,602235.5506588242,-0.0,-0.0
10548483.559522912,-11205181.786103066,-54462.6759213293,0.0,602235.5506588242,-0.0,-0.0
10461630.220141048,-11254348.296252059,-190482.52545218728,0.0,602235.550658824,-0.0,-0.0
10390746.391927931,-11288050.374182109,-295068.43159535306,0.0,602235.550658824,-0.0,-0.0
10332938.250229046,-11322814.506358817,-387640.70547094813,0.0,602235.550658824,-0.0,-0.0
