Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180829467.06841955,0.0
59214105.14779269,121980662.11750358,181194767.26529628,0.0
59706955.23803828,121866410.32846436,181573365.56650266,0.0
60200470.18760126,121765978.86751682,181966449.05511808,0.0
60694400.871976286,121678671.33681317,182373072.20878944,0.0
61188276.26404601,121603816.58669974,182792092.85074577,0.0
61681486.79111259,121540754.3277937,183222241.1189063,0.0
62165971.42669781,121489026.28396346,183654997.71066126,0.0
62643097.44011036,121448027.11029936,184091124.55040973,0.0
58966467.81525197,123385509.32325259,182351977.13850456,0.0
59452198.569057606,123102472.84065284,182554671.40971047,0.0
59933299.80504711,122856248.41897392,182789548.22402105,0.0
60412854.41821421,122641922.4687834,183054776.8869976,0.0
60892880.23005606,122455778.17910118,183348658.40915725,0.0
61373612.104090445,122294782.23247378,183668394.3365642,0.0
61854872.492562205,122156388.49857597,184011260.99113816,0.0
62335533.33866542,122038409.99093942,184373943.32960483,0.0
62805989.664975874,121939324.96269928,184745314.62767515,0.0
63267583.82075536,121857195.00084646,185124778.8216018,0.0
59704968.67216683,123676193.62580705,183381162.2979739,0.0
60171194.06317168,123374966.84072901,183546160.90390068,0.0
60633194.76804993,123113226.28700842,183746421.05505836,0.0
61092696.09831591,122885862.28058483,183978558.37890074,0.0
61551988.12302162,122688860.10545406,184240848.22847566,0.0
62012207.01771071,122518874.34615408,184531081.36386478,0.0
62473774.5184693,122373137.40942995,184846911.92789924,0.0
62936023.775848776,122249379.889751,185185403.6655998,0.0
63390152.09185914,122145982.01048847,185536134.1023476,0.0
63836171.94509295,122060860.63779294,185897032.5828859,0.0
60232176.15602649,123885656.87460372,184117833.0306302,0.0
60683929.61831078,123583810.32638836,184267739.94469914,0.0
61133988.24718848,123322728.695518,184456716.94270647,0.0
61582772.23395834,123097159.93594979,184679932.16990814,0.0
62032125.50915879,122902941.72418715,184935067.23334593,0.0
