Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-394252.7333212985,0.0,905617.3694117664,-0.0,-0.0
9897743.618604522,-11237177.673819216,-433816.68580292736,0.0,905617.3694117664,-0.0,-0.0
9901749.9548598,-11289943.725949802,-482576.4016782354,0.0,905617.3694117664,-0.0,-0.0
9907803.966104822,-11349110.091028057,-535688.7555114682,0.0,905617.3694117664,-0.0,-0.0
9915706.83165701,-11406658.395118712,-585334.1940499359,0.0,905617.3694117664,-0.0,-0.0
9925279.415448545,-11461688.43595501,-630791.6510946989,0.0,905617.3694117664,-0.0,-0.0
9936358.70522462,-11513569.021813238,-671592.9471768498,0.0,905617.3694117664,-0.0,-0.0
9948791.255281938,-11535565.425050225,-681156.8003565214,0.0,905617.3694117664,-0.0,-0.0
9962431.264975563,-11561563.010719867,-693514.37633254,0.0,905617.3694117664,-0.0,-0.0
10555096.506213477,-11015500.416414287,445213.4592109564,0.0,905617.3694117664,-0.0,-0.0
10445314.779005252,-11087556.376105212,218094.9038412174,0.0,860336.5009411781,-0.0,-0.0
10357279.80433052,-11137273.516937006,80342.78833469201,0.0,860336.5009411781,-0.0,-0.0
10286700.458847564,-11194285.737989945,-47248.77820120368,0.0,860336.5009411781,-0.0,-0.0
10230248.181227367,-11256009.976533936,-165425.2943653894,0.0,860336.5009411781,-0.0,-0.0
10185386.078157455,-11316923.884322135,-271201.3052235006,0.0,860336.5009411781,-0.0,-0.0
10150149.461095778,-11376008.744491195,-365522.78245424037,0.0,860336.5009411781,-0.0,-0.0
10122966.3009211,-11429813.707667943,-446510.90580566716,0.0,860336.5009411781,-0.0,-0.0
10102574.866498511,-11448920.463781727,-486009.0963420379,0.0,860336.5009411781,-0.0,-0.0
10087898.292897008,-11470409.82242427,-522175.0285860838,0.0,860336.5009411781,-0.0,-0.0
10610603.454770096,-10930398.77477669,540541.1809345833,0.0,860336.5009411781,-0.0,-0.0
10485808.039593546,-11007339.836521488,338804.7040132356,0.0,860336.5009411776,-0.0,-0.0
10385075.301967008,-11063630.039665142,181781.7632430432,0.0,860336.5009411776,-0.0,-0.0
10303703.342517637,-11121705.377748443,42334.465710371034,0.0,860336.5009411776,-0.0,-0.0
10238059.156423608,-11184783.115882695,-86387.458517908,0.0,860336.5009411776,-0.0,-0.0
10185359.375549538,-11249898.152503887,-204202.2760131713,0.0,860336.5009411776,-0.0,-0.0
10143450.862890935,-11315056.984613054,-311269.62078094226,0.0,860336.5009411776,-0.0,-0.0
10110627.58168224,-11376948.302338913,-405984.2197154951,0.0,860336.5009411776,-0.0,-0.0
10085521.457164302,-11407929.107469395,-462071.14936391404,0.0,860336.5009411776,-0.0,-0.0
10066946.566325977,-11436083.269630468,-508800.2023633113,0.0,860336.5009411776,-0.0,-0.0
10592178.108097184,-10828243.453634825,624271.1554035377,0.0,860336.5009411776,-0.0,-0.0
10456784.10395986,-10928498.778693905,388621.8262071331,0.0,860336.5009411776,-0.0,-0.0
10348593.859463044,-11010929.016181929,198001.34422229126,0.0,860336.5009411776,-0.0,-0.0
10262115.50076523,-11086660.880571853,35791.12113455543,0.0,860336.5009411776,-0.0,-0.0
10193177.232235117,-11163786.661203768,-110272.92802747374,0.0,860336.5009411776,-0.0,-0.0
10138607.204512134,-11240145.118438432,-241201.4129851195,0.0,860336.5009411776,-0.0,-0.0
10095961.333980296,-11314809.003800916,-358511.1688794419,0.0,860336.5009411776,-0.0,-0.0
10063287.805878432,-11384845.016746199,-461220.7099265889,0.0,860336.5009411776,-0.0,-0.0
10038978.779289663,-11414449.957273457,-515134.6770426163,0.0,860336.5009411776,-0.0,-0.0
10021637.658735126,-11449533.797096387,-567559.6374200815,0.0,860336.5009411776,-0.0,-0.0
10612888.130153092,-10887973.5994813,585251.0316129692,0.0,860336.5009411776,-0.0,-0.0
10477652.454786386,-10963503.771684144,374485.18404342,0.0,860336.5009411777,-0.0,-0.0
10367839.766165823,-11027262.41271232,200913.85439467966,0.0,860336.5009411777,-0.0,-0.0
10278648.668558322,-11087360.26103466,51624.90846483898,0.0,860336.5009411777,-0.0,-0.0
10206365.825290587,-11154076.019889524,-87373.69365776086,0.0,860336.5009411777,-0.0,-0.0
10148089.675524702,-11220415.627589008,-211989.4511231276,0.0,860336.5009411777,-0.0,-0.0
10101533.253121333,-11283773.369294101,-321903.61523158976,0.0,860336.5009411777,-0.0,-0.0
10064880.220238697,-11344672.776471457,-419456.05529158225,0.0,860336.5009411777,-0.0,-0.0
10036640.125294467,-11373013.95461367,-476037.32837802416,0.0,860336.5009411777,-0.0,-0.0
10015513.769363416,-11404737.090582427,-528886.8202778337,0.0,860336.5009411777,-0.0,-0.0
10589942.240356518,-10813050.502908112,637228.2383895837,0.0,860336.5009411777,-0.0,-0.0
10450229.034951309,-10890014.409636946,420551.126255539,0.0,860336.5009411771,-0.0,-0.0
10337002.83591847,-10961445.938197978,235893.39866166946,0.0,860336.5009411771,-0.0,-0.0
10245299.48676859,-11023599.66873668,82036.31897308829,0.0,860336.5009411771,-0.0,-0.0
10171062.060305364,-11088309.813652165,-56911.25240562367,0.0,860336.5009411771,-0.0,-0.0
10111277.101199739,-11152001.4188351,-180387.81669418502,0.0,860336.5009411771,-0.0,-0.0
10063582.315023579,-11215656.061402608,-291737.2454378526,0.0,860336.5009411771,-0.0,-0.0
10026112.147783516,-11277950.378834456,-391501.73010976263,0.0,860336.5009411771,-0.0,-0.0
9997417.628143469,-11317720.480824836,-459966.3517401882,0.0,860336.5009411771,-0.0,-0.0
