period,oha,ohv,ogs,ocp,ocf
1,32751.355819740595,7302211.2,97992120.68870962,157191249.0857144,-1664664.8998067903
2,31361.671134879365,6937100.639999998,101546938.0963677,156663057.59875256,-1877060.782107042
3,34388.923610727594,6937100.639999997,105207843.32324289,156246933.95949134,-2053276.3203916552
4,34388.92361072758,6937100.640000006,108745348.9748919,156483205.6076903,-2179168.4351693317
5,34388.92361072761,6937100.64,112129618.92889309,157153234.24413547,-2234912.3858758057
6,34388.92361072761,6937100.640000001,115342166.99534637,158076041.55515152,-2216045.067915518
7,34388.92361072762,6937100.6400000015,118220661.57061116,158667445.8269938,-2169839.244858341
8,31891.616249463295,6937100.640000003,120301975.28939402,159025504.51080945,-2173678.4053677195
9,31113.788028753563,6937100.64,121615057.05560961,159615793.9402675,-2218985.8583218725
10,31113.78802875354,6937100.639999991,122774571.97956413,160272274.8677386,-2244484.2137827603
