Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,180829467.06841955,0.0
59214105.14779269,121980662.11750358,181194767.26529628,0.0
59706955.23803828,121866410.32846436,181573365.56650266,0.0
60200470.18760126,121765978.86751682,181966449.05511808,0.0
60694400.871976286,121678671.33681317,182373072.20878944,0.0
61188276.26404601,121603816.58669974,182792092.85074577,0.0
61681486.79111259,121540754.3277937,183222241.1189063,0.0
62165971.42669781,121489026.28396346,183654997.71066126,0.0
62643097.44011036,121448027.11029936,184091124.55040973,0.0
59078732.95548719,123296877.95760678,182375610.91309398,0.0
59564363.041370496,123028116.96032815,182592480.00169864,0.0
60045626.45192213,122794587.15989321,182840213.61181533,0.0
60525492.95965451,122591660.67136984,183117153.63102433,0.0
61005953.16221151,122415840.38409175,183421793.54630324,0.0
61487240.48658183,122264257.25683357,183751497.74341542,0.0
61969184.07658827,122134488.17667457,184103672.25326285,0.0
62450649.39164821,122024460.58884987,184475109.98049808,0.0
62922016.739123836,121932787.65640935,184854804.3955332,0.0
63384614.54086798,121857597.71890013,185242212.2597681,0.0
59808848.8159583,123682224.94209611,183491073.7580544,0.0
60275453.89907593,123386111.78727143,183661565.68634737,0.0
60738001.936621286,123129314.7425554,183867316.67917666,0.0
61198116.33493513,122906850.61908667,184104966.95402178,0.0
61658089.45937958,122714650.578151,184372740.03753057,0.0
62119068.07720074,122549282.9095607,184668350.98676145,0.0
62581482.40814712,122407996.83770177,184989479.2458489,0.0
63044687.14069924,122288523.17107426,185333210.31177348,0.0
63499904.65453561,122189244.35662726,185689149.01116285,0.0
63947147.14004886,122108148.60829037,186055295.74833924,0.0
60343856.738596015,123916100.6044593,184259957.3430553,0.0
60798183.89804432,123618578.5626141,184416762.4606584,0.0
61250881.43409458,123362132.63510759,184613014.06920215,0.0
61702320.228300646,123141365.92700578,184843686.15530643,0.0
62154343.29685664,122952027.27754618,185106370.57440284,0.0
