Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-484814.4702624767,0.0,815055.6324705882,-0.0,-0.0
9897743.618604522,-11237177.673819216,-524378.4227441056,0.0,815055.6324705882,-0.0,-0.0
9901749.9548598,-11289943.725949802,-573138.1386194136,0.0,815055.6324705882,-0.0,-0.0
9907803.966104822,-11349110.091028057,-626250.4924526464,0.0,815055.6324705882,-0.0,-0.0
9915706.83165701,-11406658.395118712,-675895.9309911141,0.0,815055.6324705882,-0.0,-0.0
9925279.415448545,-11461688.43595501,-721353.3880358771,0.0,815055.6324705882,-0.0,-0.0
9936358.70522462,-11513569.021813238,-762154.684118028,0.0,815055.6324705882,-0.0,-0.0
9948791.255281938,-11535565.425050225,-771718.5372976996,0.0,815055.6324705882,-0.0,-0.0
9962431.264975563,-11561563.010719867,-784076.1132737182,0.0,815055.6324705882,-0.0,-0.0
10483574.241601469,-11125968.734015666,172661.14005639136,0.0,815055.6324705882,-0.0,-0.0
10394149.229327254,-11189335.887544382,-20883.807370069553,0.0,774302.8508470589,-0.0,-0.0
10322387.285858514,-11230743.856286423,-134053.71958084952,0.0,774302.8508470589,-0.0,-0.0
10264879.482256837,-11280326.21935648,-241143.8862525822,0.0,774302.8508470589,-0.0,-0.0
10219050.972968873,-11336063.9956582,-342710.17184226797,0.0,774302.8508470589,-0.0,-0.0
10182893.56284053,-11391808.95225178,-434612.53856419283,0.0,774302.8508470589,-0.0,-0.0
10154810.873702744,-11446117.40981001,-517003.68526020786,0.0,774302.8508470589,-0.0,-0.0
10133519.785265308,-11495458.118461173,-587635.4823488076,0.0,774302.8508470589,-0.0,-0.0
10117995.255752083,-11510208.110880816,-617910.0042816759,0.0,774302.8508470589,-0.0,-0.0
10107330.921752308,-11527826.423946993,-646192.6513476267,0.0,774302.8508470589,-0.0,-0.0
10605619.580094317,-11062462.01181106,317460.4191303152,0.0,774302.8508470589,-0.0,-0.0
10495232.837883942,-11120369.908291388,149165.7804396114,0.0,774302.8508470586,-0.0,-0.0
10405335.526191607,-11159755.833232442,19882.543806224596,0.0,774302.8508470586,-0.0,-0.0
10332103.504668772,-11203487.845767537,-97081.49025170703,0.0,774302.8508470586,-0.0,-0.0
10272549.004147839,-11254383.643680073,-207531.7886851757,0.0,774302.8508470586,-0.0,-0.0
10224305.929158662,-11308212.743005153,-309603.96299943386,0.0,774302.8508470586,-0.0,-0.0
10185555.746785112,-11363026.030105762,-403167.43247359095,0.0,774302.8508470586,-0.0,-0.0
10154852.73749363,-11415199.979217162,-486044.390876474,0.0,774302.8508470586,-0.0,-0.0
10131034.952360068,-11436143.516787753,-530805.7135806262,0.0,774302.8508470586,-0.0,-0.0
10113070.780072099,-11455608.816385463,-568235.1854663043,0.0,774302.8508470586,-0.0,-0.0
10597994.52319308,-10989277.444619643,383019.9294204967,0.0,774302.8508470586,-0.0,-0.0
10482559.702061377,-11057511.799939426,199350.7529690127,0.0,774302.8508470596,-0.0,-0.0
10388543.050305668,-11108132.281632759,54713.61951996945,0.0,774302.8508470596,-0.0,-0.0
10311905.423240004,-11157703.072288975,-71494.79820191197,0.0,774302.8508470596,-0.0,-0.0
10249561.31726495,-11212737.520618405,-188873.35250639578,0.0,774302.8508470596,-0.0,-0.0
10199091.818652624,-11269318.50354584,-295923.83404615545,0.0,774302.8508470596,-0.0,-0.0
10158588.50912077,-11325799.106607068,-392907.746639238,0.0,774302.8508470596,-0.0,-0.0
10126516.828846708,-11378784.644046053,-477964.96435228526,0.0,774302.8508470596,-0.0,-0.0
10101593.383440366,-11391299.237944042,-515403.00365661713,0.0,774302.8508470596,-0.0,-0.0
10082670.569779076,-11410741.649250066,-553768.2286239301,0.0,774302.8508470596,-0.0,-0.0
10568071.889595155,-10940028.489506321,402346.25093589403,0.0,774302.8508470596,-0.0,-0.0
10451727.68016134,-11007634.4124355,218396.11857289867,0.0,774302.8508470595,-0.0,-0.0
10357043.747259092,-11060211.103144879,71135.49496127432,0.0,774302.8508470595,-0.0,-0.0
10279934.99303415,-11109984.084742703,-55746.24086149258,0.0,774302.8508470595,-0.0,-0.0
10217320.995016418,-11168437.14163284,-176813.29576936353,0.0,774302.8508470595,-0.0,-0.0
10166789.033374295,-11229348.116818579,-288256.23259722546,0.0,774302.8508470595,-0.0,-0.0
10126419.99441174,-11287595.305353852,-386872.4600950513,0.0,774302.8508470595,-0.0,-0.0
10094666.779616538,-11342502.692130828,-473533.06166722986,0.0,774302.8508470595,-0.0,-0.0
10070290.77633809,-11367530.7858946,-522937.15870945214,0.0,774302.8508470595,-0.0,-0.0
10052181.337999191,-11393129.862720164,-566645.6738739131,0.0,774302.8508470595,-0.0,-0.0
10540895.350218289,-10922563.854662867,392634.34640248126,0.0,774302.8508470595,-0.0,-0.0
10425364.93752718,-10993190.65122201,206477.13715222978,0.0,774302.8508470593,-0.0,-0.0
10331627.252596796,-11053430.718103414,52499.38534044102,0.0,774302.8508470593,-0.0,-0.0
10255577.965367218,-11107008.929247664,-77128.11303338537,0.0,774302.8508470593,-0.0,-0.0
10194111.117968166,-11164548.051431064,-196134.08261583815,0.0,774302.8508470593,-0.0,-0.0
10144778.279352246,-11223350.84243948,-304269.712240175,0.0,774302.8508470593,-0.0,-0.0
10105638.405325202,-11280376.61255484,-400435.3563825794,0.0,774302.8508470593,-0.0,-0.0
10075148.360878363,-11335565.292026553,-486114.0803011317,0.0,774302.8508470593,-0.0,-0.0
10052101.432930045,-11363634.71138911,-537230.4276120065,0.0,774302.8508470593,-0.0,-0.0
