period,oha,ohv,ogs
1,1216.067818423075,76607.6,6927123.137997209
2,1276.8712093442282,80437.98000000001,9491354.060058646
3,1155.264427501921,80437.98000000001,12369362.02215447
4,1276.8712093442284,80437.98,15381951.164025094
5,1276.8712093442298,80437.98000000004,18372813.627753537
6,1155.2644275019209,80437.98000000001,21219893.35844035
7,1155.264427501921,80437.98000000001,23840152.093020063
8,1160.0121282043087,80437.98000000001,26188891.93302111
9,1155.264427501921,80437.98000000003,28216715.845140006
10,1276.8712093442286,80437.98,29907050.98458253
