Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
8094828.273969131,20278840.917519808,28373669.19148894,0.0
8221261.451946511,20270706.538387917,28491967.990334425,0.0
8347344.934714385,20266569.39166519,28613914.32637958,0.0
8473036.268308947,20265928.21590765,28738964.484216593,0.0
8598521.081045525,20268386.771759503,28866907.852805026,0.0
8723497.400732351,20273617.090180732,28997114.490913086,0.0
8847957.694621142,20281339.604543354,29129297.299164496,0.0
8972214.569067162,20291332.73868965,29263547.30775681,0.0
9096002.829328334,20303411.29514616,29399414.124474492,0.0
9219414.053069275,20317406.905159928,29536820.958229203,0.0
8975109.84623544,20526869.444348127,29501979.290583566,0.0
9095224.108261716,20516733.199407447,29611957.307669163,0.0
9215234.875899088,20511176.537562728,29726411.413461816,0.0
9335052.534834256,20509630.70803265,29844683.242866904,0.0
9454613.173269626,20511634.414754353,29966247.58802398,0.0
9573760.94903952,20516804.359636582,30090565.308676105,0.0
9692482.567587908,20524826.475220833,30217309.04280874,0.0
9810981.865973935,20535444.579266995,30346426.44524093,0.0
9929160.871984802,20548437.778310504,30477598.650295306,0.0
10046931.131096046,20563616.220200524,30610547.35129657,0.0
9823545.029681047,20761041.709591024,30584586.739272073,0.0
9938039.273681644,20754776.369918477,30692815.64360012,0.0
10052010.949148808,20752957.279780835,30804968.228929643,0.0
10165695.437033711,20755056.971731793,30920752.408765502,0.0
10279009.254492238,20760643.997240245,31039653.251732484,0.0
10391845.414728822,20769359.852599755,31161205.26732858,0.0
10504102.125418253,20780898.458992478,31285000.58441073,0.0
10615953.65884487,20794996.480071183,31410950.138916053,0.0
10727312.917065702,20811427.66076161,31538740.577827312,0.0
10837986.488123324,20830000.46674184,31667986.954865165,0.0
10599999.237657027,21033716.226945564,31633715.464602593,0.0
10707658.007440627,21030412.64203826,31738070.649478883,0.0
10814650.746014899,21031544.95087221,31846195.696887106,0.0
10921184.636201369,21036585.23047652,31957769.866677888,0.0
11027088.904546062,21045103.16184429,32072192.06639035,0.0
11132448.763529858,21056731.765776668,32189180.529306527,0.0
11237193.526763119,21071163.29152063,32308356.818283748,0.0
11341359.244069349,21088129.80085419,32429489.04492354,0.0
11444917.448500741,21107391.753130376,32552309.201631118,0.0
11547701.917657759,21128743.554302394,32676445.471960153,0.0
11314971.796012867,21329957.272233248,32644929.068246115,0.0
11414688.27536143,21329176.11191866,32743864.38728009,0.0
11513751.904317487,21332785.61107818,32846537.515395667,0.0
11611996.029732365,21340260.206843205,32952256.236575574,0.0
11709524.18418717,21351177.369407486,33060701.553594656,0.0
11806521.357409306,21365202.954292975,33171724.31170228,0.0
11902899.105648443,21382037.763020292,33284936.868668735,0.0
11998653.873655764,21401407.693021253,33400061.56667702,0.0
12093799.882538179,21423074.593382604,33516874.47592078,0.0
12188255.04135835,21446830.03084215,33635085.0722005,0.0
11948606.616675388,21650870.50117339,33599477.11784878,0.0
12040100.28515662,21652711.721314866,33692812.006471485,0.0
12130846.584236812,21658846.514612082,33789693.098848894,0.0
12220825.55403837,21668739.60244753,33889565.1564859,0.0
12310100.935272278,21681959.30709331,33992060.24236559,0.0
12398784.106999928,21698167.01887917,34096951.1258791,0.0
12486895.438524477,21717059.156688727,34203954.595213205,0.0
12574161.587541632,21738371.994875014,34312533.582416646,0.0
12660772.541129028,21761874.9419148,34422647.48304383,0.0
12746595.056522613,21787354.939248133,34533949.995770745,0.0
12436662.274839533,22019084.420462675,34455746.69530221,0.0
12519685.637673354,22019411.0153427,34539096.65301605,0.0
12602079.188945834,22024258.41090439,34626337.59985022,0.0
12683504.47355983,22033027.74931227,34716532.2228721,0.0
12763988.628895218,22045238.747309737,34809227.37620495,0.0
12843899.175339459,22060505.29519652,34904404.47053598,0.0
12923191.026458131,22078512.759646263,35001703.786104396,0.0
13001778.743580298,22098983.941598322,35100762.68517862,0.0
13079677.222325841,22121691.40739503,35201368.629720874,0.0
13156675.731546333,22146408.16844752,35303083.89999385,0.0
12780069.179151475,22398933.245252598,35179002.42440408,0.0
12855664.814164266,22395993.404041015,35251658.21820528,0.0
12930513.97293271,22397941.9067107,35328455.87964341,0.0
13004812.208408214,22404109.943411868,35408922.15182008,0.0
13078069.858419873,22413961.740431223,35492031.5988511,0.0
13150542.67317837,22427064.961262394,35577607.634440765,0.0
13222434.928199299,22443060.106351502,35665495.0345508,0.0
13293445.38198343,22461631.188084036,35755076.570067465,0.0
13363612.119132547,22482508.732610397,35846120.851742946,0.0
13432930.608906703,22505465.720066894,35938396.3289736,0.0
13067221.86183396,22745190.210818887,35812412.07265285,0.0
13135599.403104743,22742728.35024032,35878327.75334506,0.0
13203427.3351103,22744948.32312637,35948375.65823667,0.0
13270639.993842429,22751226.05953047,36021866.0533729,0.0
13337085.430830987,22761062.17787076,36098147.60870175,0.0
13402986.975347323,22774039.095014393,36177026.07036172,0.0
13468360.890604155,22789818.232054934,36258179.12265909,0.0
13532851.976055497,22808086.678396616,36340938.65445211,0.0
13596604.998382274,22828588.893624797,36425193.892007075,0.0
13659610.63194869,22851112.267779693,36510722.89972838,0.0
13239732.231476367,23114084.7084442,36353816.93992057,0.0
