Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-454578.00859181193,0.0,45603.557568627446,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-460250.34665239014,0.0,45603.557568627446,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-464513.5210102493,0.0,45603.557568627446,-0.0,-0.0
1628126.27130303,-2142533.651920808,-468803.82304915076,0.0,45603.557568627446,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-472955.20049967524,0.0,45603.557568627446,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-477132.82184958196,0.0,45603.557568627446,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-481214.0857905555,0.0,45603.557568627446,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-484375.6252397969,0.0,45603.557568627446,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-486053.60228577506,0.0,45603.557568627446,-0.0,-0.0
1771797.2124068323,-2126155.180522802,-308754.4105473419,0.0,45603.557568627446,-0.0,-0.0
1763665.972598381,-2140489.4815396992,-328939.77349425934,0.0,47883.73544705883,-0.0,-0.0
1758397.4625141234,-2154135.535340464,-347854.3373792819,0.0,47883.73544705883,-0.0,-0.0
1755382.6735162116,-2167186.470941002,-363920.0619777319,0.0,47883.73544705883,-0.0,-0.0
1754162.2886789374,-2180617.9288291973,-378571.904703201,0.0,47883.73544705883,-0.0,-0.0
1754380.5421073597,-2192630.245336131,-390365.96778171265,0.0,47883.73544705883,-0.0,-0.0
1755758.5361343727,-2204321.204065077,-400678.9324836456,0.0,47883.73544705883,-0.0,-0.0
1758082.0308490298,-2216948.3096575253,-410982.5433614366,0.0,47883.73544705883,-0.0,-0.0
1761182.1248453595,-2228388.2202468505,-419322.3599544321,0.0,47883.73544705883,-0.0,-0.0
1764919.5449241837,-2239929.292937166,-427126.0125659235,0.0,47883.73544705883,-0.0,-0.0
1843651.7320903833,-2155478.6861007083,-263943.218563266,0.0,47883.73544705883,-0.0,-0.0
1831016.6121029975,-2168485.6125208,-289585.2649707438,0.0,47883.73544705883,-0.0,-0.0
1821676.208918005,-2182019.3195333355,-312459.3751682718,0.0,47883.73544705883,-0.0,-0.0
1814970.219171962,-2194987.8609788464,-332133.90635982563,0.0,47883.73544705883,-0.0,-0.0
1810396.729949405,-2207366.089513189,-349085.6241167255,0.0,47883.73544705883,-0.0,-0.0
1807558.9718841976,-2218851.951976173,-363409.24464491685,0.0,47883.73544705883,-0.0,-0.0
1806147.4915823569,-2230081.6868223054,-376050.45979288954,0.0,47883.73544705883,-0.0,-0.0
1805921.9177445166,-2241830.957517426,-388025.30432585033,0.0,47883.73544705883,-0.0,-0.0
1806689.2319617704,-2253088.157438619,-398515.1900297897,0.0,47883.73544705883,-0.0,-0.0
1808293.8661860516,-2263870.2701755753,-407692.66854246496,0.0,47883.73544705883,-0.0,-0.0
1885265.8181483091,-2178385.032377727,-245235.4787823592,0.0,47883.73544705883,-0.0,-0.0
1870952.3664904272,-2189675.5273346193,-270839.42539713345,0.0,47883.735447058825,-0.0,-0.0
