period,oha,ohv,ogs,ocp,ocf
1,2721.5247367959155,383033.0,6566622.667408976,26696792.695301134,1525810.6968434425
2,2585.448499956118,363881.3499999999,8799453.345858581,27797098.56156251,1609440.4784574562
3,2585.448499956118,363881.35,11338659.183398023,28777065.464279592,1682290.7204384417
4,2585.4484999561187,363881.3500000001,14007745.65794748,29531625.51589127,1736184.9684269119
5,2585.4484999561196,363881.35000000003,16645176.314840218,30018459.706339344,1770166.2594631945
6,2585.44849995612,363881.3500000001,19132129.03424096,30280479.68051448,1786410.2350186477
7,2585.448499956118,363881.35000000003,21390660.006512884,30398700.24422092,1791214.0959587444
8,2857.600973635712,363881.35000000003,23376436.790658284,30464936.80255063,1789603.0787937604
9,2857.6009736357105,363881.3500000001,25049602.26709836,30486353.975114997,1789514.7936220774
10,2857.600973635711,363881.3499999999,26402654.192341115,30481734.07238898,1788086.5200107498
