Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-454578.1078074982,0.0,45603.45835294118,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-460250.4458680764,0.0,45603.45835294118,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-464513.62022593553,0.0,45603.45835294118,-0.0,-0.0
1628126.27130303,-2142533.651920808,-468803.922264837,0.0,45603.45835294118,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-472955.2997153615,0.0,45603.45835294118,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-477132.9210652682,0.0,45603.45835294118,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-481214.1850062418,0.0,45603.45835294118,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-484375.72445548314,0.0,45603.45835294118,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-486053.7015014613,0.0,45603.45835294118,-0.0,-0.0
1730552.3139326817,-2182287.2039084015,-406131.4316227788,0.0,45603.45835294118,-0.0,-0.0
1731597.8119259109,-2197302.5140074613,-422381.4166462564,0.0,43323.2854352941,-0.0,-0.0
1734113.0477256505,-2211501.2594044507,-434064.92624350596,0.0,43323.2854352941,-0.0,-0.0
1737758.5389493594,-2224987.4719208158,-443905.64753616246,0.0,43323.2854352941,-0.0,-0.0
1742282.9462335217,-2238740.804797732,-453134.5731289161,0.0,43323.2854352941,-0.0,-0.0
1747491.8787244326,-2250958.9073363086,-460143.74317658186,0.0,43323.2854352941,-0.0,-0.0
1753233.1978706643,-2262802.846471067,-466246.36316510884,0.0,43323.2854352941,-0.0,-0.0
1759392.7287398006,-2275437.8405855987,-472721.8264105038,0.0,43323.2854352941,-0.0,-0.0
1765881.6972779862,-2286896.46097252,-477691.47825923975,0.0,43323.2854352941,-0.0,-0.0
1772626.471457967,-2298410.6865823683,-482460.92968910706,0.0,43323.2854352941,-0.0,-0.0
1818699.659924868,-2261885.3849961227,-399862.4396359605,0.0,43323.2854352941,-0.0,-0.0
1816812.655538636,-2274261.487433085,-414125.5464591549,0.0,43323.28543529412,-0.0,-0.0
1816592.9409595528,-2287027.4460265636,-427111.21963171684,0.0,43323.28543529412,-0.0,-0.0
1817687.2792559988,-2299192.8103236365,-438182.2456323437,0.0,43323.28543529412,-0.0,-0.0
1819828.4328780244,-2310782.803681302,-447631.08536798344,0.0,43323.28543529412,-0.0,-0.0
1822806.7272465199,-2321496.1974207372,-455366.1847389232,0.0,43323.28543529412,-0.0,-0.0
1826461.0419400984,-2331869.7558197174,-462085.42844432464,0.0,43323.28543529412,-0.0,-0.0
1830667.094446033,-2342762.430529542,-468772.05064821464,0.0,43323.28543529412,-0.0,-0.0
1835325.0983174616,-2353023.952122016,-474375.56836926006,0.0,43323.28543529412,-0.0,-0.0
1840355.407626158,-2362907.309209393,-479228.61614794075,0.0,43323.28543529412,-0.0,-0.0
1887285.2139275542,-2325561.1145822853,-394952.61521943694,0.0,43323.28543529412,-0.0,-0.0
1884071.8616604218,-2334410.8240209525,-407015.6769252362,0.0,43323.285435294136,-0.0,-0.0
1882421.9755556232,-2342948.236130183,-417202.97513926576,0.0,43323.285435294136,-0.0,-0.0
1882038.342053387,-2352287.7726702173,-426926.1451815362,0.0,43323.285435294136,-0.0,-0.0
1882688.4137685073,-2361205.8906261497,-435194.19142234797,0.0,43323.285435294136,-0.0,-0.0
1884189.239866102,-2369482.230056776,-441969.7047553798,0.0,43323.285435294136,-0.0,-0.0
1886394.997496513,-2377313.911381046,-447595.6284492387,0.0,43323.285435294136,-0.0,-0.0
1889189.300665235,-2385603.521996643,-453090.935896114,0.0,43323.285435294136,-0.0,-0.0
1892477.3984413487,-2393429.664248963,-457628.9803723199,0.0,43323.285435294136,-0.0,-0.0
1896181.9860090895,-2400304.5022459063,-460799.23080152273,0.0,43323.285435294136,-0.0,-0.0
1942056.7088714812,-2359674.912006119,-374294.91769934347,0.0,43323.285435294136,-0.0,-0.0
1937573.1039466872,-2367031.7047547745,-386135.3153727929,0.0,43323.28543529412,-0.0,-0.0
1934700.2984357579,-2373345.492191601,-395321.9083205492,0.0,43323.28543529412,-0.0,-0.0
1933140.7865382088,-2380401.7019474017,-403937.62997389864,0.0,43323.28543529412,-0.0,-0.0
1932658.0220357056,-2386788.062583339,-410806.75511233904,0.0,43323.28543529412,-0.0,-0.0
1933065.5153114623,-2393480.642365647,-417091.8416188903,0.0,43323.28543529412,-0.0,-0.0
1934217.7195695231,-2399849.281213942,-422308.27620912483,0.0,43323.28543529412,-0.0,-0.0
1936004.8248877178,-2406066.780195968,-426738.66987295623,0.0,43323.28543529412,-0.0,-0.0
1938326.4140942593,-2411898.8910434786,-430249.1915139252,0.0,43323.28543529412,-0.0,-0.0
1941093.6976504938,-2417384.1045238515,-432967.12143806345,0.0,43323.28543529412,-0.0,-0.0
1985877.3204557253,-2377123.1247880687,-347922.51889704925,0.0,43323.28543529412,-0.0,-0.0
1980552.1641718077,-2383012.1156064146,-359136.665999313,0.0,43323.28543529411,-0.0,-0.0
1976866.6379244616,-2388274.436354037,-368084.5129942814,0.0,43323.28543529411,-0.0,-0.0
1974519.7447064507,-2392925.5410510874,-375082.5109093425,0.0,43323.28543529411,-0.0,-0.0
1973272.821140943,-2397668.381314644,-381072.27473840705,0.0,43323.28543529411,-0.0,-0.0
1972938.144747868,-2403186.9979524766,-386925.56776931486,0.0,43323.28543529411,-0.0,-0.0
1973370.2575098015,-2408547.13153218,-391853.58858708444,0.0,43323.28543529411,-0.0,-0.0
1974452.4961779604,-2413877.4861248955,-396101.7045116411,0.0,43323.28543529411,-0.0,-0.0
1976089.06873786,-2419200.355117577,-399788.00094442285,0.0,43323.28543529411,-0.0,-0.0
1978200.0885006208,-2424092.6318617174,-402569.25792580267,0.0,43323.28543529411,-0.0,-0.0
2022178.9325606693,-2384208.0357590136,-318705.8177630503,0.0,43323.28543529411,-0.0,-0.0
2016283.639810903,-2389193.5983643006,-329586.6731181035,0.0,43323.28543529412,-0.0,-0.0
2012049.198944206,-2393659.6931580612,-338287.2087785612,0.0,43323.28543529412,-0.0,-0.0
2009173.0552067412,-2398169.820759868,-345673.48011783254,0.0,43323.28543529412,-0.0,-0.0
2007417.853946458,-2402610.657448378,-351869.5180666257,0.0,43323.28543529412,-0.0,-0.0
2006596.5030152684,-2407179.6261054766,-357259.83765491424,0.0,43323.28543529412,-0.0,-0.0
2006559.0320580818,-2411947.7079522256,-362065.3904588495,0.0,43323.28543529412,-0.0,-0.0
2007183.6543812966,-2415619.1893575476,-365112.2495409569,0.0,43323.28543529412,-0.0,-0.0
2008370.9673267428,-2420076.234373211,-368381.98161117395,0.0,43323.28543529412,-0.0,-0.0
2010039.6066984155,-2424010.9700334906,-370648.0778997812,0.0,43323.28543529412,-0.0,-0.0
2053978.8363934834,-2381466.2923728856,-284164.17054410814,0.0,43323.28543529412,-0.0,-0.0
2047603.2164553911,-2384822.116770894,-293895.61488020833,0.0,43323.285435294136,-0.0,-0.0
2042889.3221818206,-2388539.7005894533,-302327.09297233855,0.0,43323.285435294136,-0.0,-0.0
2039531.693058485,-2391661.410080216,-308806.4315864367,0.0,43323.285435294136,-0.0,-0.0
2037291.2243240234,-2394188.672883582,-313574.1631242645,0.0,43323.285435294136,-0.0,-0.0
2035982.3917529928,-2397930.019238459,-318624.3420501719,0.0,43323.285435294136,-0.0,-0.0
2035456.5652172687,-2401517.2896142607,-322737.4389616976,0.0,43323.285435294136,-0.0,-0.0
2035592.787683619,-2404814.2520234482,-325898.1789045351,0.0,43323.285435294136,-0.0,-0.0
2036293.264787557,-2408318.259233217,-328701.70901036623,0.0,43323.285435294136,-0.0,-0.0
2037476.084527348,-2411207.928226888,-330408.55826424604,0.0,43323.285435294136,-0.0,-0.0
2086025.2758989919,-2362535.1059595826,-233186.5446252966,0.0,43323.285435294136,-0.0,-0.0
2078211.1766790969,-2366067.5096678026,-244533.04755341177,0.0,43323.28543529412,-0.0,-0.0
2072194.3367903156,-2368488.620516752,-252970.99829114202,0.0,43323.28543529412,-0.0,-0.0
2067647.1314590028,-2371282.5578709207,-260312.14097662378,0.0,43323.28543529412,-0.0,-0.0
2064312.4333038423,-2373931.4055985883,-266295.6868594516,0.0,43323.28543529412,-0.0,-0.0
2061989.5542371161,-2377070.7088557594,-271757.86918334896,0.0,43323.28543529412,-0.0,-0.0
2060518.315104611,-2380411.0591988997,-276569.45865899464,0.0,43323.28543529412,-0.0,-0.0
2059767.804352462,-2383248.8541480713,-280157.76436031493,0.0,43323.28543529412,-0.0,-0.0
2059631.3389880604,-2386121.336718412,-283166.7122950577,0.0,43323.28543529412,-0.0,-0.0
2060020.2504255087,-2388405.160324545,-285061.6244637425,0.0,43323.28543529412,-0.0,-0.0
2112903.8187628593,-2336717.1854204973,-180490.08122234396,0.0,43323.28543529412,-0.0,-0.0
2103518.496229375,-2339758.0851985933,-192916.30353392422,0.0,43323.28543529411,-0.0,-0.0
2096084.629701967,-2342521.9821800287,-203114.06704276794,0.0,43323.28543529411,-0.0,-0.0
2090249.8613042608,-2344459.640369577,-210886.49363002222,0.0,43323.28543529411,-0.0,-0.0
2085737.158443698,-2346622.6697266693,-217562.22584767733,0.0,43323.28543529411,-0.0,-0.0
2082329.26667275,-2349382.7449619644,-223730.19285392034,0.0,43323.28543529411,-0.0,-0.0
2079854.9025727832,-2352357.9407952623,-229179.7527871849,0.0,43323.28543529411,-0.0,-0.0
2078172.7692900419,-2354722.961502187,-233226.90677685104,0.0,43323.28543529411,-0.0,-0.0
2077165.7310212096,-2356948.8495629085,-236459.83310640487,0.0,43323.28543529411,-0.0,-0.0
2076737.1748053336,-2358313.151510438,-238252.6912698102,0.0,43323.28543529411,-0.0,-0.0
2122262.792253826,-2310673.5626711305,-145087.48498201085,0.0,43323.28543529411,-0.0,-0.0
