Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
8047428.865058333,20294589.195133343,28342018.060191676,0.0
8177235.201724897,20283997.113200027,28461232.314924926,0.0
8306748.857853349,20277967.62783977,28584716.48569312,0.0
8435896.045763373,20275881.24868972,28711777.294453092,0.0
8564855.997479426,20277258.6190854,28842114.616564825,0.0
8693299.594187869,20281706.244304862,28975005.83849273,0.0
8821212.316647852,20288895.806264352,29110108.122912202,0.0
8948899.585167823,20298565.981727384,29247465.56689521,0.0
9076099.63956526,20310499.600739382,29386599.24030464,0.0
9202891.352975184,20324502.70806331,29527394.061038494,0.0
8916655.79049793,20549618.106997263,29466273.897495195,0.0
9042104.65705121,20537436.00571578,29579540.66276699,0.0
9167471.792506391,20530389.41444264,29697861.20694903,0.0
9292656.52603352,20527809.245154116,29820465.771187637,0.0
9417567.449509664,20529159.385649424,29946726.83515909,0.0
9542026.021481678,20533987.604110073,30076013.62559175,0.0
9666004.669504764,20541924.767148808,30207929.43665357,0.0
9789683.583076378,20552673.075278547,30342356.658354923,0.0
9912952.937973075,20565976.689021576,30478929.62699465,0.0
10035771.841033475,20581618.441814758,30617390.282848235,0.0
9754258.643176077,20805895.982150134,30560154.625326212,0.0
9873316.354424335,20797445.831107855,30670762.185532194,0.0
9991784.509291556,20793813.288552538,30785597.797844093,0.0
10109914.824148651,20794407.546408176,30904322.370556824,0.0
10227596.255968846,20798749.230041385,31026345.48601023,0.0
10344682.505346358,20806440.50345255,31151123.00879891,0.0
10461111.623386046,20817145.2753437,31278256.898729745,0.0
10577022.48586245,20830579.72561161,31407602.21147406,0.0
10692334.739661474,20846498.122326568,31538832.86198804,0.0
10806803.089458335,20864685.065232728,31671488.154691063,0.0
10519735.123119293,21092089.855023544,31611824.978142835,0.0
10629705.263787137,21086495.550795887,31716200.814583022,0.0
10738844.103041615,21085501.204091392,31824345.307133008,0.0
10847277.6364717,21088555.518512055,31935833.154983755,0.0
10954900.168957835,21095186.091417763,32050086.2603756,0.0
11061871.092425948,21105014.330361545,32166885.422787495,0.0
11168164.00801021,21117724.23920342,32285888.247213632,0.0
11273678.552394342,21133064.25874786,32406742.811142202,0.0
11378338.344322728,21150784.810720064,32529123.155042794,0.0
11482065.733942688,21170653.236117505,32652718.970060192,0.0
11189808.498342047,21397787.08562798,32587595.583970025,0.0
11289783.152873013,21393877.973172583,32683661.126045596,0.0
11388971.213494694,21394468.633189313,32783439.846684005,0.0
11487223.813741717,21399017.04583706,32886240.859578777,0.0
11584485.003015624,21407061.653711963,32991546.656727586,0.0
11681115.827746967,21418218.481449034,33099334.309196003,0.0
11777104.760643294,21432178.238375008,33209282.999018304,0.0
11872428.650583453,21448679.900056504,33321108.550639957,0.0
11967077.76108682,21467492.878311366,33434570.639398184,0.0
12061024.002310101,21488414.320777874,33549438.323087975,0.0
11760122.76502356,21716212.843547978,33476335.608571537,0.0
11850520.945815438,21713340.532830603,33563861.47864604,0.0
11940149.678085314,21714928.47120067,33655078.14928599,0.0
12028946.817679726,21720419.87659775,33749366.69427748,0.0
12116916.990135403,21729358.773128334,33846275.76326374,0.0
12204208.456842018,21741381.351334963,33945589.80817698,0.0
12290906.929751389,21756167.557651762,34047074.48740315,0.0
12376729.629144657,21773445.650997724,34150175.28014238,0.0
12461913.867670791,21792981.33525868,34254895.202929474,0.0
12546313.672442827,21814566.97157829,34360880.644021116,0.0
12234250.3692186,22042297.572150674,34276547.94136927,0.0
12314160.093150614,22040159.814886276,34354319.90803689,0.0
12393322.694493912,22042365.3490437,34435688.04353762,0.0
12471662.301030502,22048363.628076386,34520025.92910689,0.0
12548971.878994454,22057702.40904899,34606674.28804344,0.0
12625648.455454765,22070019.174011365,34695667.62946613,0.0
12701663.20703337,22085002.17840926,34786665.38544263,0.0
12776924.016764818,22102380.766525567,34879304.783290386,0.0
12851485.302715551,22121931.587273866,34973416.88998941,0.0
12925215.713339418,22143448.63452757,35068664.34786699,0.0
12528512.644621065,22404398.37258904,34932911.0172101,0.0
12597950.87135649,22397985.785797838,34995936.65715433,0.0
12666564.787466293,22396226.972307567,35062791.75977386,0.0
12734447.945300007,22398534.10022088,35132982.04552089,0.0
12801615.405218275,22404413.627893504,35206029.03311178,0.0
12868187.0403724,22413465.591395885,35281652.631768286,0.0
12934243.690926442,22425351.119052354,35359594.8099788,0.0
12999677.7027624,22439770.33588109,35439448.038643494,0.0
13064425.159767369,22456476.444626696,35520901.60439406,0.0
13128352.912308337,22475242.677367248,35603595.58967558,0.0
12707525.506752262,22740157.38076605,35447682.88751831,0.0
12767192.557024483,22730379.492259387,35497572.04928387,0.0
12826319.196375266,22725379.694051046,35551698.890426315,0.0
12884668.201841041,22724552.357664227,35609220.55950527,0.0
12942266.149423486,22727385.297052987,35669651.446476474,0.0
12999366.70423493,22733457.074152753,35732823.77838768,0.0
13056009.55078562,22742426.22966798,35798435.7804536,0.0
13112104.081088163,22753985.743317124,35866089.82440529,0.0
13167518.96654784,22767875.959638905,35935394.92618675,0.0
13222108.555598026,22783870.12229539,36005978.677893415,0.0
12925205.870773599,22992307.81592903,35917513.68670263,0.0
