Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
8190473.917419615,20221448.892017692,28411922.809437305,0.0
8321129.041661808,20220477.716689907,28541606.758351713,0.0
8451393.062936211,20223128.465399284,28674521.528335493,0.0
8581220.67485687,20228905.531076938,28810126.205933806,0.0
8710788.449777527,20237433.75326884,28948222.20304637,0.0
8839777.346429037,20248408.92759708,29088186.27402612,0.0
8968181.084379984,20261578.52165279,29229759.606032774,0.0
9096293.5079467,20276744.994974587,29373038.502921283,0.0
9223858.98979249,20293745.565155666,29517604.55494816,0.0
9350968.87016479,20312432.341964856,29663401.212129645,0.0
9217154.985449266,20467223.370680906,29684378.35613017,0.0
9344874.042900097,20469407.881747443,29814281.92464754,0.0
9472267.650243629,20475426.5217227,29947694.17196633,0.0
9599285.063940449,20484776.162389252,30084061.2263297,0.0
9725851.784694653,20497057.5419452,30222909.326639853,0.0
9851793.9658446,20511940.921914984,30363734.887759585,0.0
9977105.255568195,20529162.292154726,30506267.54772292,0.0
10101974.749975264,20548509.143075757,30650483.89305102,0.0
10226281.864266422,20569798.17111813,30796080.03538455,0.0
10349984.587286104,20592872.972679093,30942857.559965197,0.0
10210257.140786175,20752916.985972747,30963174.126758922,0.0
10333938.600599501,20759317.62907421,31093256.22967371,0.0
10456808.314668655,20769590.20063151,31226398.515300166,0.0
10579151.133404419,20783229.86858493,31362381.00198935,0.0
10700850.755806915,20799839.687366996,31500690.44317391,0.0
10821769.65532879,20819090.60065146,31640860.25598025,0.0
10941823.48211529,20840706.24916284,31782529.73127813,0.0
11061173.956693437,20864457.377670646,31925631.334364083,0.0
11179719.546964891,20890147.05217666,32069866.599141553,0.0
11297235.05751009,20917601.18600035,32214836.243510436,0.0
11157978.442224156,21078909.9721986,32236888.414422758,0.0
11273561.344754705,21090684.204286937,32364245.54904164,0.0
11388190.867309019,21105965.9979418,32494156.86525082,0.0
11501907.112810832,21124310.911745515,32626218.024556346,0.0
11614680.11739779,21145338.180817492,32760018.29821528,0.0
11726632.418835057,21168757.766814843,32895390.1856499,0.0
11837693.79866476,21194329.985351156,33032023.784015916,0.0
11947769.131778376,21221871.908021018,33169641.039799396,0.0
12056784.323045477,21251191.49062717,33307975.813672647,0.0
12164682.23846111,21282097.30429616,33446779.54275727,0.0
12007618.374846974,21449984.913352188,33457603.28819916,0.0
12113009.417434458,21463787.31571129,33576796.73314575,0.0
12217534.471154751,21481071.82543073,33698606.29658548,0.0
12320935.669927543,21501418.571356185,33822354.24128373,0.0
12423429.337970378,21524451.137645833,33947880.47561621,0.0
12525140.468842275,21549892.540492885,34075033.00933516,0.0
12626002.971560664,21577506.01830263,34203508.9898633,0.0
12725980.312786913,21607050.653664697,34333030.96645161,0.0
12825030.742826259,21638305.355839938,34463336.0986662,0.0
12923168.805853298,21671107.84719976,34594276.65305305,0.0
12756684.549245805,21832771.351498984,34589455.90074479,0.0
12853756.844840646,21848217.827400982,34701974.67224163,0.0
12949984.282723455,21867361.481968183,34817345.764691636,0.0
13045010.720773004,21889769.74688369,34934780.467656694,0.0
13139037.916524062,21915030.867582027,35054068.78410609,0.0
13232259.619913567,21942764.589828666,35175024.20974223,0.0
13324729.136619505,21972636.438613378,35297365.575232886,0.0
13416147.835905604,22004410.318192966,35420558.15409857,0.0
13506714.814836852,22037880.737488933,35544595.552325785,0.0
13596330.839103373,22072879.730405543,35669210.56950892,0.0
13427257.88222402,22237039.756704763,35664297.638928786,0.0
13517264.49685473,22255280.473875552,35772544.97073028,0.0
13606403.141289447,22277311.744739853,35883714.886029296,0.0
13694491.307892572,22302532.22751217,35997023.53540474,0.0
13781361.43324233,22330486.74483257,36111848.178074904,0.0
13867393.62960503,22360812.175138824,36228205.80474385,0.0
13952540.86399581,22393220.43182131,36345761.295817114,0.0
14036673.134012181,22427468.632352933,36464141.76636511,0.0
14119855.02506806,22463358.659607314,36583213.68467537,0.0
14201919.11698199,22500706.76517592,36702625.88215791,0.0
14030111.890664501,22673497.549309302,36703609.4399738,0.0
14112446.063428212,22693584.899871208,36806030.963299416,0.0
14193592.664246414,22717366.04210381,36910958.70635022,0.0
14273462.900425276,22744237.83767889,37017700.738104165,0.0
14352112.467994027,22773737.959528305,37125850.42752233,0.0
14429727.041180637,22805520.746080995,37235247.78726163,0.0
14506297.471102959,22839290.064531818,37345587.53563478,0.0
14581622.596930915,22874788.11326954,37456410.71020046,0.0
14655852.17901284,22911813.005229115,37567665.18424196,0.0
14728858.549905837,22950185.57047279,37679044.12037863,0.0
14558791.557704275,23118553.797541033,37677345.355245315,0.0
14631468.978565233,23140811.94824744,37772280.92681267,0.0
14702899.36129718,23166358.0619941,37869257.42329129,0.0
14772896.732187701,23194670.620458033,37967567.35264573,0.0
14841423.08973443,23225314.49258944,38066737.58232387,0.0
14908783.769001283,23257944.741094075,38166728.51009536,0.0
14974980.010225771,23292301.496715866,38267281.50694164,0.0
15039824.304978887,23328152.279354166,38367976.584333055,0.0
15103416.678760642,23365314.89338172,38468731.572142355,0.0
15165658.43556424,23403629.131579027,38569287.56714327,0.0
14984233.094316049,23572553.22172011,38556786.31603616,0.0
