Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-439376.95502318454,0.0,60804.61113725487,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-445049.29308376275,0.0,60804.61113725487,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-449312.4674416219,0.0,60804.61113725487,-0.0,-0.0
1628126.27130303,-2142533.651920808,-453602.76948052336,0.0,60804.61113725487,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-457754.14693104784,0.0,60804.61113725487,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-461931.76828095457,0.0,60804.61113725487,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-466013.0322219281,0.0,60804.61113725487,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-469174.5716711695,0.0,60804.61113725487,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-470852.54871714767,0.0,60804.61113725487,-0.0,-0.0
1749036.1582975995,-2160517.9499218646,-350677.1804870103,0.0,60804.61113725487,-0.0,-0.0
1745234.8140185508,-2177569.0915922504,-374569.8969933073,0.0,57764.380580392164,-0.0,-0.0
1743909.2955025963,-2193653.1110496125,-391979.4349666242,0.0,57764.380580392164,-0.0,-0.0
1744478.0988598727,-2208713.1925721737,-406470.7131319088,0.0,57764.380580392164,-0.0,-0.0
1746519.3089872093,-2223856.142901851,-419572.4533342494,0.0,57764.380580392164,-0.0,-0.0
1749712.4761726323,-2237277.677078283,-429800.8203252585,0.0,57764.380580392164,-0.0,-0.0
1753810.4035889285,-2250196.0518925707,-438621.26772324985,0.0,57764.380580392164,-0.0,-0.0
1758626.3492883493,-2263839.7931864937,-447449.06331775256,0.0,57764.380580392164,-0.0,-0.0
1764015.394534217,-2276192.6679884815,-454412.89287387236,0.0,57764.380580392164,-0.0,-0.0
1769859.0045261628,-2288527.0716891424,-460903.6865825874,0.0,57764.380580392164,-0.0,-0.0
1837041.1673391638,-2230072.4455570634,-335266.8976375075,0.0,57764.380580392164,-0.0,-0.0
1829134.5628890323,-2244383.9479700793,-357485.004500655,0.0,57764.380580392135,-0.0,-0.0
1824071.095109315,-2259313.803683231,-377478.32799352414,0.0,57764.380580392135,-0.0,-0.0
1821236.1553296268,-2273389.5406820006,-394389.0047719817,0.0,57764.380580392135,-0.0,-0.0
1820171.8643977607,-2286656.686234277,-408720.4412561244,0.0,57764.380580392135,-0.0,-0.0
1820524.3203327088,-2298833.4389828863,-420544.7380697855,0.0,57764.380580392135,-0.0,-0.0
1822021.5350085094,-2310611.297659795,-430825.38207089296,0.0,57764.380580392135,-0.0,-0.0
1824451.7383339703,-2322714.381932207,-440498.2630178445,0.0,57764.380580392135,-0.0,-0.0
1827646.1735266056,-2334131.571110255,-448721.01700325747,0.0,57764.380580392135,-0.0,-0.0
1831471.9471030743,-2345111.3831028645,-455875.0554193981,0.0,57764.380580392135,-0.0,-0.0
1897263.9338051719,-2281902.4295415427,-326874.11515597865,0.0,57764.380580392135,-0.0,-0.0
1887526.0278626864,-2294313.530240188,-349023.1217971094,0.0,57764.380580392135,-0.0,-0.0
1880726.811214454,-2306231.029755782,-367739.83796093566,0.0,57764.380580392135,-0.0,-0.0
1876253.3068614642,-2318704.544189918,-384686.85674806155,0.0,57764.380580392135,-0.0,-0.0
1873649.4474143982,-2330261.481979037,-398847.6539842468,0.0,57764.380580392135,-0.0,-0.0
1872561.7625314847,-2341012.179321392,-410686.0362095151,0.0,57764.380580392135,-0.0,-0.0
1872713.5243356666,-2351094.4770422294,-420616.57212617085,0.0,57764.380580392135,-0.0,-0.0
1873889.033675033,-2361446.73342777,-429793.31917234475,0.0,57764.380580392135,-0.0,-0.0
1875916.0525925285,-2371197.7026046026,-437517.26943168195,0.0,57764.380580392135,-0.0,-0.0
1878652.4836213589,-2379900.2382569057,-443483.3740551547,0.0,57764.380580392135,-0.0,-0.0
1947271.2805155588,-2312985.6592204226,-307949.9981244716,0.0,57764.380580392135,-0.0,-0.0
1936620.4755047958,-2322373.8321615164,-327988.9760763283,0.0,57764.38058039212,-0.0,-0.0
1928693.45391194,-2330888.237146881,-344430.40265454847,0.0,57764.38058039212,-0.0,-0.0
1922981.0700319833,-2338996.544604901,-358251.0939925256,0.0,57764.38058039212,-0.0,-0.0
1919064.9792980528,-2346921.3231158257,-370091.9632373808,0.0,57764.38058039212,-0.0,-0.0
1916632.7605891575,-2355287.0861444264,-380889.94497487665,0.0,57764.38058039212,-0.0,-0.0
1915442.3629409212,-2363459.2436973443,-390252.5001760308,0.0,57764.38058039212,-0.0,-0.0
1915316.5567128116,-2371086.295059317,-398005.35776611307,0.0,57764.38058039212,-0.0,-0.0
1916086.2063478217,-2378005.6315207896,-404155.04459257564,0.0,57764.38058039212,-0.0,-0.0
1917589.881102964,-2384910.122867342,-409555.8611839859,0.0,57764.38058039212,-0.0,-0.0
1981401.4763871676,-2313995.059084725,-274829.2021171652,0.0,57764.38058039212,-0.0,-0.0
1969487.0147282768,-2323268.165377401,-296016.7700687318,0.0,57764.38058039212,-0.0,-0.0
1960474.362756289,-2332128.6836848664,-313889.9403481855,0.0,57764.38058039212,-0.0,-0.0
1953842.0977297372,-2339353.0563972346,-327746.5780871051,0.0,57764.38058039212,-0.0,-0.0
