Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-424175.8022388708,0.0,76005.76392156858,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-429848.14029944903,0.0,76005.76392156858,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-434111.31465730816,0.0,76005.76392156858,-0.0,-0.0
1628126.27130303,-2142533.651920808,-438401.61669620965,0.0,76005.76392156858,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-442552.9941467341,0.0,76005.76392156858,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-446730.61549664085,0.0,76005.76392156858,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-450811.8794376144,0.0,76005.76392156858,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-453973.41888685577,0.0,76005.76392156858,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-455651.39593283396,0.0,76005.76392156858,-0.0,-0.0
1761882.5038759282,-2144375.4776704414,-306487.20987294475,0.0,76005.76392156858,-0.0,-0.0
1755735.3783982017,-2160503.786663218,-332562.93253952626,0.0,72205.47572549015,-0.0,-0.0
1752269.2412629095,-2175601.8098446797,-351127.0928562801,0.0,72205.47572549015,-0.0,-0.0
1750896.5093192372,-2189842.6742521003,-366740.68920737284,0.0,72205.47572549015,-0.0,-0.0
1751179.617053169,-2204351.110210902,-380966.01743224316,0.0,72205.47572549015,-0.0,-0.0
1752780.6192244848,-2217290.4816385126,-392304.3866885378,0.0,72205.47572549015,-0.0,-0.0
1755435.1620664184,-2229843.51348292,-402202.8756910113,0.0,72205.47572549015,-0.0,-0.0
1758938.2708775345,-2243115.904513271,-411972.1579102462,0.0,72205.47572549015,-0.0,-0.0
1763128.758592869,-2255165.4969945066,-419831.2626761478,0.0,72205.47572549015,-0.0,-0.0
1767876.76654105,-2267228.872736013,-427146.6304694726,0.0,72205.47572549015,-0.0,-0.0
1847404.48967788,-2186855.967706481,-267246.00230311096,0.0,72205.47572549015,-0.0,-0.0
1836083.0614242626,-2200276.8387330547,-291988.3015833021,0.0,72205.47572549012,-0.0,-0.0
1827899.580266977,-2214115.122792704,-314010.06680023705,0.0,72205.47572549012,-0.0,-0.0
1822222.4071199188,-2227289.9017443466,-332862.01889893773,0.0,72205.47572549012,-0.0,-0.0
