period,oha,ohv,ogs
1,754.709800548954,153213.20000000004,6836998.902703091
2,792.4452905764017,145552.54,9343992.835902318
3,792.4452905764017,145552.54,12178790.601572508
4,792.4452905764019,145552.54,15163940.04772855
5,759.9444815807494,145552.54,18132676.10305129
6,716.9743105215065,145552.54,20958686.977417793
7,716.9743105215064,145552.54000000004,23553117.946521133
8,716.9743105215065,145552.54000000004,25869046.234912872
9,716.9743105215064,145552.54000000004,27871183.3110588
10,716.9743105215065,145552.54000000004,29542747.939459704
