Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-469779.26059181197,0.0,30402.305568627453,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-475451.5986523902,0.0,30402.305568627453,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-479714.7730102493,0.0,30402.305568627453,-0.0,-0.0
1628126.27130303,-2142533.651920808,-484005.0750491508,0.0,30402.305568627453,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-488156.4524996753,0.0,30402.305568627453,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-492334.073849582,0.0,30402.305568627453,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-496415.33779055555,0.0,30402.305568627453,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-499576.8772397969,0.0,30402.305568627453,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-501254.8542857751,0.0,30402.305568627453,-0.0,-0.0
1714896.3019517546,-2200717.866028543,-455419.2585081609,0.0,30402.305568627453,-0.0,-0.0
1719838.8820400843,-2214140.149609816,-465419.0772795355,0.0,28882.190290196068,-0.0,-0.0
1725498.0862999898,-2227041.7267543627,-472661.4501641767,0.0,28882.190290196068,-0.0,-0.0
1731704.316980709,-2239403.3678370686,-478816.8605661635,0.0,28882.190290196068,-0.0,-0.0
1738329.9931090416,-2252181.993766523,-484969.8103672851,0.0,28882.190290196068,-0.0,-0.0
1745273.6155661945,-2263524.318630339,-489368.5127739483,0.0,28882.190290196068,-0.0,-0.0
1752454.0410902235,-2274600.439115127,-493264.20773470734,0.0,28882.190290196068,-0.0,-0.0
1759812.39456043,-2286545.4093321227,-497850.82448149676,0.0,28882.190290196068,-0.0,-0.0
1767303.158325124,-2297376.383015182,-501191.0343998614,0.0,28882.190290196068,-0.0,-0.0
1774886.5980766506,-2308281.541990961,-504512.75362411403,0.0,28882.190290196068,-0.0,-0.0
1806416.4184306609,-2290981.4160342915,-455682.80731343455,0.0,28882.190290196068,-0.0,-0.0
1808795.3605484962,-2301669.2893913584,-463991.7385526659,0.0,28882.19029019607,-0.0,-0.0
1812080.512775113,-2313049.5147505864,-472086.81168527715,0.0,28882.19029019607,-0.0,-0.0
1816077.6071493845,-2324017.212287949,-479057.41484836827,0.0,28882.19029019607,-0.0,-0.0
1820636.5989228305,-2334556.0296677747,-485037.2404547478,0.0,28882.19029019607,-0.0,-0.0
1825638.8142675073,-2344204.8695232025,-489683.86496549915,0.0,28882.19029019607,-0.0,-0.0
1830994.2833406124,-2353657.9127975185,-493781.43916671,0.0,28882.19029019607,-0.0,-0.0
1836634.384660882,-2363717.6618611026,-498201.0869100244,0.0,28882.19029019607,-0.0,-0.0
1842503.6968373775,-2373204.6661146176,-501818.7789870439,0.0,28882.19029019607,-0.0,-0.0
1848558.126705227,-2382317.938896394,-504877.6219009706,0.0,28882.19029019607,-0.0,-0.0
1879229.4561025011,-2360594.5312527474,-452482.88486005005,0.0,28882.19029019607,-0.0,-0.0
1880128.5439050144,-2369328.1364659183,-460317.4022707078,0.0,28882.190290196068,-0.0,-0.0
1881999.3687782397,-2377640.8908044696,-466759.3317360335,0.0,28882.190290196068,-0.0,-0.0
1884648.1944421504,-2386761.0361358924,-473230.65140354604,0.0,28882.190290196068,-0.0,-0.0
1887926.3309496508,-2395380.464919866,-478571.94368001906,0.0,28882.190290196068,-0.0,-0.0
1891713.176677216,-2403403.148381691,-482807.7814142786,0.0,28882.190290196068,-0.0,-0.0
1895912.040438953,-2410975.1510362914,-486180.9203071423,0.0,28882.190290196068,-0.0,-0.0
1900449.5211767033,-2418919.8643398066,-489588.1528729072,0.0,28882.190290196068,-0.0,-0.0
1905266.2717035802,-2426468.3087860593,-492319.8467922832,0.0,28882.190290196068,-0.0,-0.0
1910313.1656946666,-2433260.7843485936,-494065.42836373096,0.0,28882.190290196068,-0.0,-0.0
1940652.5454448448,-2410074.8706717966,-440540.13493675564,0.0,28882.190290196068,-0.0,-0.0
1940652.7614358666,-2417466.061093712,-447931.1093676496,0.0,28882.190290196068,-0.0,-0.0
1941636.4186232833,-2423687.945305345,-453169.33639186586,0.0,28882.190290196068,-0.0,-0.0
1943410.3782148568,-2430752.1359657943,-458459.5674607415,0.0,28882.190290196068,-0.0,-0.0
1945827.5535289403,-2437114.5550297196,-462404.81121058326,0.0,28882.190290196068,-0.0,-0.0
1948771.1470054023,-2443474.0571299484,-465820.71983435005,0.0,28882.190290196068,-0.0,-0.0
1952148.929727759,-2449568.621694196,-468537.50167624094,0.0,28882.190290196068,-0.0,-0.0
1955888.0146576872,-2455665.4910875456,-470895.28613966267,0.0,28882.190290196068,-0.0,-0.0
1959928.0361044216,-2461621.7872713143,-472811.5608766965,0.0,28882.190290196068,-0.0,-0.0
1964219.62029288,-2466810.001757414,-473708.1911743378,0.0,28882.190290196068,-0.0,-0.0
1993500.5146130167,-2443701.6735120052,-421318.9686087926,0.0,28882.190290196068,-0.0,-0.0
1993090.4299045072,-2449125.436903183,-427152.81670847966,0.0,28882.190290196068,-0.0,-0.0
1993599.6139012799,-2453828.2096059774,-431346.4054145014,0.0,28882.190290196068,-0.0,-0.0
1994855.7992698557,-2458341.97751649,-434603.9879564382,0.0,28882.190290196068,-0.0,-0.0
1996723.4855474858,-2462938.2455325,-437332.56969481806,0.0,28882.190290196068,-0.0,-0.0
1999096.3953652722,-2467814.157023922,-439835.5713684539,0.0,28882.190290196068,-0.0,-0.0
2001890.1806552687,-2472491.3696653927,-441718.99871992803,0.0,28882.190290196068,-0.0,-0.0
2005037.6173054501,-2477074.5141480793,-443154.70655243297,0.0,28882.190290196068,-0.0,-0.0
2008483.9392327187,-2481740.9763185303,-444374.8467956156,0.0,28882.190290196068,-0.0,-0.0
2012182.7747257529,-2485879.9495604844,-444814.98454453534,0.0,28882.190290196068,-0.0,-0.0
2039586.5853480124,-2463903.3620146913,-395434.5863764828,0.0,28882.190290196068,-0.0,-0.0
2038678.3514366595,-2468408.0668276954,-400753.07449557877,0.0,28976.64089545713,-0.0,-0.0
2038722.6849075484,-2472109.678957805,-404410.3531547996,0.0,28976.64089545713,-0.0,-0.0
2039534.0520009808,-2475811.9993133657,-407301.3064169276,0.0,28976.64089545713,-0.0,-0.0
2040971.004786202,-2479464.998362362,-409517.35268070287,0.0,28976.64089545713,-0.0,-0.0
2042925.5862000843,-2483322.417996735,-411420.19090119336,0.0,28976.64089545713,-0.0,-0.0
2045309.694467304,-2487410.630067748,-413124.29470498674,0.0,28976.64089545713,-0.0,-0.0
2048052.0891637618,-2490378.5905605904,-413349.8605013715,0.0,28976.64089545713,-0.0,-0.0
2051094.6768626524,-2494190.712408763,-414119.3946506533,0.0,28976.64089545713,-0.0,-0.0
