Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52898313.14027822,24675.78
14439629.099533154,38540260.76420462,53027140.08163661,47250.21789882842
14640881.53763132,38455602.19189735,53164807.56327062,68323.83374194984
14842543.100859858,38380344.8255564,53311179.479582794,88291.55316653727
15044923.758035498,38313739.19520053,53466076.86412548,107413.9108894543
15247816.019716727,38255135.46724563,53628815.0649014,125863.57793904141
15450688.018913468,38204014.89855883,53798458.68222206,143755.76474975978
15653960.276384931,38159944.61240689,53975072.977092355,161168.0883005303
15857272.128023852,38122544.762834236,54157970.44562017,178153.55476209047
15125927.09453927,38582647.906081975,53903324.044238865,194749.04361761996
15327624.937971571,38477586.100404054,54026740.93330014,221529.8949245072
15529742.603639504,38387177.455084294,54155131.79486604,238211.73614224666
15731802.451253816,38309981.28114651,54296331.23932029,254547.5069199665
15933646.42517747,38244806.38264962,54449002.309882626,270549.50205553655
16135838.112838684,38190660.03789574,54612726.0378344,286227.8870999729
16338786.738382448,38146711.481052995,54787089.6135149,301591.39407945244
16540866.14024924,38112210.19176893,54969724.10895273,316647.7769345611
16741521.214718858,38086435.41124971,55159360.73590444,331404.109935874
16942809.113255877,38068346.064240426,55357022.160976194,345866.98347989743
16060204.473895676,38613109.479075246,55033356.58578564,360042.6328147172
16260076.714882847,38527962.17411358,55161975.91192098,373937.02292455285
16460139.43516596,38456950.09874936,55304645.438667424,387555.904752099
16660395.110939208,38398513.716524355,55459813.6801408,400904.85267723404
16860628.90730729,38351357.37023244,55625975.56727319,413989.2897334626
17060668.365900885,38314465.17769136,55801948.048389725,426814.50479747204
17260771.01876114,38286848.061894804,55987004.74517554,439385.6645195995
17460486.629931293,38267714.07667594,56179908.52841127,451707.8218040423
17659871.04281205,38256368.77054189,56380025.73537496,463785.9220210221
17859111.705941673,38252029.34114427,56586765.854809605,475624.80772365886
17018376.27431289,38790072.347853795,56295677.844541445,487229.22237475944
17214631.56623788,38715580.197073705,56428815.576725475,498603.8134138906
17411200.810532976,38655186.55824905,56576140.503662884,509753.1348808611
17608164.542975415,38607132.52526642,56735978.717978925,520681.64973708696
17797166.83334966,38569962.847731404,56898523.41305858,531393.7319775176
17985925.607832696,38542565.798159055,57070385.07458568,541893.668593927
18174589.744533114,38524120.06937435,57250895.475337,552185.6614295313
18363166.596007988,38513883.64461116,57439324.069570415,562273.8289512699
18554054.607260525,38511247.27276433,57637464.08798205,572162.2079571902
18745211.297094926,38515703.28512098,57842769.33744645,581854.7552305468
17721566.15125165,39135724.87763383,57448646.378033906,591355.3491484202
17908962.20962457,39068544.11327656,57578174.1141513,600667.7912501607
18096576.156094562,39015665.08042041,57722037.044284314,609795.8077693455
18282920.27404223,38975059.661044754,57876722.98621882,618743.0511318377
18469427.166844565,38945388.261795245,58042328.53006167,627513.1014218641
18655784.323845483,38925696.88217169,58217590.67383472,636109.4678175426
18843294.564042874,38915002.19520784,58402832.3492477,644535.5899969867
19030410.910692044,38912344.0110905,58595549.76129846,652794.8395159187
19221163.02768564,38916918.62894644,58798972.17778965,660890.5211575767
19411858.837504655,38928154.33393296,59008839.045693226,668825.8742556113
18520274.74324118,39502569.70872242,58699448.52595421,676604.0739906032
18707174.425158452,39446997.357596286,58838400.01541553,684228.2326607866
18894307.801379595,39404832.14141801,58990841.34372514,691701.4009275277
19081245.72623734,39374595.22142403,59154867.51669746,699026.569036091
19268002.100668725,39354966.00274505,59329174.77142597,706206.6680121934
19454327.514070723,39344865.3124033,59512437.397308856,713244.5708348404
19641052.729590114,39343404.57825199,59704600.40142802,720143.0935859223
19827727.16984224,39349811.6182454,59904443.78466467,726904.9965770324
20012886.47663532,39363402.655280024,60109822.1173693,733532.9854539664
20197847.99992224,39383590.4504046,60321468.16260618,740029.7122793415
19209890.572044794,40010572.2233011,59966860.57193967,746397.7765937736
19388111.220728252,39962643.32596513,60103394.273149416,752639.7264560368
19566262.812097576,39927922.998927206,60252943.8704874,758758.0594626224
19744301.419068966,39904672.22246078,60413728.86527684,764755.2237471065
19922436.824472252,39891588.33466904,60584658.77810101,770633.6189597235
20099831.80024969,39887636.98819483,60763864.38567206,776395.5972275408
20277052.67834412,39891853.62043113,60950949.76287088,782043.4640956192
