Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-289019.3874461432,55604.96456704088,0.0,-0.0,-0.0
3229576.246178158,-3619168.7588631874,-328484.5339137295,61107.97877129989,0.0,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-362347.9089273599,65162.93230592447,0.0,-0.0,-0.0
3211482.199131155,-3674964.254385618,-395219.4633757475,68262.59187871596,0.0,-0.0,-0.0
3206944.278738542,-3704786.043744383,-427112.64065824857,70729.12434759237,0.0,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-456284.73843977554,72773.2185567777,0.0,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-481889.1946932002,74532.7171765866,0.0,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-507642.701667881,76097.8598370245,0.0,-0.0,-0.0
3206571.424589799,-3814915.432166111,-530816.2298505089,77527.77772580365,0.0,-0.0,-0.0
3339097.9032333293,-3630438.929112202,-212479.75421805438,78861.27166081857,0.0,-0.0,-0.0
3306796.8805243704,-3661129.0189571157,-270202.0908585745,84130.04757417097,0.0,-0.0,-0.0
3281452.227233626,-3691051.968510236,-324200.7687557007,85398.97252090971,0.0,-0.0,-0.0
3261914.4777652924,-3719747.947912567,-371210.653605149,86622.81654212519,0.0,-0.0,-0.0
3247289.844874546,-3748409.7881060163,-413310.5563551874,87809.38687628275,0.0,-0.0,-0.0
3236882.878097144,-3779715.802090707,-453868.98421243887,88963.9397811237,0.0,-0.0,-0.0
3230148.2909144936,-3813148.5428182255,-492910.190333248,90090.06157048419,0.0,-0.0,-0.0
3226630.9306178754,-3841084.010087857,-523262.8351022466,91190.24436773501,0.0,-0.0,-0.0
3225930.15636754,-3867157.900852347,-548961.4821070107,92266.26237779636,0.0,-0.0,-0.0
3227473.267452521,-3899201.289720888,-578408.6044568238,93319.41781154317,0.0,-0.0,-0.0
3383031.155727023,-3743564.774597269,-266182.91723376233,94350.70163648404,0.0,-0.0,-0.0
3352012.4301012387,-3772670.528861416,-325297.2000886309,95360.89867154646,0.0,-0.0,-0.0
3327960.153882438,-3801145.851918393,-376835.0417222346,96350.6563137205,0.0,-0.0,-0.0
3309660.565370761,-3829664.6417143117,-422683.5468438405,97320.52949971057,0.0,-0.0,-0.0
3296163.394882713,-3857447.378495326,-463012.97347476473,98271.01013784784,0.0,-0.0,-0.0
3286725.759400511,-3884932.401593085,-499004.0958011586,99202.54639141505,0.0,-0.0,-0.0
3280742.4891719557,-3913189.4584054886,-532331.4139039408,100115.55532959169,0.0,-0.0,-0.0
3277728.2751074163,-3939860.9035954825,-561122.197244443,101010.43124362313,0.0,-0.0,-0.0
3277283.198408453,-3966759.923146363,-587589.1736083628,101887.55112954769,0.0,-0.0,-0.0
3278977.642482722,-3993615.499500087,-611890.5786988513,102747.27831851355,0.0,-0.0,-0.0
3426210.6757222153,-3816559.958788412,-286759.3181704615,103589.96489573542,0.0,-0.0,-0.0
3394122.048972768,-3840586.8998374133,-342048.89753765514,104415.95332699013,0.0,-0.0,-0.0
3369317.672841128,-3868628.226232723,-394084.97582520737,105225.57756638758,0.0,-0.0,-0.0
3350483.163811466,-3896485.3951641084,-439983.0675283385,106019.1638243038,0.0,-0.0,-0.0
3336569.0968227065,-3893288.6772332145,-449922.5492981276,106797.0311123806,0.0,-0.0,-0.0
3326789.2442579577,-3918448.9022638267,-484100.1663638696,107559.49164199973,0.0,-0.0,-0.0
3320550.897867913,-3944685.0602255217,-515827.31123143435,108306.85112617431,0.0,-0.0,-0.0
3317373.129150005,-3971288.027092822,-544875.4889253086,109039.40901750811,0.0,-0.0,-0.0
3316878.974971097,-4007134.986125376,-580498.5524507047,109757.4587035744,0.0,-0.0,-0.0
3318765.2922747904,-4036011.8669753163,-606785.2870268447,110461.28767368112,0.0,-0.0,-0.0
3489749.449379543,-3868505.1344196186,-267604.5073739103,111151.17766616518,0.0,-0.0,-0.0
3458090.0477940096,-3898879.459184749,-328962.00658853486,111827.40480220476,0.0,-0.0,-0.0
3433867.9544637203,-3927895.9710477833,-381537.77687398467,112490.23971007828,0.0,-0.0,-0.0
3415571.0090033575,-3949946.237100727,-421235.28045491816,113139.94764245147,0.0,-0.0,-0.0
3402195.296493095,-3977258.7728534555,-461286.6877719662,113776.78858839432,0.0,-0.0,-0.0
3392994.0026617767,-4004101.85304545,-496706.8330024196,114401.01738125381,0.0,-0.0,-0.0
