Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
14358153.891337398,38951918.564478844,53310072.45581624,0.0
14559389.632455727,38799411.93505857,53358801.5675143,0.0
14761454.300309194,38666828.630253375,53428282.93056256,0.0
14963674.45373183,38551848.760058254,53515523.21379009,0.0
15165888.768309066,38452596.2991432,53618485.06745227,0.0
15368713.810194053,38367447.64739532,53736161.45758937,0.0
15572528.84488748,38295041.89593351,53867570.74082099,0.0
15775710.753606953,38234218.59099811,54009929.344605066,0.0
15977673.419386236,38183910.6568694,54161584.076255634,0.0
16180466.50353223,38143004.91621543,54323471.419747666,0.0
14767869.15478637,38931020.92528618,53698890.08007255,0.0
14968765.637699094,38783315.823817424,53752081.461516514,0.0
15170440.417612087,38656155.22040487,53826595.638016954,0.0
15372806.038081873,38547174.739773184,53919980.77785506,0.0
15575560.778248522,38454433.43190209,54029994.210150614,0.0
15778547.925624873,38376338.32938337,54154886.25500825,0.0
15982012.714499135,38311413.76991553,54293426.48441466,0.0
16185482.473907853,38258493.79583467,54443976.26974252,0.0
16388982.492672876,38216569.297920935,54605551.7905938,0.0
16592687.756123476,38184372.103222184,54777059.85934566,0.0
15178976.779419359,38994518.491005756,54173495.27042512,0.0
15377432.290873516,38855797.752729155,54233230.043602675,0.0
15576626.544417484,38737024.20234859,54313650.746766075,0.0
15776641.581863448,38635686.56321702,54412328.14508047,0.0
15969061.204022244,38549704.240046896,54518765.44406914,0.0
16161632.426283691,38477450.42411517,54639082.85039886,0.0
16354486.679218154,38417673.10119567,54772159.78041383,0.0
16547666.471480044,38369272.8773102,54916939.34879024,0.0
16743512.256278258,38331333.21141236,55074845.467690624,0.0
16939853.8043087,38303069.01531934,55242922.81962804,0.0
15517772.021994013,39115473.696739554,54633245.718733564,0.0
15709261.088321345,38984049.67809227,54693310.76641362,0.0
