Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,63680.43742511794,0.0,408304.78943830205,-0.0,-0.0
3229576.246178158,-3619168.7588631874,18712.276753272687,0.0,408304.78943830205,-0.0,-0.0
3218747.764490371,-3646258.6057236553,-19206.05179498234,0.0,408304.78943830205,-0.0,-0.0
3211482.199131155,-3674964.254385618,-55177.26581616141,0.0,408304.78943830205,-0.0,-0.0
3206944.278738542,-3704786.043744383,-89536.97556753887,0.0,408304.78943830205,-0.0,-0.0
3204543.8408506536,-3733601.7978472067,-120753.16755825118,0.0,408304.78943830205,-0.0,-0.0
3203863.3476038114,-3760285.259473598,-148117.12243148475,0.0,408304.78943830205,-0.0,-0.0
3204609.2748431168,-3788349.8363480223,-175435.77206660341,0.0,408304.78943830205,-0.0,-0.0
3206571.424589799,-3814915.432166111,-200039.21813801047,0.0,408304.78943830205,-0.0,-0.0
3640089.3343872516,-3176470.184771319,871923.9390542349,0.0,408304.78943830205,-0.0,-0.0
3527876.8121339423,-3217435.9961828734,312660.9937845755,0.0,2220.1778335064323,-0.0,-0.0
3436066.7269029166,-3257513.100510935,180773.8042254879,0.0,2220.1778335064323,-0.0,-0.0
3360986.1544729182,-3296334.599904846,66871.73240157876,0.0,2220.1778335064323,-0.0,-0.0
3299820.4149112054,-3336203.137616613,-34162.54487190108,0.0,2220.1778335064323,-0.0,-0.0
3250329.8069848004,-3378768.8868520916,-126218.90203378453,0.0,2220.1778335064323,-0.0,-0.0
3210747.139378264,-3423849.6998879067,-210882.3826761362,0.0,2220.1778335064323,-0.0,-0.0
3179686.214062254,-3466832.0548589695,-284925.66296320915,0.0,2220.1778335064323,-0.0,-0.0
3156004.01334026,-3505892.6755779716,-347668.48440420517,0.0,2220.1778335064323,-0.0,-0.0
3138424.922097427,-3550810.953901273,-410165.8539703401,0.0,2220.1778335064323,-0.0,-0.0
3128091.013351192,-3590554.2723982786,-460243.0812135799,0.0,2220.1778335064323,-0.0,-0.0
3119031.804747542,-3631183.738618723,-511063.60811323894,0.0,1088.3257579424405,-0.0,-0.0
3113525.4350788407,-3669226.034386922,-554612.2735501388,0.0,1088.3257579424405,-0.0,-0.0
3110792.5518783526,-3704358.2485941774,-592477.3709578825,0.0,1088.3257579424405,-0.0,-0.0
3110449.2884433954,-3737992.7900860235,-626455.1758846858,0.0,1088.3257579424405,-0.0,-0.0
3112207.255806971,-3771005.1532933605,-657709.5717284472,0.0,1088.3257579424405,-0.0,-0.0
3115809.8088357686,-3804395.785560192,-687497.6509664811,0.0,1088.3257579424405,-0.0,-0.0
3121045.7949552755,-3838312.4935194026,-716178.372806185,0.0,1088.3257579424405,-0.0,-0.0
3127729.078572883,-3869310.927968465,-740493.5236376394,0.0,1088.3257579424405,-0.0,-0.0
3135695.4186699307,-3900566.8152677277,-763783.0708398544,0.0,1088.3257579424405,-0.0,-0.0
3146166.4661379787,-3931006.271195807,-783751.4792998863,0.0,1088.3257579424405,-0.0,-0.0
3155936.4614642044,-3958074.1782495403,-802137.716785336,0.0,0.0,-0.0,-0.0
3166694.61340393,-3989253.2445579604,-822558.6311540306,0.0,0.0,-0.0,-0.0
3178275.098218098,-4019436.6739056455,-841161.5756875477,0.0,0.0,-0.0,-0.0
3190518.176524166,-4018235.2319517564,-827717.05542759,0.0,0.0,-0.0,-0.0
3203335.6277254266,-4044940.8003373696,-841605.172611943,0.0,0.0,-0.0,-0.0
3216685.0896399003,-4072292.363879094,-855607.274239194,0.0,0.0,-0.0,-0.0
3230525.1434088945,-4099718.6837833994,-869193.5403745048,0.0,0.0,-0.0,-0.0
3244829.838851835,-4135419.8419170827,-890590.0030652477,0.0,0.0,-0.0,-0.0
3259576.0053705648,-4162886.7956140665,-903310.7902435018,0.0,0.0,-0.0,-0.0
3274723.2247651624,-4188710.7426306726,-913987.5178655102,0.0,0.0,-0.0,-0.0
3290230.912778854,-4215550.073486027,-925319.1607071735,0.0,0.0,-0.0,-0.0
3306067.2387724,-4242107.678281437,-936040.4395090366,0.0,0.0,-0.0,-0.0
3322156.984323342,-4259440.512096366,-937283.5277730235,0.0,0.0,-0.0,-0.0
3338452.6193842045,-4283031.566200945,-944578.9468167402,0.0,0.0,-0.0,-0.0
3354967.6974854562,-4307722.655379534,-952754.9578940772,0.0,0.0,-0.0,-0.0
3371685.7626556936,-4336959.766409518,-965274.0037538246,0.0,0.0,-0.0,-0.0
3388595.994635065,-4361450.775196767,-972854.7805617022,0.0,0.0,-0.0,-0.0
3405699.4509126237,-4399309.539552219,-993610.088639596,0.0,0.0,-0.0,-0.0
3422991.0517065893,-4423428.337592637,-1000437.2858860479,0.0,0.0,-0.0,-0.0
3440442.391645439,-4444930.365827243,-1004487.9741818039,0.0,0.0,-0.0,-0.0
3458029.984538422,-4468888.986448834,-1010722.4070972139,0.0,136.59481319764168,-0.0,-0.0
3475736.4660225157,-4493020.428279913,-1017147.3674441992,0.0,136.59481319764168,-0.0,-0.0
3493548.8601739374,-4515453.118590807,-1021767.6636036716,0.0,136.59481319764168,-0.0,-0.0
3511445.3165272274,-4537551.059526403,-1025969.1481859783,0.0,136.59481319764168,-0.0,-0.0
3529405.798075359,-4558337.426769976,-1028795.0338814196,0.0,136.59481319764168,-0.0,-0.0
3547417.4319861312,-4582177.483733376,-1034623.4569340465,0.0,136.59481319764168,-0.0,-0.0
3565467.251136265,-4604053.299463306,-1038449.4535138427,0.0,136.59481319764168,-0.0,-0.0
3583532.537970912,-4619954.039775876,-1036284.9069917669,0.0,136.59481319764168,-0.0,-0.0
3601574.0580190923,-4637183.561257441,-1035472.9084251509,0.0,136.59481319764168,-0.0,-0.0
3619725.054973937,-4654640.3911771,-1034778.7413899658,0.0,136.59481319764168,-0.0,-0.0
3637649.0617673406,-4674488.37100883,-1009561.5676346394,0.0,27277.74160684995,-0.0,-0.0
3655531.7505252515,-4693981.59691846,-1011172.1047863588,0.0,27277.74160684995,-0.0,-0.0
3673361.804710308,-4712781.740577674,-1012142.1942605157,0.0,27277.74160684995,-0.0,-0.0
3691126.7100619813,-4732239.243046316,-1013834.7913774851,0.0,27277.74160684995,-0.0,-0.0
3708820.109114457,-4748119.432149793,-1012021.5814284865,0.0,27277.74160684995,-0.0,-0.0
3726425.523864322,-4765832.37573256,-1012129.1102613877,0.0,27277.74160684995,-0.0,-0.0
3743931.625944281,-4781767.167274731,-1010557.7997236003,0.0,27277.74160684995,-0.0,-0.0
3761316.1036843676,-4792540.303065901,-1003946.457774683,0.0,27277.74160684995,-0.0,-0.0
3778565.6264298763,-4807771.319820809,-1001927.9517840829,0.0,27277.74160684995,-0.0,-0.0
3817347.78261929,-4800397.555504549,-955772.0312784093,0.0,27277.74160684995,-0.0,-0.0
3829801.18997319,-4815210.858508433,-912236.163432059,0.0,73173.50510318473,-0.0,-0.0
3842785.8202909757,-4829553.879095186,-913594.5537010249,0.0,73173.50510318473,-0.0,-0.0
3856158.2743340884,-4843727.547297503,-914395.7678602298,0.0,73173.50510318473,-0.0,-0.0
3869787.029216857,-4849432.429743449,-906471.8954234069,0.0,73173.50510318473,-0.0,-0.0
3883564.802939961,-4857321.743718838,-900583.4356756919,0.0,73173.50510318473,-0.0,-0.0
3897434.951454766,-4867431.522046407,-896823.065488456,0.0,73173.50510318473,-0.0,-0.0
3911347.9595855307,-4878226.88645406,-893705.421765344,0.0,73173.50510318473,-0.0,-0.0
3925255.3066996797,-4888262.267531435,-889833.455728571,0.0,73173.50510318473,-0.0,-0.0
3939122.9562052013,-4897476.33868522,-885179.877376834,0.0,73173.50510318473,-0.0,-0.0
4009089.3667965303,-4849908.422996918,-767645.5510972028,0.0,73173.50510318473,-0.0,-0.0
4011273.3017550088,-4858111.525288142,-744561.5395364343,0.0,102276.68399669902,-0.0,-0.0
4014981.0222023595,-4848496.139128222,-731238.4329291631,0.0,102276.68399669902,-0.0,-0.0
4019830.9917468405,-4851592.845160321,-729485.169416782,0.0,102276.68399669902,-0.0,-0.0
4025551.793350488,-4858942.537485694,-731114.0601385067,0.0,102276.68399669902,-0.0,-0.0
4031956.1790227545,-4857561.845619413,-723328.982599959,0.0,102276.68399669902,-0.0,-0.0
4038890.823917179,-4862673.113284335,-721505.6053704562,0.0,102276.68399669902,-0.0,-0.0
4046239.7086893828,-4866150.625148818,-717634.2324627361,0.0,102276.68399669902,-0.0,-0.0
4053906.300494544,-4866094.793641454,-709911.8091502101,0.0,102276.68399669902,-0.0,-0.0
4061835.727267446,-4878622.999655384,-714510.5883912388,0.0,102276.68399669902,-0.0,-0.0
4149767.8661941066,-4810139.7629777435,-558095.2127869376,0.0,102276.68399669902,-0.0,-0.0
4141172.9825837817,-4816235.613827429,1693268.956930541,0.0,2368331.5881741876,-0.0,-0.0
4135321.6400102694,-4821991.234586928,1681661.9935975294,0.0,2368331.5881741876,-0.0,-0.0
4131688.082907793,-4826872.919543169,1673146.7515388108,0.0,2368331.5881741876,-0.0,-0.0
4129805.224184361,-4831778.27053433,1666358.5418242184,0.0,2368331.5881741876,-0.0,-0.0
4129284.9501422225,-4809551.947567851,1688064.5907485588,0.0,2368331.5881741876,-0.0,-0.0
4129884.2317668507,-4812103.493937649,1686112.3260033892,0.0,2368331.5881741876,-0.0,-0.0
4131421.0167391715,-4816310.556088404,1683442.0488249552,0.0,2368331.5881741876,-0.0,-0.0
4133735.602438977,-4809659.849354472,1692407.3412586926,0.0,2368331.5881741876,-0.0,-0.0
4136710.455929418,-4818933.9990366595,1686108.0450669462,0.0,2368331.5881741876,-0.0,-0.0
6299407.085643027,-2352512.211730892,6315226.462086322,0.0,2368331.5881741876,-0.0,-0.0
